powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,2008090.9163951876,15.803,2958957.8136,14.210138
2_268800_1300500000_2133000000,1000000.0450611116,16.92,1920685.9854000001,14.310288
2_268800_1300500000_3199000000,958298.8777160645,17.4245,1740859.3968,14.346585999999999
2_268800_1300500000_665600000,1094487.012386322,16.606,2230725.1662,14.274421
2_268800_1236750000_204000000,4287384.972572327,13.387,3299393.7494999995,14.096366
2_268800_1236750000_2133000000,3217873.8062381744,14.294,2274996.0471,14.247044
2_268800_1236750000_3199000000,3217461.669921875,15.007,2210759.2479,14.273727000000001
2_268800_1236750000_665600000,3545512.477874756,13.6405,2600877.6396,14.214819
2_268800_1134750000_204000000,4423170.3016757965,12.984,3510500.3444999997,13.941165000000002
2_268800_1134750000_2133000000,3268270.323038101,13.993,2407902.4698,14.193427
2_268800_1134750000_3199000000,3206552.995204925,14.605,2336522.1354,14.169861000000001
2_268800_1134750000_665600000,3480300.149202347,13.086,2789373.4077,14.100314000000001
2_268800_1032750000_204000000,4455751.9967556,12.582,3461738.6520000002,13.811665999999999
2_268800_1032750000_2133000000,3180578.932762146,13.588,2384748.6567,14.155111000000002
2_268800_1032750000_3199000000,3179908.3750247955,14.2535,2332006.4721,14.107389999999999
2_268800_1032750000_665600000,3446725.332975388,12.684,2744125.4955,13.972916
2_268800_930750000_204000000,4494211.874723434,12.18,3415245.0288,13.643703
2_268800_930750000_2133000000,3265024.6176719666,13.288,2367920.7735,14.114778
2_268800_930750000_3199000000,3219975.539445877,14.2,2307988.9452,14.079709999999999
2_268800_930750000_665600000,3438528.778553009,12.282,2707306.3734,13.848818999999999
2_268800_828750000_204000000,4256150.239706039,12.181,3373685.9529,13.453888999999998
2_268800_828750000_2133000000,3382334.1102600098,13.289,2350974.1023,14.073196
2_268800_828750000_3199000000,3232453.3853530884,13.899,2289887.8422000003,14.114958
2_268800_828750000_665600000,3512337.412595749,12.282,2674013.2229999998,13.692
2_268800_726750000_204000000,2037217.9234027865,13.085,3344615.4033,13.210908
2_268800_726750000_2133000000,1016940.0489330292,14.1515,2338893.519,13.951886
2_268800_726750000_3199000000,919582.8652381896,15.1575,2273729.8608,14.143784
2_268800_726750000_665600000,1092077.567577362,13.99,2646905.9577,13.520273999999999
2_268800_624750000_204000000,4367138.698816299,11.776,3327440.3778,12.961946
2_268800_624750000_2133000000,3170875.35405159,12.786,2333127.6119999997,13.831458000000001
2_268800_624750000_3199000000,3264355.4997444157,13.297,2265198.0689999997,14.162197
2_268800_624750000_665600000,3556342.6179885864,11.8795,2624551.3065,13.294417
2_268800_522750000_204000000,4276747.107505798,11.374,3342181.656,12.714904
2_268800_522750000_2133000000,3214705.008506775,12.483,2328685.566,13.713012
