powermode,median_power
8_1804800_828750000_665600000,16713.0
12_1036800_1032750000_204000000,14843.0
12_2201600_420750000_665600000,17319.0
12_268800_624750000_2133000000,13287.0
2_1344000_522750000_204000000,13891.0
2_1036800_726750000_3199000000,16416.0
6_1190400_1300500000_2133000000,18526.0
6_1651200_420750000_204000000,14397.0
8_1497600_114750000_204000000,13295.0
4_2112000_420750000_665600000,16113.0
8_268800_216750000_204000000,11677.0
4_1958400_726750000_665600000,16313.0
8_1190400_522750000_665600000,14101.0
8_1497600_726750000_2133000000,16718.5
2_1958400_828750000_3199000000,19785.0
4_1958400_420750000_3199000000,17624.0
8_1190400_624750000_2133000000,15411.5
12_268800_828750000_204000000,12785.0
2_1344000_114750000_3199000000,15259.0
12_2201600_114750000_204000000,15105.0
8_2201600_828750000_204000000,16757.5
6_576000_1134750000_204000000,14693.0
8_1958400_930750000_2133000000,19634.0
10_1651200_318750000_2133000000,16116.5
12_1036800_1236750000_3199000000,18171.5
6_729600_828750000_204000000,13987.0
10_1958400_318750000_3199000000,18229.0
10_268800_1032750000_665600000,13689.5
8_1497600_1134750000_665600000,17515.0
12_2112000_1300500000_204000000,19125.0
4_883200_828750000_665600000,14501.0
6_1344000_930750000_3199000000,17777.5
4_1497600_624750000_3199000000,17124.0
10_2112000_726750000_3199000000,20138.5
2_1190400_930750000_665600000,15307.0
12_1497600_1236750000_204000000,17103.0
2_268800_318750000_3199000000,17728.0
6_422400_420750000_2133000000,13499.0
12_2201600_114750000_665600000,15859.0
12_576000_1300500000_2133000000,16860.5
4_2201600_624750000_204000000,15558.0
10_1036800_624750000_665600000,14402.0
6_1651200_318750000_3199000000,16823.0
6_729600_522750000_2133000000,14808.0
6_1497600_930750000_204000000,15507.0
8_2201600_1032750000_2133000000,20337.0
12_1036800_420750000_3199000000,15662.0
8_1804800_420750000_3199000000,17625.0
2_422400_522750000_2133000000,13097.0
4_2112000_624750000_2133000000,18127.0
6_1344000_1134750000_204000000,16307.0
2_1804800_1236750000_204000000,17614.0
6_1651200_1134750000_204000000,16705.0
10_268800_1032750000_3199000000,15108.0
6_2112000_114750000_3199000000,16920.0
8_422400_1134750000_2133000000,14997.5
4_883200_522750000_665600000,13792.0
10_1497600_216750000_2133000000,15614.0
4_576000_828750000_204000000,13590.0
4_576000_930750000_2133000000,14796.0
6_2201600_522750000_665600000,16820.0
6_1036800_726750000_665600000,14352.5
12_1190400_1300500000_665600000,18068.5
6_883200_726750000_204000000,14091.0
12_1958400_1236750000_204000000,18319.5
12_729600_726750000_2133000000,15006.0
2_1651200_1032750000_3199000000,18175.0
2_2201600_1236750000_2133000000,21637.5
2_422400_930750000_204000000,13186.0
8_1804800_522750000_665600000,15510.0
2_1190400_1300500000_665600000,17723.0
4_422400_930750000_2133000000,13896.0
8_2201600_522750000_204000000,15507.0
4_2112000_930750000_665600000,17521.0
2_2201600_114750000_3199000000,17024.0
2_1036800_1236750000_2133000000,17215.0
8_1036800_1300500000_204000000,16503.0
8_883200_420750000_665600000,13792.0
4_1804800_1236750000_2133000000,20129.0
4_2201600_522750000_2133000000,18127.0
6_1344000_1236750000_3199000000,19235.0
10_1190400_114750000_665600000,13598.0
6_422400_1032750000_2133000000,14698.0
10_2201600_216750000_2133000000,17119.0
2_1651200_624750000_665600000,15109.0
6_1651200_114750000_2133000000,15109.0
2_883200_216750000_3199000000,15109.0
10_422400_1032750000_204000000,13890.5
10_729600_420750000_204000000,13285.5
10_1497600_1236750000_665600000,18320.0
6_1190400_216750000_3199000000,15814.0
8_1036800_930750000_3199000000,17425.0
12_1497600_420750000_2133000000,15965.0
6_576000_318750000_665600000,13186.0
8_883200_1236750000_204000000,16097.0
4_883200_726750000_2133000000,15211.0
2_729600_1032750000_2133000000,15206.0
10_883200_1032750000_204000000,15092.0
2_883200_522750000_665600000,13288.0
8_1497600_726750000_204000000,14596.0
