cores,cpu,gpu,mem,Observed_epoch_time
8,1804800.0,828750000.0,665600000.0,613576.5566825867
12,1036800.0,1032750000.0,204000000.0,1640772.7420330048
12,2201600.0,420750000.0,665600000.0,644536.8549823761
12,268800.0,624750000.0,2133000000.0,1830866.6484355927
2,1344000.0,522750000.0,204000000.0,1847303.9388656616
2,1036800.0,726750000.0,3199000000.0,673215.2397632599
6,1190400.0,1300500000.0,2133000000.0,512273.79179000854
6,1651200.0,420750000.0,204000000.0,1578602.558374405
8,1497600.0,114750000.0,204000000.0,1925728.4750938416
4,2112000.0,420750000.0,665600000.0,652048.2609272003
8,268800.0,216750000.0,204000000.0,2511042.471885681
4,1958400.0,726750000.0,665600000.0,615105.1180362701
8,1190400.0,522750000.0,665600000.0,728858.8948249817
8,1497600.0,726750000.0,2133000000.0,438082.9463005066
2,1958400.0,828750000.0,3199000000.0,367518.21088790894
4,1958400.0,420750000.0,3199000000.0,468779.0551185608
8,1190400.0,624750000.0,2133000000.0,510176.8572330475
12,268800.0,828750000.0,204000000.0,2324310.388326645
2,1344000.0,114750000.0,3199000000.0,1387116.7342662811
12,2201600.0,114750000.0,204000000.0,1869010.6065273285
8,2201600.0,828750000.0,204000000.0,1508117.1758174896
6,576000.0,1134750000.0,204000000.0,1794118.3931827545
8,1958400.0,930750000.0,2133000000.0,354339.87283706665
10,1651200.0,318750000.0,2133000000.0,603277.9228687286
12,1036800.0,1236750000.0,3199000000.0,563396.6708183289
6,729600.0,828750000.0,204000000.0,1732390.6679153442
10,1958400.0,318750000.0,3199000000.0,569497.406244278
10,268800.0,1032750000.0,665600000.0,1803824.5327472687
8,1497600.0,1134750000.0,665600000.0,633379.6343803406
12,2112000.0,1300500000.0,204000000.0,1498496.221780777
4,883200.0,828750000.0,665600000.0,786628.1840801239
6,1344000.0,930750000.0,3199000000.0,441257.22885131836
4,1497600.0,624750000.0,3199000000.0,442211.55428886414
10,2112000.0,726750000.0,3199000000.0,343034.2047214508
2,1190400.0,930750000.0,665600000.0,794180.7327270508
12,1497600.0,1236750000.0,204000000.0,1552745.3956604004
2,268800.0,318750000.0,3199000000.0,563073.1425285339
6,422400.0,420750000.0,2133000000.0,1200965.930223465
12,2201600.0,114750000.0,665600000.0,1331134.2675685883
12,576000.0,1300500000.0,2133000000.0,909286.6342067719
4,2201600.0,624750000.0,204000000.0,1536150.7360935211
10,1036800.0,624750000.0,665600000.0,736267.2247886658
6,1651200.0,318750000.0,3199000000.0,596807.5404167175
6,729600.0,522750000.0,2133000000.0,744122.2009658813
6,1497600.0,930750000.0,204000000.0,1556340.3730392456
8,2201600.0,1032750000.0,2133000000.0,323610.9552383423
12,1036800.0,420750000.0,3199000000.0,590388.587474823
8,1804800.0,420750000.0,3199000000.0,486471.40312194824
2,422400.0,522750000.0,2133000000.0,1827688.2927417755
4,2112000.0,624750000.0,2133000000.0,383490.8084869385
6,1344000.0,1134750000.0,204000000.0,1577887.3345851898
2,1804800.0,1236750000.0,204000000.0,1636097.3436832428
6,1651200.0,1134750000.0,204000000.0,1536076.2116909027
10,268800.0,1032750000.0,3199000000.0,1835706.36343956
6,2112000.0,114750000.0,3199000000.0,1309395.3597545624
8,422400.0,1134750000.0,2133000000.0,1202282.1536064148
4,883200.0,522750000.0,665600000.0,837868.5638904572
10,1497600.0,216750000.0,2133000000.0,812369.9896335602
4,576000.0,828750000.0,204000000.0,1850571.2332725525
4,576000.0,930750000.0,2133000000.0,982490.9844398499
6,2201600.0,522750000.0,665600000.0,612135.7254981995
6,1036800.0,726750000.0,665600000.0,723866.8353557587
12,1190400.0,1300500000.0,665600000.0,676450.2320289612
6,883200.0,726750000.0,204000000.0,1684485.4278564453
12,1958400.0,1236750000.0,204000000.0,1507196.0997581482
12,729600.0,726750000.0,2133000000.0,726504.5239925385
2,1651200.0,1032750000.0,3199000000.0,437561.35988235474
2,2201600.0,1236750000.0,2133000000.0,360778.95426750183
2,422400.0,930750000.0,204000000.0,2766788.8355255127
8,1804800.0,522750000.0,665600000.0,645782.0067405701
2,1190400.0,1300500000.0,665600000.0,777941.469669342
4,422400.0,930750000.0,2133000000.0,1293055.9372901917
8,2201600.0,522750000.0,204000000.0,1521323.0664730072
4,2112000.0,930750000.0,665600000.0,594237.0021343231
