cpu_freq,gpu_freq,mem_freq,observed_power
268.8,216.75,3199,13.901
422.4,318.75,3199,14.604000000000001
576.0,420.75,3199,14.7575
729.6,522.75,3199,15.41
883.2,624.75,3199,15.812000000000001
883.2,522.75,3199,15.511
1036.8,624.75,3199,16.315
1190.4,726.75,3199,16.820999999999998
1344.0,828.75,3199,17.826
1497.6,930.75,3199,18.125
1651.2,1032.75,3199,19.125999999999998
1804.8,1134.75,3199,20.8335
1958.4,1236.75,3199,22.048000000000002
1958.4,1134.75,3199,21.244
2112.0,1300.5,3199,23.8545
2112.0,1236.75,3199,23.449
2201.6,1300.5,3199,24.156
