epoch,batch_idx,computetime,computetime_ms,log_time
_,1,null,1058.85595703125,8.646674633026123
0,1,null,1058.85595703125,8.646743535995483
_,2,null,329.42694091796875,8.980232954025269
0,2,null,329.42694091796875,8.980285167694092
_,3,null,332.0688781738281,9.313762664794922
0,3,null,332.0688781738281,9.313815355300903
_,4,null,332.7734375,9.646986722946167
0,4,null,332.7734375,9.647039413452148
_,5,null,332.05145263671875,9.979474782943726
0,5,null,332.05145263671875,9.97952127456665
_,6,null,331.9046936035156,10.313772439956665
0,6,null,331.9046936035156,10.313822031021118
_,7,null,332.4815368652344,10.646717309951782
0,7,null,332.4815368652344,10.646766662597656
_,8,null,332.59521484375,10.979735612869263
0,8,null,332.59521484375,10.979780912399292
_,9,null,332.65869140625,11.31291913986206
0,9,null,332.65869140625,11.312962293624878
_,10,null,332.7312316894531,11.64716911315918
0,10,null,332.7312316894531,11.647220134735107
_,11,null,332.3402099609375,11.981205224990845
0,11,null,332.3402099609375,11.981249809265137
_,12,null,333.1698303222656,12.3157377243042
0,12,null,333.1698303222656,12.315785884857178
_,13,null,332.8612365722656,12.650170803070068
0,13,null,332.8612365722656,12.650224685668945
_,14,null,332.79693603515625,12.984315395355225
0,14,null,332.79693603515625,12.984368324279785
_,15,null,333.38470458984375,13.319446325302124
0,15,null,333.38470458984375,13.319498062133789
_,16,null,332.4375,13.653424501419067
0,16,null,332.4375,13.653470993041992
_,17,null,335.08148193359375,13.98998498916626
0,17,null,335.08148193359375,13.990037679672241
_,18,null,334.48272705078125,14.326124906539917
0,18,null,334.48272705078125,14.326175928115845
_,19,null,333.0469970703125,14.660640239715576
0,19,null,333.0469970703125,14.660688400268555
_,20,null,333.9560241699219,14.996293544769287
0,20,null,333.9560241699219,14.996338605880737
_,21,null,333.5413818359375,15.33145523071289
0,21,null,333.5413818359375,15.331505537033081
_,22,null,334.0902404785156,15.666698932647705
0,22,null,334.0902404785156,15.666749238967896
_,23,null,333.5209045410156,16.001818418502808
0,23,null,333.5209045410156,16.001867532730103
_,24,null,333.823974609375,16.33715009689331
0,24,null,333.823974609375,16.337199449539185
_,25,null,335.4122314453125,16.67400312423706
0,25,null,335.4122314453125,16.674052000045776
_,26,null,333.728759765625,17.00892400741577
0,26,null,333.728759765625,17.00897741317749
_,27,null,335.0898742675781,17.3457133769989
0,27,null,335.0898742675781,17.345765352249146
_,28,null,333.0797424316406,17.680155038833618
0,28,null,333.0797424316406,17.680203914642334
_,29,null,333.94073486328125,18.015711545944214
0,29,null,333.94073486328125,18.01576542854309
_,30,null,334.3749084472656,18.35137438774109
0,30,null,334.3749084472656,18.351401567459106
_,31,null,334.45098876953125,18.687264919281006
0,31,null,334.45098876953125,18.687312364578247
_,32,null,333.2444152832031,19.022051572799683
0,32,null,333.2444152832031,19.022098302841187
_,33,null,333.0704345703125,19.356477737426758
0,33,null,333.0704345703125,19.356504678726196
