epoch,batch_idx,fetchtime,fetchtime_ms,log_time
_,1,null,295.13397216796875,8.646541833877563
0,1,null,295.13397216796875,8.64673137664795
_,2,null,3.936415910720825,8.980178594589233
0,2,null,3.936415910720825,8.980274438858032
_,3,null,1.3095359802246094,9.31371808052063
0,3,null,1.3095359802246094,9.313804388046265
_,4,null,0.3051519989967346,9.646944046020508
0,4,null,0.3051519989967346,9.647028684616089
_,5,null,0.29388800263404846,9.979433536529541
0,5,null,0.29388800263404846,9.979492425918579
_,6,null,2.2577600479125977,10.313734531402588
0,6,null,2.2577600479125977,10.313812017440796
_,7,null,0.3256320059299469,10.646678447723389
0,7,null,0.3256320059299469,10.646756410598755
_,8,null,0.28547200560569763,10.979696989059448
0,8,null,0.28547200560569763,10.979751348495483
_,9,null,0.3911679983139038,11.312884092330933
0,9,null,0.3911679983139038,11.312936305999756
_,10,null,1.3833600282669067,11.647128105163574
0,10,null,1.3833600282669067,11.647209167480469
_,11,null,1.551360011100769,11.981165885925293
0,11,null,1.551360011100769,11.981220960617065
_,12,null,1.2267520427703857,12.31569766998291
0,12,null,1.2267520427703857,12.315755128860474
_,13,null,1.4325759410858154,12.6501305103302
0,13,null,1.4325759410858154,12.65021300315857
_,14,null,1.1796480417251587,12.984257698059082
0,14,null,1.1796480417251587,12.984357833862305
_,15,null,1.5943679809570312,13.319403409957886
0,15,null,1.5943679809570312,13.319487571716309
_,16,null,1.3998080492019653,13.653387308120728
0,16,null,1.3998080492019653,13.653440237045288
_,17,null,1.3209600448608398,13.989929914474487
0,17,null,1.3209600448608398,13.99002718925476
_,18,null,1.5052800178527832,14.326081991195679
0,18,null,1.5052800178527832,14.326165676116943
_,19,null,1.32915198802948,14.660602569580078
0,19,null,1.32915198802948,14.66065764427185
_,20,null,1.5587519407272339,14.996256351470947
0,20,null,1.5587519407272339,14.996309041976929
_,21,null,1.4847359657287598,15.331415891647339
0,21,null,1.4847359657287598,15.3314950466156
_,22,null,1.0135680437088013,15.666662693023682
0,22,null,1.0135680437088013,15.666738033294678
_,23,null,1.459455966949463,16.001782178878784
0,23,null,1.459455966949463,16.001837253570557
_,24,null,1.368064045906067,16.337114334106445
0,24,null,1.368064045906067,16.33716630935669
_,25,null,1.3004800081253052,16.673965454101562
0,25,null,1.3004800081253052,16.674041271209717
_,26,null,1.0557440519332886,17.00888705253601
0,26,null,1.0557440519332886,17.008966207504272
_,27,null,1.5554560422897339,17.34567618370056
0,27,null,1.5554560422897339,17.345754861831665
_,28,null,1.2216320037841797,17.68011784553528
0,28,null,1.2216320037841797,17.680169820785522
_,29,null,1.4562560319900513,18.01565670967102
0,29,null,1.4562560319900513,18.015754222869873
_,30,null,1.1021440029144287,18.351325511932373
0,30,null,1.1021440029144287,18.351390838623047
_,31,null,1.3212159872055054,18.687228679656982
0,31,null,1.3212159872055054,18.687281131744385
_,32,null,1.4049279689788818,19.022013187408447
0,32,null,1.4049279689788818,19.02206826210022
_,33,null,1.2164160013198853,19.356441020965576
0,33,null,1.2164160013198853,19.3564932346344
_,34,null,0.9992319941520691,19.692234754562378
0,34,null,0.9992319941520691,19.692338705062866
_,35,null,1.1775360107421875,20.027692794799805
0,35,null,1.1775360107421875,20.027746200561523
_,36,null,1.5473599433898926,20.363849878311157
0,36,null,1.5473599433898926,20.363900899887085
_,37,null,0.9738240242004395,20.699628114700317
0,37,null,0.9738240242004395,20.699698448181152
_,38,null,1.1394239664077759,21.033585786819458
0,38,null,1.1394239664077759,21.033643007278442
_,39,null,0.9890239834785461,21.366549730300903
0,39,null,0.9890239834785461,21.36660647392273
_,40,null,0.9963200092315674,21.69833517074585
0,40,null,0.9963200092315674,21.698394298553467
_,41,null,0.9267200231552124,22.030738353729248
0,41,null,0.9267200231552124,22.03079319000244
_,42,null,1.158400058746338,22.364966869354248
0,42,null,1.158400058746338,22.487133264541626
_,43,null,5.706751823425293,22.82713222503662
0,43,null,5.706751823425293,22.82720375061035
_,44,null,1.4438400268554688,23.15883779525757
0,44,null,1.4438400268554688,23.15890097618103
_,45,null,1.6544959545135498,23.493164539337158
0,45,null,1.6544959545135498,23.493221044540405
_,46,null,1.0446720123291016,23.827594757080078
0,46,null,1.0446720123291016,23.827654123306274
_,47,null,1.260256052017212,24.159849643707275
0,47,null,1.260256052017212,24.15990924835205
_,48,null,1.4632960557937622,24.49276304244995
0,48,null,1.4632960557937622,24.492817878723145
_,49,null,1.4262080192565918,24.826560258865356
0,49,null,1.4262080192565918,24.82661485671997
_,50,null,1.1006720066070557,25.15989375114441
0,50,null,1.1006720066070557,25.159948587417603
_,51,null,1.4663679599761963,25.49228525161743
0,51,null,1.4663679599761963,25.492339611053467
_,52,null,1.1461119651794434,25.82515811920166
0,52,null,1.1461119651794434,25.82521367073059
_,53,null,1.0076160430908203,26.158666372299194
0,53,null,1.0076160430908203,26.158721208572388
_,54,null,1.1353919506072998,26.491785764694214
0,54,null,1.1353919506072998,26.491841793060303
_,55,null,1.518720030784607,26.825047969818115
0,55,null,1.518720030784607,26.825101613998413
_,56,null,1.090399980545044,27.15849018096924
0,56,null,1.090399980545044,27.158547401428223
_,57,null,1.3806079626083374,27.491906881332397
0,57,null,1.3806079626083374,27.491977214813232
_,58,null,1.3146560192108154,27.825032234191895
0,58,null,1.3146560192108154,27.825109720230103
_,59,null,1.434432029724121,28.158672332763672
0,59,null,1.434432029724121,28.15873956680298
_,60,null,0.9900479912757874,28.491694450378418
0,60,null,0.9900479912757874,28.491752862930298
_,61,null,1.1530239582061768,28.82519006729126
0,61,null,1.1530239582061768,28.82524847984314
_,62,null,1.3915519714355469,29.158666849136353
0,62,null,1.3915519714355469,29.158726453781128
_,63,null,0.9770560264587402,29.491854190826416
0,63,null,0.9770560264587402,29.491913557052612
_,64,null,1.1427199840545654,29.82482933998108
0,64,null,1.1427199840545654,29.824882745742798
_,65,null,1.393664002418518,30.158077478408813
0,65,null,1.393664002418518,30.158132076263428
_,66,null,1.2716480493545532,30.49149990081787
0,66,null,1.2716480493545532,30.491554498672485
_,67,null,1.2963839769363403,30.82536745071411
0,67,null,1.2963839769363403,30.82542061805725
_,68,null,1.4591679573059082,31.15902328491211
0,68,null,1.4591679573059082,31.159074783325195
_,69,null,1.5319039821624756,31.49317955970764
0,69,null,1.5319039821624756,31.493234395980835
_,70,null,1.2862080335617065,31.826560974121094
0,70,null,1.2862080335617065,31.82662343978882
_,71,null,1.3581119775772095,32.161131620407104
0,71,null,1.3581119775772095,32.16119027137756
_,72,null,1.3445119857788086,32.49565005302429
0,72,null,1.3445119857788086,32.4957070350647
_,73,null,1.1901119947433472,32.82916975021362
0,73,null,1.1901119947433472,32.82924246788025
_,74,null,1.4479360580444336,33.163087368011475
0,74,null,1.4479360580444336,33.16315174102783
_,75,null,1.5155199766159058,33.496949672698975
0,75,null,1.5155199766159058,33.49701189994812
_,76,null,1.3178880214691162,33.831498861312866
0,76,null,1.3178880214691162,33.83156132698059
_,77,null,1.3618240356445312,34.16568946838379
0,77,null,1.3618240356445312,34.165778160095215
_,78,null,1.3528000116348267,34.49993538856506
0,78,null,1.3528000116348267,34.500001192092896
_,79,null,1.3709440231323242,34.833632946014404
0,79,null,1.3709440231323242,34.833696365356445
_,80,null,1.2564159631729126,35.16807460784912
0,80,null,1.2564159631729126,35.168137550354004
_,81,null,1.5738879442214966,35.50243306159973
0,81,null,1.5738879442214966,35.50249648094177
_,82,null,0.9902080297470093,35.83569097518921
0,82,null,0.9902080297470093,35.83575224876404
_,83,null,1.2247040271759033,36.171003341674805
0,83,null,1.2247040271759033,36.17106342315674
_,84,null,1.5552959442138672,36.506093978881836
0,84,null,1.5552959442138672,36.50617432594299
_,85,null,1.5134400129318237,36.84059953689575
0,85,null,1.5134400129318237,36.84066605567932
_,86,null,1.0575679540634155,37.1744327545166
0,86,null,1.0575679540634155,37.17450833320618
_,87,null,1.2920639514923096,37.5086133480072
0,87,null,1.2920639514923096,37.508697271347046
_,88,null,1.2369920015335083,37.84356093406677
0,88,null,1.2369920015335083,37.84363913536072
_,89,null,1.5695040225982666,38.177897930145264
0,89,null,1.5695040225982666,38.17796444892883
_,90,null,1.294335961341858,38.51226091384888
0,90,null,1.294335961341858,38.512325048446655
_,91,null,1.5566719770431519,38.84797286987305
0,91,null,1.5566719770431519,38.848036766052246
_,92,null,1.6404800415039062,39.182480335235596
0,92,null,1.6404800415039062,39.182543992996216
_,93,null,1.1857919692993164,39.51599955558777
0,93,null,1.1857919692993164,39.51605987548828
_,94,null,1.252351999282837,39.85159611701965
0,94,null,1.252351999282837,39.85165619850159
_,95,null,1.2759040594100952,40.18643260002136
0,95,null,1.2759040594100952,40.18649125099182
_,96,null,1.2369920015335083,40.521576166152954
0,96,null,1.2369920015335083,40.5216383934021
_,97,null,1.0670080184936523,40.85632061958313
0,97,null,1.0670080184936523,40.85637712478638
_,98,null,1.0678080320358276,41.19109129905701
0,98,null,1.0678080320358276,41.19114947319031
_,99,null,1.2584960460662842,41.526869773864746
0,99,null,1.2584960460662842,41.52692747116089
_,100,null,1.3496320247650146,41.86188721656799
0,100,null,1.3496320247650146,41.86194205284119
_,101,null,0.9106240272521973,42.196823596954346
0,101,null,0.9106240272521973,42.196953535079956
_,102,null,1.3343039751052856,42.533435344696045
0,102,null,1.3343039751052856,42.53350520133972
_,103,null,1.146880030632019,42.868942737579346
0,103,null,1.146880030632019,42.86904454231262
_,104,null,1.193824052810669,43.2042191028595
0,104,null,1.193824052810669,43.20432925224304
_,105,null,1.0117119550704956,43.53988552093506
0,105,null,1.0117119550704956,43.53994274139404
_,106,null,1.1816960573196411,43.87537980079651
0,106,null,1.1816960573196411,43.875441551208496
_,107,null,1.3064639568328857,44.21047782897949
0,107,null,1.3064639568328857,44.21056342124939
_,108,null,1.0897279977798462,44.546663761138916
0,108,null,1.0897279977798462,44.54674816131592
_,109,null,0.9296320080757141,44.881551027297974
0,109,null,0.9296320080757141,44.88163113594055
_,110,null,1.0885119438171387,45.21699404716492
0,110,null,1.0885119438171387,45.217052936553955
_,111,null,1.0721280574798584,45.55417203903198
0,111,null,1.0721280574798584,45.55425047874451
_,112,null,0.9945600032806396,45.889732360839844
0,112,null,0.9945600032806396,45.88979148864746
_,113,null,0.9553279876708984,46.22473168373108
0,113,null,0.9553279876708984,46.224815368652344
_,114,null,1.21343994140625,46.56097221374512
0,114,null,1.21343994140625,46.56103181838989
_,115,null,1.07315194606781,46.896634101867676
0,115,null,1.07315194606781,46.89671564102173
_,116,null,1.1449600458145142,47.23242378234863
0,116,null,1.1449600458145142,47.23247814178467
_,117,null,1.070080041885376,47.567840814590454
0,117,null,1.070080041885376,47.567912340164185
_,118,null,1.3834240436553955,47.90371108055115
0,118,null,1.3834240436553955,47.9037983417511
_,119,null,1.3383680582046509,48.24139356613159
0,119,null,1.3383680582046509,48.24146032333374
_,120,null,1.1068799495697021,48.57724070549011
0,120,null,1.1068799495697021,48.577316999435425
_,121,null,1.2357439994812012,48.91332292556763
0,121,null,1.2357439994812012,48.91340970993042
_,122,null,1.4346239566802979,49.25058650970459
0,122,null,1.4346239566802979,49.25065350532532
_,123,null,1.0353280305862427,49.58588123321533
0,123,null,1.0353280305862427,49.58594560623169
_,124,null,0.992031991481781,49.92106795310974
0,124,null,0.992031991481781,49.92112684249878
_,125,null,1.070080041885376,50.25855374336243
0,125,null,1.070080041885376,50.25861167907715
_,126,null,0.9676799774169922,50.594379901885986
0,126,null,0.9676799774169922,50.59446907043457
_,127,null,1.2830719947814941,50.930999755859375
0,127,null,1.2830719947814941,50.931072473526
_,128,null,1.351680040359497,51.26732540130615
0,128,null,1.351680040359497,51.26739573478699
_,129,null,1.369088053703308,51.604037046432495
0,129,null,1.369088053703308,51.604100704193115
_,130,null,1.0700479745864868,51.94045901298523
0,130,null,1.0700479745864868,51.94052505493164
_,131,null,1.3612159490585327,52.2767391204834
0,131,null,1.3612159490585327,52.27679753303528
_,132,null,1.237280011177063,52.61366820335388
0,132,null,1.237280011177063,52.613728523254395
_,133,null,1.1303679943084717,52.94940757751465
0,133,null,1.1303679943084717,52.9494903087616
_,134,null,1.558527946472168,53.28660845756531
0,134,null,1.558527946472168,53.286678075790405
_,135,null,1.0178560018539429,53.623260736465454
0,135,null,1.0178560018539429,53.623326539993286
_,136,null,1.499135971069336,53.96011710166931
0,136,null,1.499135971069336,53.96022868156433
_,137,null,1.3424320220947266,54.296427965164185
0,137,null,1.3424320220947266,54.29648971557617
_,138,null,1.4458880424499512,54.63295006752014
0,138,null,1.4458880424499512,54.63300633430481
_,139,null,1.3895679712295532,54.970032691955566
0,139,null,1.3895679712295532,54.97009229660034
_,140,null,1.2546559572219849,55.30625867843628
0,140,null,1.2546559572219849,55.30631732940674
_,141,null,1.0947519540786743,55.643985986709595
0,141,null,1.0947519540786743,55.64404535293579
_,142,null,1.381119966506958,55.98060894012451
0,142,null,1.381119966506958,55.9806706905365
_,143,null,1.2177599668502808,56.31670618057251
0,143,null,1.2177599668502808,56.316765546798706
_,144,null,1.3895679712295532,56.65374398231506
0,144,null,1.3895679712295532,56.653804302215576
_,145,null,1.1148159503936768,56.99067521095276
0,145,null,1.1148159503936768,56.99073600769043
_,146,null,1.0801600217819214,57.32763934135437
0,146,null,1.0801600217819214,57.32769989967346
_,147,null,1.4282560348510742,57.66458058357239
0,147,null,1.4282560348510742,57.66464304924011
_,148,null,1.260543942451477,58.00136709213257
0,148,null,1.260543942451477,58.0014488697052
_,149,null,1.263327956199646,58.33837628364563
0,149,null,1.263327956199646,58.33844780921936
_,150,null,1.2177599668502808,58.674715995788574
0,150,null,1.2177599668502808,58.67478060722351
_,151,null,1.0116480588912964,59.01132655143738
0,151,null,1.0116480588912964,59.01139736175537
_,152,null,1.3097920417785645,59.34786081314087
0,152,null,1.3097920417785645,59.34792518615723
_,153,null,1.4611200094223022,59.68508768081665
0,153,null,1.4611200094223022,59.68515467643738
_,154,null,1.172767996788025,60.02289295196533
0,154,null,1.172767996788025,60.02295446395874
_,155,null,1.6568000316619873,60.36062955856323
0,155,null,1.6568000316619873,60.360692739486694
_,156,null,1.0414079427719116,60.69733738899231
0,156,null,1.0414079427719116,60.69740080833435
_,157,null,1.1047999858856201,61.03475618362427
0,157,null,1.1047999858856201,61.0348162651062
_,158,null,0.9860479831695557,61.37253189086914
0,158,null,0.9860479831695557,61.372596740722656
_,159,null,1.1826239824295044,61.70982265472412
0,159,null,1.1826239824295044,61.709885120391846
_,160,null,1.2728320360183716,62.04689645767212
0,160,null,1.2728320360183716,62.046961069107056
_,161,null,1.5257279872894287,62.38414192199707
0,161,null,1.5257279872894287,62.3842031955719
_,162,null,1.3208320140838623,62.721184730529785
0,162,null,1.3208320140838623,62.7212438583374
_,163,null,1.0926400423049927,63.05920934677124
0,163,null,1.0926400423049927,63.05928826332092
_,164,null,1.6343040466308594,63.39649486541748
0,164,null,1.6343040466308594,63.39656162261963
_,165,null,1.4213119745254517,63.73304343223572
0,165,null,1.4213119745254517,63.733105421066284
_,166,null,1.052672028541565,64.07058954238892
0,166,null,1.052672028541565,64.07065534591675
_,167,null,1.043455958366394,64.40768241882324
0,167,null,1.043455958366394,64.4077422618866
_,168,null,1.2349439859390259,64.74523043632507
0,168,null,1.2349439859390259,64.74528980255127
_,169,null,1.030400037765503,65.08256030082703
0,169,null,1.030400037765503,65.0826210975647
_,170,null,1.4199999570846558,65.42006349563599
0,170,null,1.4199999570846558,65.42012071609497
_,171,null,1.558784008026123,65.75747656822205
0,171,null,1.558784008026123,65.75753402709961
_,172,null,1.0291199684143066,66.09455561637878
0,172,null,1.0291199684143066,66.09461331367493
_,173,null,0.9556159973144531,66.43159818649292
0,173,null,0.9556159973144531,66.4316577911377
_,174,null,1.0240000486373901,66.76849627494812
0,174,null,1.0240000486373901,66.7685546875
_,175,null,0.9963520169258118,67.10510969161987
0,175,null,0.9963520169258118,67.10516810417175
_,176,null,1.0967040061950684,67.44263935089111
0,176,null,1.0967040061950684,67.44270396232605
_,177,null,0.9716160297393799,67.779372215271
0,177,null,0.9716160297393799,67.77947759628296
_,178,null,1.1704319715499878,68.11676263809204
0,178,null,1.1704319715499878,68.11682724952698
_,179,null,1.0646719932556152,68.45336580276489
0,179,null,1.0646719932556152,68.45342946052551
_,180,null,1.0741759538650513,68.79054117202759
0,180,null,1.0741759538650513,68.7906060218811
_,181,null,1.001471996307373,69.12807774543762
0,181,null,1.001471996307373,69.12813782691956
_,182,null,1.0523840188980103,69.46602964401245
0,182,null,1.0523840188980103,69.46609306335449
_,183,null,1.0841920375823975,69.80379152297974
0,183,null,1.0841920375823975,69.8038501739502
_,184,null,1.0200320482254028,70.13978338241577
0,184,null,1.0200320482254028,70.13984227180481
_,185,null,1.129472017288208,70.47933101654053
0,185,null,1.129472017288208,70.47938776016235
_,186,null,1.4929920434951782,70.81746697425842
0,186,null,1.4929920434951782,70.81752586364746
_,187,null,1.022976040840149,71.15441250801086
0,187,null,1.022976040840149,71.15446996688843
_,188,null,1.0168319940567017,71.49206471443176
0,188,null,1.0168319940567017,71.49212217330933
_,189,null,1.2513279914855957,71.83004832267761
0,189,null,1.2513279914855957,71.83010363578796
_,190,null,0.936959981918335,72.16699576377869
0,190,null,0.936959981918335,72.16705250740051
_,191,null,1.643839955329895,72.50489044189453
0,191,null,1.643839955329895,72.5049479007721
_,192,null,1.4778560400009155,72.8434727191925
0,192,null,1.4778560400009155,72.84355044364929
_,193,null,1.6128000020980835,73.18199729919434
0,193,null,1.6128000020980835,73.18206214904785
_,194,null,1.4887360334396362,73.52005863189697
0,194,null,1.4887360334396362,73.52011942863464
_,195,null,1.714176058769226,73.85795521736145
0,195,null,1.714176058769226,73.85802054405212
_,196,null,1.3837120532989502,74.19550085067749
0,196,null,1.3837120532989502,74.19556307792664
_,197,null,1.5531519651412964,74.53487205505371
0,197,null,1.5531519651412964,74.53493309020996
_,198,null,1.4932479858398438,74.8730800151825
0,198,null,1.4932479858398438,74.87314248085022
_,199,null,1.3793280124664307,75.2113618850708
0,199,null,1.3793280124664307,75.21142482757568
_,200,null,1.2165119647979736,75.54892873764038
0,200,null,1.2165119647979736,75.54898762702942
_,201,null,1.3486080169677734,75.88673448562622
0,201,null,1.3486080169677734,75.886794090271
_,202,null,0.9707520008087158,76.22460508346558
0,202,null,0.9707520008087158,76.22466516494751
_,203,null,1.0383360385894775,76.56278085708618
0,203,null,1.0383360385894775,76.56284761428833
_,204,null,1.5778559446334839,76.9009895324707
0,204,null,1.5778559446334839,76.9010534286499
_,205,null,1.2421120405197144,77.23872518539429
0,205,null,1.2421120405197144,77.23878645896912
_,206,null,0.9922559857368469,77.57754588127136
0,206,null,0.9922559857368469,77.57760548591614
_,207,null,1.0485759973526,77.91610646247864
0,207,null,1.0485759973526,77.91618609428406
_,208,null,1.3179839849472046,78.25512027740479
0,208,null,1.3179839849472046,78.25517559051514
_,209,null,1.3127679824829102,78.59247660636902
0,209,null,1.3127679824829102,78.59253358840942
_,210,null,1.106943964958191,78.9304747581482
0,210,null,1.106943964958191,78.9305362701416
_,211,null,1.0301120281219482,79.26929879188538
0,211,null,1.0301120281219482,79.26935648918152
_,212,null,1.252351999282837,79.6071367263794
0,212,null,1.252351999282837,79.60719275474548
_,213,null,1.282047986984253,79.94527769088745
0,213,null,1.282047986984253,79.94534015655518
_,214,null,1.1735039949417114,80.28327322006226
0,214,null,1.1735039949417114,80.2833321094513
_,215,null,1.094655990600586,80.62184572219849
0,215,null,1.094655990600586,80.62190270423889
_,216,null,0.971776008605957,80.95947527885437
0,216,null,0.971776008605957,80.95956015586853
_,217,null,1.4621119499206543,81.29829049110413
0,217,null,1.4621119499206543,81.29834413528442
_,218,null,1.0322240591049194,81.6371386051178
0,218,null,1.0322240591049194,81.63719344139099
_,219,null,1.1936639547348022,81.97503137588501
0,219,null,1.1936639547348022,81.97508668899536
_,220,null,1.2759040594100952,82.31297039985657
0,220,null,1.2759040594100952,82.31302618980408
_,221,null,0.9564160108566284,82.6516375541687
0,221,null,0.9564160108566284,82.65169286727905
_,222,null,1.1242560148239136,82.98981785774231
0,222,null,1.1242560148239136,82.9898943901062
_,223,null,1.3086719512939453,83.3284752368927
0,223,null,1.3086719512939453,83.32853698730469
_,224,null,1.2974079847335815,83.66708564758301
0,224,null,1.2974079847335815,83.66714096069336
_,225,null,1.3025280237197876,84.00496554374695
0,225,null,1.3025280237197876,84.00502848625183
_,226,null,1.1640000343322754,84.34329080581665
0,226,null,1.1640000343322754,84.34334897994995
_,227,null,1.1960320472717285,84.68283200263977
0,227,null,1.1960320472717285,84.68289494514465
_,228,null,1.2789759635925293,85.02123069763184
0,228,null,1.2789759635925293,85.02129411697388
_,229,null,1.1773120164871216,85.35899949073792
0,229,null,1.1773120164871216,85.3590579032898
_,230,null,1.5902719497680664,85.6986756324768
0,230,null,1.5902719497680664,85.69873762130737
_,231,null,1.0342400074005127,86.0379147529602
0,231,null,1.0342400074005127,86.03797197341919
_,232,null,1.2912640571594238,86.37609362602234
0,232,null,1.2912640571594238,86.376149892807
_,233,null,1.3148159980773926,86.7156195640564
0,233,null,1.3148159980773926,86.7156777381897
_,234,null,1.2718080282211304,87.05412125587463
0,234,null,1.2718080282211304,87.05417919158936
_,235,null,1.269760012626648,87.39306879043579
0,235,null,1.269760012626648,87.39312744140625
_,236,null,1.3004800081253052,87.73232793807983
0,236,null,1.3004800081253052,87.73238587379456
_,237,null,1.1683839559555054,88.07052159309387
0,237,null,1.1683839559555054,88.07060241699219
_,238,null,1.6691839694976807,88.41004347801208
0,238,null,1.6691839694976807,88.41010546684265
_,239,null,1.0660480260849,88.74971556663513
0,239,null,1.0660480260849,88.74977779388428
_,240,null,1.1704319715499878,89.08817100524902
0,240,null,1.1704319715499878,89.08823204040527
_,241,null,1.333184003829956,89.42662310600281
0,241,null,1.333184003829956,89.42668271064758
_,242,null,1.0751999616622925,89.76633834838867
0,242,null,1.0751999616622925,89.76639556884766
_,243,null,1.0001280307769775,90.10473394393921
0,243,null,1.0001280307769775,90.10479187965393
_,244,null,1.5800319910049438,90.44297075271606
0,244,null,1.5800319910049438,90.44304037094116
_,245,null,1.581279993057251,90.78317499160767
0,245,null,1.581279993057251,90.78323698043823
_,246,null,1.557695984840393,91.1232557296753
0,246,null,1.557695984840393,91.12331461906433
_,247,null,1.5861760377883911,91.46212601661682
0,247,null,1.5861760377883911,91.46218752861023
_,248,null,1.1430399417877197,91.80140089988708
0,248,null,1.1430399417877197,91.8014554977417
_,249,null,1.183743953704834,92.14102029800415
0,249,null,1.183743953704834,92.14107847213745
_,250,null,1.7131520509719849,92.47983980178833
0,250,null,1.7131520509719849,92.47989749908447
_,251,null,1.013759970664978,92.81770944595337
0,251,null,1.013759970664978,92.81778955459595
_,252,null,1.3228800296783447,93.15873742103577
0,252,null,1.3228800296783447,93.15880751609802
_,253,null,1.553439974784851,93.49794840812683
0,253,null,1.553439974784851,93.49802899360657
_,254,null,1.465343952178955,93.83660054206848
0,254,null,1.465343952178955,93.83668518066406
_,255,null,1.27510404586792,94.17670011520386
0,255,null,1.27510404586792,94.17675638198853
_,256,null,1.3477120399475098,94.51581001281738
0,256,null,1.3477120399475098,94.5158908367157
_,257,null,1.210368037223816,94.8552885055542
0,257,null,1.210368037223816,94.85534477233887
_,258,null,1.6207679510116577,95.19569730758667
0,258,null,1.6207679510116577,95.19578289985657
