epoch,batch_idx,computetime,computetime_ms,log_time
_,1,null,1069.2884521484375,31.41793918609619
0,1,null,1069.2884521484375,31.41803002357483
_,2,null,445.5168151855469,31.865211725234985
0,2,null,445.5168151855469,31.86526370048523
_,3,null,445.0754699707031,32.31136131286621
0,3,null,445.0754699707031,32.3114128112793
_,4,null,447.3630676269531,32.75985550880432
0,4,null,447.3630676269531,32.75990700721741
_,5,null,449.1653137207031,33.21528339385986
0,5,null,449.1653137207031,33.21534729003906
_,6,null,447.309814453125,33.664255142211914
0,6,null,447.309814453125,33.664339780807495
_,7,null,446.2213134765625,34.11260771751404
0,7,null,446.2213134765625,34.11266565322876
_,8,null,447.9754333496094,34.562631368637085
0,8,null,447.9754333496094,34.56268620491028
_,9,null,445.8311767578125,35.0121123790741
0,9,null,445.8311767578125,35.01216793060303
_,10,null,448.6297607421875,35.465818881988525
0,10,null,448.6297607421875,35.46588206291199
_,11,null,448.7413635253906,35.919206619262695
0,11,null,448.7413635253906,35.91926598548889
_,12,null,448.100341796875,36.370280265808105
0,12,null,448.100341796875,36.37034296989441
_,13,null,447.16748046875,36.82115936279297
0,13,null,447.16748046875,36.82122445106506
_,14,null,447.678466796875,37.27299356460571
0,14,null,447.678466796875,37.27305555343628
_,15,null,449.9292297363281,37.72797417640686
0,15,null,449.9292297363281,37.72803497314453
_,16,null,449.41925048828125,38.182355880737305
0,16,null,449.41925048828125,38.182454109191895
_,17,null,450.7914123535156,38.638481855392456
0,17,null,450.7914123535156,38.63854384422302
_,18,null,448.2908020019531,39.09058713912964
0,18,null,448.2908020019531,39.09064507484436
_,19,null,448.5672912597656,39.542515993118286
0,19,null,448.5672912597656,39.542580127716064
_,20,null,448.0747375488281,39.993828773498535
0,20,null,448.0747375488281,39.99388933181763
_,21,null,447.847412109375,40.44481563568115
0,21,null,447.847412109375,40.44487380981445
_,22,null,449.4254150390625,40.898432970047
0,22,null,449.4254150390625,40.89849019050598
_,23,null,449.07928466796875,41.35067176818848
0,23,null,449.07928466796875,41.35072994232178
_,24,null,448.6666259765625,41.8018844127655
0,24,null,448.6666259765625,41.801939249038696
_,25,null,448.7372741699219,42.25329279899597
0,25,null,448.7372741699219,42.25334811210632
_,26,null,450.2855529785156,42.706599712371826
0,26,null,450.2855529785156,42.70665693283081
_,27,null,449.1038818359375,43.158570528030396
0,27,null,449.1038818359375,43.15862536430359
_,28,null,450.15960693359375,43.61128330230713
0,28,null,450.15960693359375,43.61134719848633
_,29,null,450.04901123046875,44.06449794769287
0,29,null,450.04901123046875,44.06455087661743
_,30,null,450.4565734863281,44.51784658432007
0,30,null,450.4565734863281,44.51790690422058
_,31,null,450.86004638671875,44.97194480895996
