total,used,free,log_time
3.6Gi,3.0Mi,3.6Gi,2.7187681198120117
3.6Gi,3.0Mi,3.6Gi,4.157330274581909
3.6Gi,3.0Mi,3.6Gi,5.776679039001465
3.6Gi,3.0Mi,3.6Gi,7.137461185455322
3.6Gi,3.0Mi,3.6Gi,8.509247064590454
3.6Gi,3.0Mi,3.6Gi,9.738504409790039
3.6Gi,3.0Mi,3.6Gi,11.149914741516113
3.6Gi,3.0Mi,3.6Gi,12.643945217132568
3.6Gi,3.0Mi,3.6Gi,14.042742013931274
3.6Gi,3.0Mi,3.6Gi,15.473405361175537
3.6Gi,3.0Mi,3.6Gi,16.64485001564026
3.6Gi,3.0Mi,3.6Gi,17.82383632659912
3.6Gi,3.0Mi,3.6Gi,18.99690866470337
3.6Gi,3.0Mi,3.6Gi,20.159932136535645
3.6Gi,3.0Mi,3.6Gi,21.30889582633972
3.6Gi,3.0Mi,3.6Gi,22.468079805374146
3.6Gi,3.0Mi,3.6Gi,23.63953399658203
3.6Gi,3.0Mi,3.6Gi,24.790591716766357
3.6Gi,3.0Mi,3.6Gi,25.939048051834106
3.6Gi,3.0Mi,3.6Gi,27.13335108757019
3.6Gi,3.0Mi,3.6Gi,28.305676221847534
3.6Gi,3.0Mi,3.6Gi,29.451739072799683
3.6Gi,3.0Mi,3.6Gi,30.609171867370605
3.6Gi,3.0Mi,3.6Gi,31.7783305644989
3.6Gi,3.0Mi,3.6Gi,32.93675374984741
3.6Gi,3.0Mi,3.6Gi,34.102667570114136
3.6Gi,3.0Mi,3.6Gi,35.269304513931274
3.6Gi,3.0Mi,3.6Gi,36.4238383769989
3.6Gi,3.0Mi,3.6Gi,37.59507775306702
3.6Gi,3.0Mi,3.6Gi,38.750301122665405
3.6Gi,3.0Mi,3.6Gi,39.89133071899414
3.6Gi,3.0Mi,3.6Gi,41.089423418045044
3.6Gi,3.0Mi,3.6Gi,42.249019145965576
3.6Gi,3.0Mi,3.6Gi,43.400585889816284
3.6Gi,3.0Mi,3.6Gi,44.55306959152222
3.6Gi,3.0Mi,3.6Gi,45.703632831573486
3.6Gi,3.0Mi,3.6Gi,46.86781334877014
3.6Gi,3.0Mi,3.6Gi,48.02401685714722
3.6Gi,3.0Mi,3.6Gi,49.174943685531616
3.6Gi,3.0Mi,3.6Gi,50.31984353065491
3.6Gi,3.0Mi,3.6Gi,51.48393130302429
3.6Gi,3.0Mi,3.6Gi,52.630444288253784
3.6Gi,3.0Mi,3.6Gi,53.78424263000488
3.6Gi,3.0Mi,3.6Gi,54.92593050003052
3.6Gi,3.0Mi,3.6Gi,56.08565282821655
3.6Gi,3.0Mi,3.6Gi,57.25378632545471
3.6Gi,3.0Mi,3.6Gi,58.402098178863525
3.6Gi,3.0Mi,3.6Gi,59.539146900177
3.6Gi,3.0Mi,3.6Gi,60.70766830444336
3.6Gi,3.0Mi,3.6Gi,61.90669775009155
3.6Gi,3.0Mi,3.6Gi,63.05235028266907
3.6Gi,3.0Mi,3.6Gi,64.2085132598877
3.6Gi,3.0Mi,3.6Gi,65.37345051765442
3.6Gi,3.0Mi,3.6Gi,66.52063012123108
3.6Gi,3.0Mi,3.6Gi,67.66867923736572
3.6Gi,3.0Mi,3.6Gi,68.85554695129395
3.6Gi,3.0Mi,3.6Gi,69.99639868736267
3.6Gi,3.0Mi,3.6Gi,71.2014434337616
3.6Gi,3.0Mi,3.6Gi,72.37028169631958
3.6Gi,3.0Mi,3.6Gi,73.5281891822815
3.6Gi,3.0Mi,3.6Gi,74.76496148109436
3.6Gi,3.0Mi,3.6Gi,75.94928503036499
3.6Gi,3.0Mi,3.6Gi,77.09176182746887
3.6Gi,3.0Mi,3.6Gi,78.295241355896
3.6Gi,3.0Mi,3.6Gi,79.51373386383057
3.6Gi,3.0Mi,3.6Gi,80.65990233421326
3.6Gi,3.0Mi,3.6Gi,81.82464385032654
3.6Gi,3.0Mi,3.6Gi,82.96514558792114
3.6Gi,3.0Mi,3.6Gi,84.12915325164795
3.6Gi,3.0Mi,3.6Gi,85.38253998756409
3.6Gi,3.0Mi,3.6Gi,86.57858109474182
3.6Gi,3.0Mi,3.6Gi,87.87623739242554
3.6Gi,3.0Mi,3.6Gi,89.01895499229431
3.6Gi,3.0Mi,3.6Gi,90.17906832695007
3.6Gi,3.0Mi,3.6Gi,91.37008166313171
3.6Gi,3.0Mi,3.6Gi,92.53558421134949
3.6Gi,3.0Mi,3.6Gi,93.69902491569519
3.6Gi,3.0Mi,3.6Gi,94.85842990875244
3.6Gi,3.0Mi,3.6Gi,96.16627836227417
3.6Gi,5.0Mi,3.6Gi,97.90490388870239
3.6Gi,5.0Mi,3.6Gi,99.52151656150818
3.6Gi,5.0Mi,3.6Gi,101.00589919090271
3.6Gi,5.0Mi,3.6Gi,102.38030886650085
3.6Gi,7.0Mi,3.6Gi,103.80757999420166
3.6Gi,7.0Mi,3.6Gi,105.17284393310547
3.6Gi,7.0Mi,3.6Gi,106.49932384490967
3.6Gi,7.0Mi,3.6Gi,107.92881226539612
3.6Gi,7.0Mi,3.6Gi,109.26598381996155
3.6Gi,7.0Mi,3.6Gi,110.64117479324341
3.6Gi,7.0Mi,3.6Gi,111.89099764823914
