total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,2.7304368019104004
7.2Gi,2.1Gi,3.1Gi,20Mi,2.0Gi,4.9Gi,4.475337743759155
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,7.736146926879883
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.9Gi,9.94281792640686
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.9Gi,12.327513933181763
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.9Gi,14.156802654266357
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.9Gi,15.959171295166016
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.9Gi,17.946537494659424
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,19.64636516571045
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,21.618664264678955
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,23.62976384162903
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,25.601317882537842
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,27.47232985496521
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,29.436192750930786
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,31.446240186691284
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,33.22111415863037
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,35.04005146026611
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,36.95287728309631
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,39.18719506263733
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,41.2754430770874
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,43.31048321723938
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,44.901050329208374
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,47.05540657043457
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,48.6017529964447
7.2Gi,2.1Gi,3.0Gi,20Mi,2.0Gi,4.8Gi,50.27800369262695
7.2Gi,2.1Gi,3.0Gi,20Mi,2.1Gi,4.8Gi,52.31318950653076
7.2Gi,2.1Gi,3.0Gi,20Mi,2.1Gi,4.8Gi,54.917807817459106
7.2Gi,2.1Gi,3.0Gi,20Mi,2.1Gi,4.8Gi,56.626105070114136
7.2Gi,2.2Gi,2.9Gi,20Mi,2.1Gi,4.8Gi,58.51963257789612
7.2Gi,2.3Gi,2.8Gi,20Mi,2.1Gi,4.7Gi,60.18635845184326
7.2Gi,2.4Gi,2.7Gi,20Mi,2.1Gi,4.6Gi,62.57777667045593
7.2Gi,2.6Gi,2.5Gi,20Mi,2.1Gi,4.4Gi,64.41523861885071
7.2Gi,2.6Gi,2.6Gi,20Mi,2.0Gi,4.4Gi,66.15882349014282
7.2Gi,2.1Gi,4.5Gi,20Mi,579Mi,4.8Gi,68.82533550262451
7.2Gi,2.1Gi,4.5Gi,20Mi,580Mi,4.8Gi,70.11997270584106
7.2Gi,2.1Gi,4.5Gi,20Mi,580Mi,4.8Gi,71.53192973136902
7.2Gi,2.1Gi,4.5Gi,20Mi,580Mi,4.8Gi,72.85919523239136
7.2Gi,2.2Gi,4.4Gi,20Mi,600Mi,4.8Gi,74.70442247390747
7.2Gi,2.2Gi,4.3Gi,75Mi,673Mi,4.6Gi,76.55398035049438
7.2Gi,2.3Gi,4.2Gi,103Mi,728Mi,4.6Gi,78.06715202331543
7.2Gi,2.3Gi,4.1Gi,103Mi,750Mi,4.6Gi,79.42993497848511
7.2Gi,2.3Gi,4.1Gi,103Mi,778Mi,4.5Gi,80.98230290412903
7.2Gi,2.4Gi,4.0Gi,103Mi,797Mi,4.5Gi,82.47312450408936
7.2Gi,2.4Gi,4.0Gi,103Mi,827Mi,4.5Gi,83.84040403366089
7.2Gi,2.4Gi,3.9Gi,103Mi,847Mi,4.4Gi,85.15546941757202
7.2Gi,2.5Gi,3.9Gi,103Mi,869Mi,4.4Gi,86.6401207447052
7.2Gi,2.5Gi,3.8Gi,103Mi,881Mi,4.4Gi,88.00474905967712
7.2Gi,2.5Gi,3.8Gi,103Mi,901Mi,4.4Gi,89.48417234420776
7.2Gi,2.6Gi,3.7Gi,103Mi,922Mi,4.3Gi,90.89227938652039
7.2Gi,2.6Gi,3.6Gi,103Mi,945Mi,4.3Gi,92.46017408370972
7.2Gi,2.7Gi,3.6Gi,103Mi,964Mi,4.2Gi,94.05437517166138
7.2Gi,2.7Gi,3.5Gi,103Mi,983Mi,4.1Gi,95.7125997543335
7.2Gi,2.8Gi,3.4Gi,103Mi,1.0Gi,4.1Gi,97.09960055351257
7.2Gi,2.8Gi,3.4Gi,103Mi,1.0Gi,4.1Gi,98.4821560382843
7.2Gi,2.8Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,100.11218547821045
7.2Gi,2.9Gi,3.3Gi,103Mi,1.0Gi,4.0Gi,101.76257801055908
7.2Gi,2.9Gi,3.2Gi,103Mi,1.0Gi,3.9Gi,103.21186184883118
7.2Gi,3.0Gi,3.1Gi,103Mi,1.0Gi,3.9Gi,104.60781741142273
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,106.19672703742981
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,107.49008989334106
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,109.12492442131042
7.2Gi,3.1Gi,3.0Gi,103Mi,1.1Gi,3.8Gi,110.4662094116211
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,111.95423460006714
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.8Gi,113.48359799385071
7.2Gi,3.1Gi,2.9Gi,103Mi,1.1Gi,3.7Gi,115.04476356506348
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,116.51282167434692
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,118.15677070617676
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.7Gi,119.52495789527893
7.2Gi,3.2Gi,2.8Gi,103Mi,1.2Gi,3.6Gi,121.01586842536926
7.2Gi,3.2Gi,2.7Gi,103Mi,1.2Gi,3.6Gi,122.39251351356506
7.2Gi,3.2Gi,2.7Gi,103Mi,1.3Gi,3.6Gi,123.87425756454468
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,125.33715963363647
7.2Gi,3.2Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,126.77903747558594
7.2Gi,3.3Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,128.306813955307
7.2Gi,3.3Gi,2.6Gi,103Mi,1.3Gi,3.6Gi,129.91540575027466
7.2Gi,3.3Gi,2.5Gi,103Mi,1.3Gi,3.6Gi,131.2384181022644
7.2Gi,3.3Gi,2.5Gi,103Mi,1.4Gi,3.6Gi,132.62229180335999
