time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU1,GPU2,RAM,EMC,SWAP,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,power cur,power avg,log_time
2024-06-10 15:17:43.696574,0 days 00:49:41.300000,ON,pm_new,13,3,9,7,7,8,0,0,5422196,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.718,39.875,39.281,40.218,41.062,41.062,7370,8404,0.24378347396850586
2024-06-10 15:17:43.696574,0 days 00:49:41.300000,ON,pm_new,13,3,9,7,7,8,0,0,5422196,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.718,39.875,39.281,40.218,41.062,41.062,7370,8404,0.24378347396850586
2024-06-10 15:17:44.451987,0 days 00:49:42.060000,ON,pm_new,64,66,56,96,84,56,0,0,2413920,4,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.718,39.468,38.968,40.0,40.718,40.718,8133,8133,0.9987707138061523
2024-06-10 15:17:45.873120,0 days 00:49:43.480000,ON,pm_new,98,100,100,100,98,100,0,0,2415032,3,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.718,39.812,39.031,39.968,40.781,40.812,9160,8685,2.4197683334350586
2024-06-10 15:17:47.181550,0 days 00:49:44.790000,ON,pm_new,100,98,100,100,100,98,0,0,2422048,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.75,39.718,39.0,40.0,40.781,40.843,9275,8997,3.728360176086426
2024-06-10 15:17:48.415678,0 days 00:49:46.020000,ON,pm_new,100,100,100,100,90,94,0,0,2431976,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.937,39.656,39.062,39.937,40.937,40.937,9472,9081,4.962303876876831
2024-06-10 15:17:49.813705,0 days 00:49:47.420000,ON,pm_new,100,98,96,100,96,100,35,35,2461864,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.781,39.562,39.062,39.906,40.968,41.0,9551,9191,6.360605478286743
2024-06-10 15:17:51.205411,0 days 00:49:48.810000,ON,pm_new,90,100,98,96,100,100,0,0,2434200,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.781,39.531,39.062,39.968,41.0,41.0,9196,9209,7.751984596252441
2024-06-10 15:17:52.573917,0 days 00:49:50.180000,ON,pm_new,100,100,100,100,100,100,0,0,2435436,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.812,39.781,39.062,40.125,40.843,40.937,9156,9207,9.120495319366455
2024-06-10 15:17:53.891447,0 days 00:49:51.500000,ON,pm_new,90,100,100,96,100,100,37,37,2590028,4,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.906,39.562,39.062,40.0,40.906,40.906,9674,9245,10.438086748123169
2024-06-10 15:17:55.184203,0 days 00:49:52.790000,ON,pm_new,100,94,100,100,100,100,18,18,2893952,6,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.0,39.875,39.093,39.937,40.937,41.0,9762,9290,11.73088788986206
2024-06-10 15:17:56.941779,0 days 00:49:54.550000,ON,pm_new,7,72,0,19,1,25,0,0,2928340,4,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.406,39.781,38.937,40.062,40.781,40.781,7020,9141,13.48845386505127
2024-06-10 15:17:58.173204,0 days 00:49:55.780000,ON,pm_new,10,44,9,20,30,32,0,0,2434744,3,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.218,39.5,39.031,40.0,40.718,40.718,6773,8896,14.71992301940918
2024-06-10 15:17:59.361286,0 days 00:49:56.970000,ON,pm_new,15,13,18,13,13,39,0,0,2481432,3,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.437,39.593,39.0,39.906,40.718,40.718,6823,8754,15.907886981964111
2024-06-10 15:18:00.545617,0 days 00:49:58.150000,ON,pm_new,50,43,64,94,68,59,0,0,2593508,6,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.437,39.531,38.937,39.656,40.687,40.687,7970,8680,17.09226083755493
2024-06-10 15:18:01.748522,0 days 00:49:59.360000,ON,pm_new,5,3,8,2,5,3,0,0,2692112,4,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,40.062,39.656,38.875,39.812,40.593,40.593,6715,8542,18.295116424560547
