time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,GPU1,GPU2,RAM,EMC,SWAP,APE,NVDEC,NVENC,NVJPG,NVJPG1,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp tj,power cur,power avg,log_time
2024-06-11 16:10:43.471066,0 days 00:36:37.620000,ON,pm_new,86,19,69,13,48,8,0,0,3269104,14,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.218,41.625,41.125,41.875,42.906,42.906,7488,10530,0.2827792167663574
2024-06-11 16:10:43.471066,0 days 00:36:37.620000,ON,pm_new,86,19,69,13,48,8,0,0,3269104,14,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.218,41.625,41.125,41.875,42.906,42.906,7488,10530,0.2827792167663574
2024-06-11 16:10:44.207565,0 days 00:36:38.350000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,0,0,2361564,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.093,41.531,40.75,41.718,42.625,42.656,7606,7606,1.019080400466919
2024-06-11 16:10:45.908771,0 days 00:36:40.050000,ON,pm_new,98,100,OFF,OFF,OFF,OFF,3,3,2391912,1,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.031,41.218,40.843,41.593,42.656,42.593,7724,7665,2.7198920249938965
2024-06-11 16:10:47.215405,0 days 00:36:41.360000,ON,pm_new,65,98,OFF,OFF,OFF,OFF,27,27,2587276,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.187,41.531,40.75,41.531,42.718,42.687,7685,7671,4.0265374183654785
2024-06-11 16:10:48.568368,0 days 00:36:42.710000,ON,pm_new,40,92,OFF,OFF,OFF,OFF,58,58,2890044,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.0,41.343,40.656,41.625,42.625,42.687,7568,7671,5.380015850067139
2024-06-11 16:10:50.360068,0 days 00:36:44.500000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,0,0,3014668,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.968,41.562,40.781,41.468,42.5,42.5,7685,7664,7.171258926391602
2024-06-11 16:10:51.822641,0 days 00:36:45.970000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,2,2,3290664,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.968,41.531,40.843,41.437,42.593,42.593,7842,7684,8.633874893188477
2024-06-11 16:10:53.132519,0 days 00:36:47.280000,ON,pm_new,67,94,OFF,OFF,OFF,OFF,16,16,3700708,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.843,41.218,40.625,41.468,42.5,42.5,7647,7684,9.943655729293823
2024-06-11 16:10:54.382871,0 days 00:36:48.530000,ON,pm_new,42,88,OFF,OFF,OFF,OFF,46,46,3878324,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.843,41.156,40.593,41.562,42.468,42.5,7528,7678,11.194032192230225
2024-06-11 16:10:55.672597,0 days 00:36:49.820000,ON,pm_new,66,86,OFF,OFF,OFF,OFF,0,0,4300716,2,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.125,41.031,40.625,41.437,42.5,42.5,7734,7676,12.485422849655151
2024-06-11 16:10:56.973602,0 days 00:36:51.120000,ON,pm_new,56,66,OFF,OFF,OFF,OFF,47,47,4829832,3,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.687,41.156,40.625,41.343,42.375,42.406,8010,7711,13.784724950790405
2024-06-11 16:10:58.628370,0 days 00:36:52.770000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,80,80,5145992,20,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,41.875,41.781,40.625,41.343,42.75,42.75,13165,8102,15.439523458480835
2024-06-11 16:11:00.490922,0 days 00:36:54.650000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,99,99,5076184,27,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.062,41.968,40.843,41.468,42.843,42.812,13283,8791,17.31406831741333
2024-06-11 16:11:02.459034,0 days 00:36:56.600000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,0,0,5102840,30,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.093,41.75,40.968,41.468,42.906,42.906,13402,9174,19.270193338394165
2024-06-11 16:11:04.573698,0 days 00:36:58.720000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,26,26,5112412,28,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.25,41.843,41.062,41.656,42.968,43.0,12331,9568,21.400408506393433
2024-06-11 16:11:06.563722,0 days 00:37:00.710000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,58,58,5117668,28,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.343,42.312,41.0,41.625,43.0,43.0,12925,9881,23.374868869781494
2024-06-11 16:11:08.534817,0 days 00:37:02.680000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,92,92,5111588,29,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.406,42.375,41.0,41.75,43.187,43.218,13283,10167,25.345924139022827
2024-06-11 16:11:10.400268,0 days 00:37:04.540000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,99,99,5109804,30,4,OFF,OFF,OFF,OFF,OFF,307,OFF,100.0,42.406,42.375,41.156,41.781,43.312,43.312,13916,10388,27.211474657058716
