total,used,free,shared,buff/cache,available,log_time
7.2Gi,2.3Gi,2.5Gi,20Mi,2.4Gi,4.6Gi,1.8745074272155762
7.2Gi,2.5Gi,2.2Gi,20Mi,2.4Gi,4.4Gi,3.0838277339935303
7.2Gi,3.0Gi,1.8Gi,103Mi,2.5Gi,3.9Gi,4.331839561462402
7.2Gi,3.3Gi,1.4Gi,103Mi,2.5Gi,3.6Gi,5.5327980518341064
7.2Gi,3.7Gi,1.1Gi,103Mi,2.5Gi,3.2Gi,6.722661018371582
7.2Gi,4.3Gi,462Mi,103Mi,2.5Gi,2.6Gi,7.923653602600098
7.2Gi,4.6Gi,117Mi,94Mi,2.4Gi,2.2Gi,9.140321254730225
7.2Gi,4.6Gi,123Mi,103Mi,2.4Gi,2.2Gi,10.380773305892944
7.2Gi,4.6Gi,123Mi,103Mi,2.4Gi,2.2Gi,11.678535461425781
7.2Gi,4.6Gi,104Mi,94Mi,2.4Gi,2.2Gi,12.912966966629028
7.2Gi,4.6Gi,105Mi,94Mi,2.4Gi,2.2Gi,14.143535852432251
7.2Gi,4.6Gi,101Mi,97Mi,2.4Gi,2.2Gi,15.406431198120117
7.2Gi,4.6Gi,100Mi,103Mi,2.4Gi,2.2Gi,16.669652223587036
7.2Gi,4.6Gi,107Mi,94Mi,2.4Gi,2.2Gi,17.897267818450928
7.2Gi,4.6Gi,106Mi,94Mi,2.4Gi,2.2Gi,19.139671325683594
7.2Gi,4.6Gi,107Mi,94Mi,2.4Gi,2.2Gi,20.376667499542236
7.2Gi,4.6Gi,99Mi,103Mi,2.4Gi,2.2Gi,21.681482076644897
7.2Gi,4.6Gi,108Mi,94Mi,2.4Gi,2.2Gi,22.895697116851807
7.2Gi,4.6Gi,105Mi,94Mi,2.4Gi,2.2Gi,24.13608193397522
7.2Gi,4.6Gi,109Mi,94Mi,2.4Gi,2.2Gi,25.373847007751465
7.2Gi,4.6Gi,100Mi,103Mi,2.4Gi,2.2Gi,26.673084259033203
7.2Gi,4.6Gi,98Mi,103Mi,2.4Gi,2.2Gi,27.90497612953186
