total,used,free,log_time
3.6Gi,3.0Mi,3.6Gi,2.32822585105896
3.6Gi,3.0Mi,3.6Gi,3.723680019378662
3.6Gi,3.0Mi,3.6Gi,5.050040245056152
3.6Gi,3.0Mi,3.6Gi,6.382484197616577
3.6Gi,3.0Mi,3.6Gi,7.704403400421143
3.6Gi,3.0Mi,3.6Gi,9.076644897460938
3.6Gi,3.0Mi,3.6Gi,10.458472490310669
3.6Gi,3.0Mi,3.6Gi,11.863963842391968
3.6Gi,3.0Mi,3.6Gi,13.195510864257812
3.6Gi,3.0Mi,3.6Gi,14.514083623886108
3.6Gi,3.0Mi,3.6Gi,15.83743691444397
3.6Gi,3.0Mi,3.6Gi,17.161076068878174
3.6Gi,3.0Mi,3.6Gi,18.486671447753906
3.6Gi,3.0Mi,3.6Gi,19.812548875808716
3.6Gi,3.0Mi,3.6Gi,21.14250898361206
3.6Gi,3.0Mi,3.6Gi,22.50023341178894
3.6Gi,3.0Mi,3.6Gi,23.887434720993042
3.6Gi,3.0Mi,3.6Gi,25.36951518058777
3.6Gi,3.0Mi,3.6Gi,26.801319360733032
3.6Gi,3.0Mi,3.6Gi,28.273621559143066
3.6Gi,3.0Mi,3.6Gi,29.796760082244873
3.6Gi,3.0Mi,3.6Gi,31.209147453308105
3.6Gi,3.0Mi,3.6Gi,32.67001938819885
