powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,1959163.294921875,19.959,2189294.6875,15.667558999999999
2_268800_1300500000_2133000000,1368344.0277404785,19.5545,1118948.125,17.04462
2_268800_1300500000_3199000000,1235261.4051513672,20.762,1327755.9375,17.463396
2_268800_1300500000_665600000,649181.7151031494,26.894,842568.3125000001,17.132887
2_268800_1236750000_204000000,6626252.680541992,14.345,6500675.9375,15.303180000000001
2_268800_1236750000_2133000000,4743716.207611084,15.45,5310827.5,16.54881
2_268800_1236750000_3199000000,6228046.123535156,16.052,5242867.8125,16.913965
2_268800_1236750000_665600000,5703525.155395508,14.547,5561717.5,16.715187999999998
2_268800_1134750000_204000000,6620411.109619141,14.045,6668135.9375,14.740122
2_268800_1134750000_2133000000,5225058.001586914,15.0975,5297515.9375,15.913257
2_268800_1134750000_3199000000,5037032.516723633,15.651,5224940.625,16.22899
2_268800_1134750000_665600000,5490235.746704102,14.146,5582742.8125,15.883251
2_268800_1032750000_204000000,6619693.009399414,13.244,6662025.312500001,14.237281000000001
2_268800_1032750000_2133000000,4917788.076416016,14.497,5288362.5,15.434674000000001
2_268800_1032750000_3199000000,4913941.86340332,15.2995,5209281.875,15.704156000000001
2_268800_1032750000_665600000,5275413.258117676,13.745,5567757.5,15.074014
2_268800_930750000_204000000,6629485.974975586,13.243,6656597.8125,13.890654
2_268800_930750000_2133000000,5054405.099121094,14.348,5278755.3125,15.102689
2_268800_930750000_3199000000,4910085.930175781,14.947,5196136.875,15.312688
2_268800_930750000_665600000,5519692.006958008,13.341,5553955.0,14.490283999999999
2_268800_828750000_204000000,6612553.363891602,12.842,6650331.875000001,13.628545
2_268800_828750000_2133000000,5189474.142822266,13.8955,5269610.9375,14.803306000000001
2_268800_828750000_3199000000,4986867.684692383,14.8975,5185025.9375,14.983356
2_268800_828750000_665600000,5458728.060791016,12.943,5540982.5,14.101884
2_268800_726750000_204000000,6658429.962768555,12.439,6663958.125000001,13.491365
2_268800_726750000_2133000000,5118493.260498047,13.543,5260642.1875,14.561043
2_268800_726750000_3199000000,5010721.009155273,14.047,5174446.875,14.715328
2_268800_726750000_665600000,5452495.186645508,12.941,5528148.125,13.837174000000001
2_268800_624750000_204000000,6654361.7666015625,12.4395,6681870.3125,13.4551455
2_268800_624750000_2133000000,5080190.408325195,13.544,5251697.1875,14.285995999999999
2_268800_624750000_3199000000,4956095.771850586,14.146,5164093.125,14.484208
2_268800_624750000_665600000,5415083.703491211,12.542,5516029.0625,13.726102999999998
2_268800_522750000_204000000,6683539.454223633,11.9895,6704239.687499999,13.486495999999999
2_268800_522750000_2133000000,5229132.330444336,13.544,5240945.3125,13.950942
2_268800_522750000_3199000000,4971833.578186035,14.146,5153558.4375,14.28665
2_268800_522750000_665600000,5373880.311035156,12.542,5502247.1875,13.67488
2_268800_420750000_204000000,6536749.900878906,12.041,6758631.250000001,13.452924000000001
2_268800_420750000_2133000000,5214505.994262695,13.145,5216825.0,13.704224
2_268800_420750000_3199000000,5320181.199829102,13.996,5130685.9375,14.162802
2_268800_420750000_665600000,5503011.783203125,12.191,5478060.9375,13.674239
2_268800_318750000_204000000,6603246.458740234,12.14,6788523.75,13.404107
2_268800_318750000_2133000000,5068525.540771484,13.145,5187838.125,13.535004
2_268800_318750000_3199000000,5030095.380737305,13.995,5091103.75,14.146215
2_268800_318750000_665600000,5457897.0861206055,12.139,5438995.3125,13.814466
2_268800_216750000_204000000,6705161.524780273,12.238,6853046.875,13.426834000000001
2_268800_216750000_2133000000,5079049.895324707,13.1955,5143748.4375,13.493655
2_268800_216750000_3199000000,4966226.32019043,13.946,5007928.4375,14.078716
2_268800_216750000_665600000,5484040.689086914,12.139,5424830.9375,13.965206
2_268800_114750000_204000000,6722715.903076172,11.839,6615663.125,13.631915000000001
2_268800_114750000_2133000000,5121417.354248047,13.346,4986141.25,13.754944
2_268800_114750000_3199000000,5144345.700317383,13.948,4858618.125,14.103792
2_268800_114750000_665600000,5454804.181640625,12.342,5321558.4375,14.143993
2_422400_1300500000_204000000,2412465.878112793,18.157,2475789.0625,15.962185
2_422400_1300500000_2133000000,1371009.3510742188,19.5595,1668437.5,18.033271
2_422400_1300500000_3199000000,1314741.637084961,20.262,1691848.0,18.52207
2_422400_1300500000_665600000,1574986.0728149414,19.358,1706609.6875,17.74507
2_422400_1236750000_204000000,3845758.460205078,15.595,2931444.0625,15.652179
2_422400_1236750000_2133000000,2684984.663513184,16.3475,2724125.9375,17.538234
2_422400_1236750000_3199000000,2509892.949005127,17.15,2625531.25,17.890854
2_422400_1236750000_665600000,2863011.697692871,15.747,2958587.0625,17.488445
2_422400_1134750000_204000000,3889468.70111084,14.843,3768873.75,15.079897
2_422400_1134750000_2133000000,2687297.16217041,15.747,2765410.4375,16.772107
2_422400_1134750000_3199000000,2493133.758911133,16.95,2652336.6875,17.072846000000002
2_422400_1134750000_665600000,2870992.6067504883,15.447,3129102.71875,16.867842
2_422400_1032750000_204000000,3798822.880004883,14.442,3856015.625,14.583161
2_422400_1032750000_2133000000,2683949.145568848,15.5485,2754021.875,16.134053
2_422400_1032750000_3199000000,2563848.198852539,16.549,2658352.5,16.484434
2_422400_1032750000_665600000,2860294.6068725586,14.448,3092121.125,15.949705
2_422400_930750000_204000000,3821288.024658203,14.043,3925252.5,14.215221
2_422400_930750000_2133000000,2686433.329223633,15.346,2726263.625,15.705342
2_422400_930750000_3199000000,2506356.998901367,16.049,2665122.5,16.040467
2_422400_930750000_665600000,2909167.9619140625,14.545,3076483.53125,15.218134
2_422400_828750000_204000000,3882337.196411133,13.6435,3985210.0,13.938531000000001
2_422400_828750000_2133000000,2625147.08833313,15.149,2706119.6875,15.428486000000001
2_422400_828750000_3199000000,2461787.9663238525,15.599,2656983.125,15.74576
2_422400_828750000_665600000,3045301.4756469727,14.147,3067869.375,14.806405
2_422400_726750000_204000000,3928494.736633301,13.24,4022534.0625,13.791376
2_422400_726750000_2133000000,2588844.547973633,14.647,2709684.1875,15.223629
2_422400_726750000_3199000000,2472806.563018799,15.35,2641443.25,15.518573
2_422400_726750000_665600000,2939399.923217773,13.243,3066648.75,14.626313
2_422400_624750000_204000000,3861683.303222656,13.244,4050832.8125,13.743709
2_422400_624750000_2133000000,2701630.457885742,14.2485,2725737.8125,15.017368000000001
2_422400_624750000_3199000000,2499768.2263793945,15.1505,2638989.0625,15.376847
2_422400_624750000_665600000,2873654.4889526367,13.746,3075500.625,14.585049999999999
2_422400_522750000_204000000,3816608.415161133,13.242,4074313.7500000005,13.67875
2_422400_522750000_2133000000,2620173.871826172,14.449,2748063.75,14.801489
2_422400_522750000_3199000000,2635387.0285339355,14.95,2650206.5625,15.321316000000001
2_422400_522750000_665600000,2908144.5244750977,13.395,3086302.0,14.504344
2_422400_420750000_204000000,3930025.3670654297,12.843,4154562.5,13.555022999999998
2_422400_420750000_2133000000,2671700.5701904297,13.948,2765897.5,14.727381
2_422400_420750000_3199000000,2607649.2763671875,15.05,2669586.875,15.407009
2_422400_420750000_665600000,3066534.737060547,12.944,3094341.65625,14.499678
2_422400_318750000_204000000,3861581.501708984,12.843,4016180.3125,13.512865
2_422400_318750000_2133000000,2589166.9623413086,13.948,2759644.375,14.763451
2_422400_318750000_3199000000,2548786.839477539,15.1995,2670359.375,15.546605
2_422400_318750000_665600000,2954378.523132324,13.443,3065408.4375,14.392505
2_422400_216750000_204000000,3809113.195922852,12.841,3748328.7500000005,13.541647000000001
2_422400_216750000_2133000000,2710651.2473754883,14.149,2728343.0,14.6995625
2_422400_216750000_3199000000,2560979.411804199,15.052,2632395.625,15.428745000000001
2_422400_216750000_665600000,2865171.16204834,13.044,3054708.125,14.353264999999999
2_422400_114750000_204000000,3820518.142333984,12.442,3488438.7500000005,13.7165205
2_422400_114750000_2133000000,2699487.1026000977,14.25,2706789.6875,14.663435
2_422400_114750000_3199000000,2593631.6052246094,15.453,2621856.5625,15.106797
2_422400_114750000_665600000,2880886.5317993164,13.246,3079863.4375,14.458188
2_576000_1300500000_204000000,2466470.1326904297,18.153,2302131.5625,16.3212
2_576000_1300500000_2133000000,1337637.240661621,19.66,1307447.0625,19.650217
2_576000_1300500000_3199000000,1334687.417022705,20.764,1286577.90625,20.525403999999998
2_576000_1300500000_665600000,1588586.5625610352,18.857,1454879.84375,18.35078
2_576000_1236750000_204000000,3028434.653930664,17.149,2392894.0625,16.00292
2_576000_1236750000_2133000000,1843038.926147461,17.852,1629994.1874999998,19.217086
2_576000_1236750000_3199000000,1729581.5859985352,18.257,1575626.0,19.916207
2_576000_1236750000_665600000,2065538.509277344,16.347,1759930.6250000002,18.131143
2_576000_1134750000_204000000,3072486.37109375,15.745,2700148.4375,15.518445999999999
2_576000_1134750000_2133000000,1772513.8879699707,17.1025,1731353.5625,18.593049
2_576000_1134750000_3199000000,1765625.14163208,18.3035,1620810.3125,18.981885
2_576000_1134750000_665600000,2062552.8503417969,16.0995,2003502.5,17.640857
2_576000_1032750000_204000000,2943929.600769043,15.2955,2708855.0,15.042652
2_576000_1032750000_2133000000,1796555.192779541,16.649,1699477.96875,18.030209
2_576000_1032750000_3199000000,1700362.8590393066,17.255,1602074.8125,18.317957
2_576000_1032750000_665600000,2100225.6954345703,15.649,1950336.2500000002,16.985309
2_576000_930750000_204000000,2934618.023803711,14.7465,2716717.90625,14.639511
2_576000_930750000_2133000000,1848179.76361084,16.151,1656541.4375,17.549506
2_576000_930750000_3199000000,1685149.587249756,17.253,1574548.4375,17.877686
2_576000_930750000_665600000,1982003.2497253416,14.748,1899630.15625,16.378636
2_576000_828750000_204000000,3007050.146972656,14.343,2700319.875,14.343969999999999
2_576000_828750000_2133000000,1829861.077209473,15.349,1607537.09375,17.18774
2_576000_828750000_3199000000,1785646.368927002,16.349,1542864.90625,17.63195
2_576000_828750000_665600000,2051105.00479126,14.847,1847199.375,15.855381999999999
2_576000_726750000_204000000,2960016.5130004883,13.944,2666116.71875,14.177114
2_576000_726750000_2133000000,1785353.1426391602,15.346,1560211.75,16.914734
2_576000_726750000_3199000000,1722674.9172973633,16.052,1491760.625,17.4707
2_576000_726750000_665600000,2058601.830505371,14.546,1793915.0000000002,15.451111999999998
2_576000_624750000_204000000,2905366.649536133,14.042,2644941.125,14.055243
2_576000_624750000_2133000000,1852997.1757202148,15.146,1531515.3125,16.574607
2_576000_624750000_3199000000,1792180.4409179688,15.648,1466027.0625,17.24516
2_576000_624750000_665600000,2018144.1961975095,14.045,1766774.5624999998,15.156187
2_576000_522750000_204000000,2954275.605773926,13.542,2627740.625,13.865456
2_576000_522750000_2133000000,1912943.1243896484,14.8455,1524553.96875,16.066353
2_576000_522750000_3199000000,1728829.2881774902,15.849,1461501.125,17.05379
2_576000_522750000_665600000,2072480.0346679688,14.245,1772657.40625,14.993594
2_576000_420750000_204000000,3045512.0479125977,13.4435,2590964.375,13.738950999999998
2_576000_420750000_2133000000,1831189.6073303225,14.8485,1537539.46875,15.671244
2_576000_420750000_3199000000,1728866.088928223,15.851,1479101.875,16.746377
2_576000_420750000_665600000,2035843.5584106443,13.745,1787043.7500000002,14.878013000000001
2_576000_318750000_204000000,2927694.516418457,13.593,2554768.125,13.691775
2_576000_318750000_2133000000,1816387.4884643557,15.05,1528188.75,15.368602000000001
2_576000_318750000_3199000000,1694222.8293457031,15.852,1467035.09375,16.553559
2_576000_318750000_665600000,2086577.595550537,13.645,1759045.3125,14.741157
2_576000_216750000_204000000,2916970.922485352,13.243,2522787.5,13.720699
2_576000_216750000_2133000000,1747115.8325195312,15.454,1529729.5625,15.170067
2_576000_216750000_3199000000,1715047.068145752,16.2065,1482538.6875,16.161091
2_576000_216750000_665600000,2018701.1321411133,13.847,1786474.0625,14.698328
2_576000_114750000_204000000,2937397.292175293,13.143,2620937.8125,13.896388
2_576000_114750000_2133000000,1844305.166687012,15.053,1689570.0000000002,14.916718999999999
2_576000_114750000_3199000000,1805189.216369629,15.866,1670978.4375000002,15.304283
2_576000_114750000_665600000,2023624.121826172,14.047,1831719.59375,14.806215
2_729600_1300500000_204000000,2538412.470092773,17.955,2141563.59375,16.718734
2_729600_1300500000_2133000000,1313331.9168548584,19.665,967710.875,20.671518
2_729600_1300500000_3199000000,1208858.9034729004,19.314,921116.1562499999,22.865156
2_729600_1300500000_665600000,1527585.4069213867,19.366,1177006.8125,19.01192
2_729600_1236750000_204000000,2540642.030944824,17.354,2199501.25,16.402629
2_729600_1236750000_2133000000,1371148.2829589844,19.556,996384.0625,20.18807
2_729600_1236750000_3199000000,1285766.2227630615,20.2125,966504.46875,22.213783
2_729600_1236750000_665600000,1569334.0862426758,17.6565,1153030.9375,18.785377
2_729600_1134750000_204000000,2645911.481323242,16.051,2309569.15625,15.954642
2_729600_1134750000_2133000000,1363087.163696289,17.656,1014192.6874999999,19.498838
2_729600_1134750000_3199000000,1305332.329788208,19.161,984972.75,21.233643
2_729600_1134750000_665600000,1566896.4212646484,17.5555,1198510.0,18.278351999999998
2_729600_1032750000_204000000,2333948.471008301,15.752,2312608.4375,15.535525
2_729600_1032750000_2133000000,1358044.5152435305,17.7565,1009876.4375,18.911133000000003
2_729600_1032750000_3199000000,1298164.800933838,18.76,987640.3125,20.381794999999997
2_729600_1032750000_665600000,1586264.660324097,16.954,1194528.875,17.617888999999998
2_729600_930750000_204000000,2539218.509460449,15.248,2307342.34375,15.112492
2_729600_930750000_2133000000,1349667.3496398926,17.3045,1014038.28125,18.396493999999997
2_729600_930750000_3199000000,1299421.056182861,17.857,990971.5625,19.70034
2_729600_930750000_665600000,1576875.435180664,16.5515,1196085.5625,16.999883
2_729600_828750000_204000000,2550592.4954833984,14.945,2301824.0625,14.790813
2_729600_828750000_2133000000,1379710.7254638672,17.051,1013964.5625,17.960922
2_729600_828750000_3199000000,1263610.7908172607,17.452,1004295.1562500001,19.06202
2_729600_828750000_665600000,1569792.1598205566,15.649,1195386.96875,16.437768
2_729600_726750000_204000000,2456445.734680176,14.446,2297048.75,14.579173
2_729600_726750000_2133000000,1341572.6871948242,16.554,1014036.65625,17.627953
2_729600_726750000_3199000000,1251699.4149169922,17.858,1009673.3125,18.515621
2_729600_726750000_665600000,1536991.6372680664,16.151,1194433.59375,16.001449
2_729600_624750000_204000000,2397186.5681152344,14.248,2292001.15625,14.288656000000001
2_729600_624750000_2133000000,1335568.2785339355,15.7995,1015933.5,17.192068
2_729600_624750000_3199000000,1255033.935333252,17.055,1002693.7500000001,18.03997
2_729600_624750000_665600000,1501497.7121276855,15.352,1194342.625,15.676531
2_729600_522750000_204000000,2503218.574279785,14.094,2282853.125,14.077772000000001
2_729600_522750000_2133000000,1330817.2789154053,15.8505,1020177.1875,16.654412
2_729600_522750000_3199000000,1313963.0518798828,16.8045,1006019.875,17.633572
2_729600_522750000_665600000,1527945.5479125977,14.951,1194242.09375,15.479218999999999
2_729600_420750000_204000000,2513792.499572754,13.646,2257466.875,13.941899
2_729600_420750000_2133000000,1316414.874206543,16.855,1019121.6562499999,16.215578999999998
2_729600_420750000_3199000000,1286093.138595581,17.052,1003010.46875,17.295854
2_729600_420750000_665600000,1576629.3142089844,14.5,1179137.1875,15.24842
2_729600_318750000_204000000,2231010.8090820312,13.745,2235236.25,13.882507
2_729600_318750000_2133000000,1213077.6152648926,16.153,1045222.5625,15.88827
2_729600_318750000_3199000000,1266263.1961364746,17.558,1026153.7499999999,17.139076
2_729600_318750000_665600000,1320340.485290527,14.851,1161452.0,15.102416
2_729600_216750000_204000000,2434965.171081543,13.746,2269690.5,13.913855
2_729600_216750000_2133000000,1322288.6822509766,16.3055,1068027.59375,15.654695
2_729600_216750000_3199000000,1259314.3900146484,17.471,1057112.59375,16.60257
2_729600_216750000_665600000,1556716.3110961914,14.597,1208690.0625,15.055525
2_729600_114750000_204000000,2534836.780822754,13.344,2468008.625,14.055522999999999
2_729600_114750000_2133000000,1565774.2426452637,15.755,1534564.125,15.173028
2_729600_114750000_3199000000,1542542.7600402832,16.468,1534133.625,15.526386
2_729600_114750000_665600000,1649319.2138061523,14.35,1614584.375,15.15856
2_883200_1300500000_204000000,2221532.800720215,19.053,2083204.84375,17.133574
2_883200_1300500000_2133000000,1120262.1758117676,20.759,813232.4375,21.597758000000002
2_883200_1300500000_3199000000,977133.9028930664,21.567,775551.3125,24.393652
2_883200_1300500000_665600000,1315671.7469482422,20.4095,1069524.375,19.670686
2_883200_1236750000_204000000,2203612.566345215,17.9535,2122748.0,16.820244
2_883200_1236750000_2133000000,1103227.6476135254,20.358,857402.03125,20.99178
2_883200_1236750000_3199000000,1002832.9287719728,22.163,811764.4374999999,23.604105
2_883200_1236750000_665600000,1263059.5487365725,20.059,1040039.3749999999,19.455334
2_883200_1134750000_204000000,2274316.114868164,16.953,2188790.125,16.386979
2_883200_1134750000_2133000000,1073466.2992248535,19.3545,862725.84375,20.257488000000002
2_883200_1134750000_3199000000,1044051.0361785888,20.26,816112.1874999999,22.432715
2_883200_1134750000_665600000,1290359.0582580566,18.36,1063016.3125,18.936436
2_883200_1032750000_204000000,2207546.805297852,16.548,2180030.0,15.956646000000001
2_883200_1032750000_2133000000,1077109.191757202,19.361,859062.28125,19.620143
2_883200_1032750000_3199000000,1034672.5825805664,20.059,818400.625,21.35871
2_883200_1032750000_665600000,1225777.4634094238,18.556,1061161.03125,18.273238000000003
2_883200_930750000_204000000,2258667.4825439453,16.2495,2172677.5,15.525909
2_883200_930750000_2133000000,1093643.5336914062,18.7525,858271.03125,19.075447
2_883200_930750000_3199000000,1041543.72505188,19.558,821906.65625,20.501621
2_883200_930750000_665600000,1238166.6350708008,17.554,1053963.65625,17.646643
2_883200_828750000_204000000,2245873.217102051,15.549,2165403.125,15.158421
2_883200_828750000_2133000000,1078140.9321136477,18.005,862859.9062499999,18.666348000000003
2_883200_828750000_3199000000,1000875.2234649658,19.256,825430.3125,19.798116999999998
2_883200_828750000_665600000,1295777.4490966797,17.1485,1048427.9687500001,17.065639
