powermode,predicted_time,predicted_power,observed_time,observed_power
2_1497600_726750000_3199000000,6836.327652,34.419940000000004,6025.926760742188,35.103
2_1958400_930750000_2133000000,7647.545261999999,34.373945,6003.615052856445,35.724
12_268800_624750000_3199000000,8057.1168720000005,29.746191,7589.860098999024,30.3905
4_422400_624750000_3199000000,9989.972766,29.867543,7339.556615356445,30.704
10_2201600_726750000_2133000000,6161.736257999999,32.146307,6501.846129638672,33.017
2_1190400_522750000_3199000000,8853.951,28.669896,7764.248678588867,29.115
10_1958400_420750000_2133000000,12075.61401,25.815936,9588.419812988279,25.8
2_1804800_522750000_665600000,28434.489588,19.3059,17452.101249267576,19.682
6_1958400_522750000_2133000000,7843.2646859999995,26.701752,7830.795444946289,28.103
8_2201600_1032750000_3199000000,4195.678650000001,45.38016,4390.580842285156,47.4815
10_1804800_420750000_3199000000,10486.604760000002,27.503752,9482.243350585937,27.157
2_883200_522750000_665600000,32442.99726,12.398296,18187.03869580078,11.338
6_1344000_1032750000_3199000000,3638.5597319999997,43.911516000000006,4712.410208007813,45.011
10_1344000_726750000_2133000000,5112.310596,29.530895,6894.866695068359,31.118
8_1651200_828750000_3199000000,3217.5473429999997,37.265586000000006,5112.190144775391,40.316
10_576000_930750000_665600000,28378.46895,20.177496,17237.36755078125,22.084
2_1958400_624750000_665600000,31028.548968,20.916162,17271.058958007812,20.178
4_2112000_1134750000_3199000000,4424.981067,50.084203,4251.702397827148,50.365
6_268800_1134750000_665600000,32480.179079999998,20.610014,17227.641685791015,23.29
12_1036800_522750000_3199000000,7298.609057999999,29.534229,7702.503046142579,29.51
6_268800_522750000_665600000,27201.90021,16.05183,17464.664105957032,19.278
4_1958400_420750000_2133000000,10475.677974,24.367564,9606.904944580077,25.299
6_268800_318750000_3199000000,13312.65522,23.043896,13112.14907446289,23.494
