powermode,predicted_time,predicted_power,observed_time,observed_power
2_1497600_726750000_3199000000,711.96075,22.388268,703.0371588287353,22.569
4_729600_216750000_2133000000,1335.28709375,16.572011999999997,1356.703353515625,17.031
12_268800_216750000_204000000,3066.4271875,14.015657,3097.093781860352,14.103
12_1190400_114750000_204000000,3433.1975,13.620847,3542.9843846435547,13.995
6_268800_216750000_665600000,1694.3562499999998,14.630408,1740.7476884155271,15.213
10_2201600_726750000_2133000000,436.599875,26.620531,480.5824966125488,27.4935
2_1190400_522750000_3199000000,854.66125,19.565027,912.4952604217528,20.053
10_1344000_726750000_665600000,866.4917812500001,19.104627,925.3155915527344,19.647
2_576000_318750000_204000000,3861.2278125000007,14.000926,3924.223155395508,13.3
10_1958400_420750000_2133000000,700.0593125,21.385541,716.0193585968018,21.759
2_1804800_522750000_665600000,1176.42203125,16.990107,1125.819135223389,17.7335
6_1958400_522750000_2133000000,600.3158125,21.542504,617.1074477996826,22.67
8_2201600_1032750000_3199000000,324.72365625,34.54549,339.40103993225097,35.852
2_883200_522750000_665600000,1686.6478125,15.500401,1584.908283935547,16.223
6_1344000_1032750000_3199000000,380.62609375,29.825877,394.4455830612183,31.323
2_1344000_522750000_3199000000,800.1405625,20.103764,804.4648336639405,20.56
10_1344000_726750000_2133000000,501.69834375000005,23.099941,495.7616295013428,24.78
12_1344000_522750000_665600000,982.2216875,18.056316,1006.1081126708984,18.238
8_1651200_828750000_3199000000,396.00709375,28.94541,401.8467661895752,29.8645
12_1497600_318750000_665600000,1289.19125,16.72118,1182.5034265136721,17.532
6_883200_114750000_204000000,3276.2871875,13.659138,3614.47584362793,13.803
8_1190400_624750000_204000000,2386.2709375,15.227749,2673.393189941406,15.113
12_1036800_522750000_3199000000,651.95709375,22.497604,596.7974568023682,23.371
6_268800_522750000_665600000,1390.09915625,15.212158,1667.132465759277,15.5665
4_1958400_420750000_2133000000,668.2490625,19.866678,717.9135125732422,21.563
4_1497600_318750000_665600000,1118.214125,15.448636,1196.3993925476075,17.13
2_729600_114750000_665600000,2419.715125,14.167933,2674.8533912963867,14.108
