powermode,predicted_time,predicted_power,observed_time,observed_power
4_1958400_420750000_2133000000,214.46601930000003,21.991871,198.28646730041504,23.268
12_1344000_522750000_665600000,298.31361222,18.803473,298.99756997680663,19.244
10_422400_216750000_204000000,941.13175728,13.973902,932.6216759033205,14.208
2_576000_318750000_204000000,1387.5875013,13.56478,1429.8763145751952,13.099
8_883200_726750000_3199000000,144.05472607500002,29.142105,130.3460959625244,29.916
2_883200_522750000_665600000,500.99975874,15.849758,584.0907915344238,16.017
12_1190400_114750000_204000000,976.2110007,14.245876,1033.0127514038086,14.1535
10_1344000_726750000_2133000000,146.71030062,26.31416,136.422572013855,28.0
4_1497600_318750000_665600000,340.35087177,16.620116999999997,341.3142310180664,18.23
10_1958400_420750000_2133000000,197.13958641,23.001188,196.6864559020996,23.9215
12_1190400_318750000_204000000,859.1444511,14.728552,893.5872967529297,14.707
8_1651200_828750000_3199000000,119.27643195,33.47215,108.89422135162353,33.582
10_576000_624750000_3199000000,154.38449208,27.296613,156.41745894622804,26.996
2_729600_114750000_665600000,748.941531,14.633546,736.2571530456543,14.711
6_268800_522750000_665600000,414.2981427,15.369498,397.2647151184082,16.928
10_1344000_726750000_665600000,281.76690438,19.58186,284.8852435913086,20.553
12_1497600_318750000_665600000,325.20716397,17.63105,338.29182928466804,18.238
8_2201600_1032750000_3199000000,109.856334588,40.276395,93.16519036102297,41.29
4_1958400_114750000_665600000,466.16615721,17.267312,679.7987460327148,15.614
6_1344000_1032750000_3199000000,117.35298510000001,35.453137000000005,99.91080939483643,37.153
6_1958400_522750000_2133000000,195.97323837000002,23.254184,168.17318252563476,24.884
10_1344000_930750000_665600000,290.18907489,22.123705,280.1175938873291,22.257
2_1497600_726750000_3199000000,218.26304292,23.043598000000003,255.44031608581543,22.4675
6_268800_216750000_665600000,515.19160602,14.15131,598.2497406616211,15.618
