powermode,observed_time,observed_power
12_422400_318750000_2133000000,494.94812655639646,18.023
12_1190400_1032750000_3199000000,193.14148989868164,30.2925
12_883200_624750000_2133000000,277.2830765228272,21.97
12_1036800_930750000_3199000000,202.12076495361327,28.3405
12_1651200_1236750000_3199000000,156.15640142822267,37.913
12_1344000_1032750000_3199000000,182.31129779815677,31.993
12_422400_216750000_2133000000,643.1705108337402,16.869
12_268800_114750000_2133000000,1186.8831491088868,15.252
12_1344000_726750000_2133000000,235.4042218933105,24.581
12_1804800_1300500000_3199000000,147.50669400024415,40.1255
12_729600_420750000_2133000000,350.8674569854736,20.381
12_1344000_930750000_2133000000,209.86249601745604,27.785
12_1344000_1134750000_3199000000,170.93226739501952,33.196
12_422400_522750000_3199000000,437.2557217102051,19.768
12_1190400_828750000_2133000000,225.73783003234863,25.8295
12_576000_318750000_2133000000,450.3258441162109,18.675
12_1344000_828750000_3199000000,195.93928034973143,28.48
12_1036800_726750000_2133000000,245.43313793945313,23.975
12_268800_318750000_2133000000,669.2187158813476,16.557
12_1804800_1032750000_2133000000,190.4044978027344,31.089
12_1651200_1032750000_2133000000,194.71306852722168,30.283
12_729600_522750000_2133000000,316.93690242004396,20.968
12_1804800_1236750000_3199000000,151.40236661529542,38.91
12_1036800_624750000_2133000000,260.81804591369627,23.073
12_1497600_1032750000_3199000000,172.43433855438232,32.486
12_1344000_828750000_2133000000,221.68543572998047,26.477
12_422400_420750000_3199000000,447.76744396972657,19.467
