powermode,observed_time,observed_power
2_1497600_624750000_2133000000,445.89294760131844,19.314
6_729600_624750000_3199000000,289.9779067077637,23.0695
6_1651200_624750000_3199000000,229.27907579040527,25.876
4_1651200_1032750000_3199000000,182.3116638259888,31.596
12_883200_114750000_204000000,1624.511819091797,13.548
8_2201600_726750000_3199000000,200.8519137878418,29.942
4_576000_318750000_665600000,587.1494826049804,16.456
10_1190400_114750000_204000000,1613.951262939453,13.745
10_1190400_828750000_2133000000,222.76742547607424,25.88
4_729600_114750000_665600000,1148.395400390625,14.45
6_2201600_1134750000_3199000000,148.3124606552124,39.201
10_1804800_522750000_2133000000,275.16951123046874,23.0735
10_2112000_318750000_665600000,539.0193237609864,19.056
10_729600_624750000_2133000000,298.639193649292,21.8195
12_1344000_1236750000_3199000000,172.7470703277588,35.0
6_1651200_930750000_2133000000,201.9022283630371,28.2845
10_729600_522750000_2133000000,324.85117044067385,20.867
6_576000_216750000_665600000,687.3170682067871,15.754
4_1344000_114750000_2133000000,1124.4284675292968,15.354
2_422400_318750000_665600000,2017.1142221069335,12.946
12_1036800_216750000_665600000,666.0118560180664,16.256
