powermode,predicted_time,predicted_power,observed_time,observed_power
2_268800_522750000_204000000,6704.2396874999995,13.486496,6683.539454223633,11.9895
2_268800_420750000_204000000,6758.631250000001,13.452924,6536.749900878906,12.041
2_268800_318750000_665600000,5438.9953125,13.814466,5457.897086120605,12.139
2_268800_114750000_204000000,6615.663125,13.631915,6722.715903076172,11.839
2_268800_114750000_665600000,5321.5584375,14.143993,5454.804181640625,12.342
2_422400_420750000_665600000,3094.34165625,14.499678,3066.534737060547,12.944
2_422400_216750000_204000000,3748.328750000001,13.541647,3809.113195922852,12.841
2_422400_216750000_665600000,3054.708125,14.353265,2865.1711620483397,13.044
2_422400_114750000_204000000,3488.4387500000003,13.7165205,3820.518142333984,12.442
2_576000_624750000_665600000,1766.7745624999998,15.156187,2018.1441961975092,14.045
2_576000_420750000_665600000,1787.0437500000003,14.878013,2035.8435584106444,13.745
2_576000_318750000_665600000,1759.0453125,14.741157,2086.577595550537,13.645
2_576000_216750000_665600000,1786.4740625,14.698328,2018.7011321411132,13.847
2_729600_318750000_665600000,1161.452,15.102416,1320.340485290527,14.851
2_883200_216750000_665600000,1047.6186875,15.412443,1276.2820051879885,15.55
2_883200_114750000_204000000,2415.6615625,14.15905,2396.3332993164063,13.344
2_1036800_318750000_665600000,937.7896875,15.854514,1149.0539168395997,15.754
2_1036800_216750000_665600000,962.526125,15.778672,1070.3373809509276,15.9035
2_1190400_420750000_665600000,890.73828125,16.456212999999998,1040.1990004119873,16.3045
2_1344000_318750000_665600000,865.2525000000002,16.597746,907.7218464355468,16.857
2_1344000_216750000_665600000,881.69859375,16.163564,969.8045605163575,16.4575
2_1497600_522750000_665600000,798.76834375,17.827535,831.5215991973877,17.258
4_268800_420750000_665600000,1406.5398125,15.983798,1550.193040435791,14.3995
4_268800_318750000_665600000,1426.9821875,15.97535,1536.6618582458495,14.497
4_268800_216750000_665600000,1466.62140625,15.943695,1578.521892211914,14.1485
4_422400_318750000_665600000,915.5678125,16.327641,1031.4125389709473,16.356
4_422400_114750000_204000000,2361.8525,14.412153,2345.5235039672853,13.346
4_576000_522750000_2133000000,592.611375,19.759668,645.7954856719971,19.008
4_576000_522750000_665600000,778.3843125,17.319922,783.3254839630127,17.457
4_576000_420750000_2133000000,589.2231875,19.003465,655.8705829467773,18.862
4_576000_114750000_204000000,2313.4190625,14.284769,2294.628776550293,13.545
4_729600_726750000_2133000000,508.4923125000001,21.981674,499.4952501373291,21.263
4_729600_420750000_665600000,722.747,16.979201,736.0764901885987,17.872
4_729600_318750000_2133000000,625.57521875,18.591834,582.9660269622802,19.679
4_729600_318750000_665600000,808.28446875,16.579008,779.3636167297363,17.763
4_729600_216750000_665600000,862.04796875,16.280504,919.6763493347167,16.655
4_883200_726750000_2133000000,379.12528125,22.613611,425.23253848266603,23.368
4_883200_420750000_2133000000,516.089375,19.691047,483.05302738952645,21.68
4_883200_318750000_2133000000,586.78846875,18.815027,574.6347807769775,20.182
4_883200_216750000_665600000,855.21728125,16.357667,912.3811647033692,16.6565
4_1036800_624750000_2133000000,379.166484375,22.107197,390.2981180038452,23.775
4_1190400_318750000_2133000000,545.77240625,19.247346,562.3343274536132,20.282
4_1344000_420750000_2133000000,442.94265625,20.654164,440.2590594177246,22.433
4_1344000_420750000_665600000,684.829625,17.740734,697.3908959350586,18.374
4_1651200_522750000_2133000000,385.56140625,22.736809,360.42230312347414,24.692
4_1651200_420750000_665600000,673.2398125,18.358357,684.232233139038,18.766
6_422400_318750000_2133000000,703.58853125,18.72677,635.7524702453613,19.579
6_422400_216750000_665600000,862.0998437500001,16.350709000000002,941.8687618103029,16.557
6_576000_522750000_665600000,673.30096875,17.76203,700.6058077545166,18.269
6_576000_420750000_2133000000,512.2821250000001,19.75939,478.2086962738037,21.83
6_729600_522750000_2133000000,415.68265625,21.033113,396.7437624740601,23.384
6_729600_420750000_2133000000,489.57053125,20.019713,453.7418357849121,22.287
6_883200_624750000_2133000000,377.60821875,22.516592,346.08413306427,25.0865
6_883200_522750000_2133000000,407.834,21.359406,385.1427563552856,23.983
6_883200_420750000_665600000,684.77009375,17.56568,700.3892448272705,18.372
6_883200_216750000_665600000,847.2625624999998,16.575883,898.2498258972169,17.055
6_1036800_624750000_2133000000,373.38059375,22.947605,332.4509824752808,25.593
6_1190400_828750000_2133000000,353.2246875,26.139188,290.8640902557373,27.384
6_1190400_522750000_2133000000,403.05590625,22.147979,368.4035641403198,24.185
6_1190400_420750000_665600000,672.2085625,17.970706999999997,694.747695236206,18.5725
6_1190400_318750000_665600000,730.22503125,17.470458999999998,754.7417387542724,17.768
6_1344000_624750000_2133000000,356.73478125,23.857385,326.6259846420288,26.089
6_1344000_522750000_2133000000,392.909125,22.551297,360.686708694458,24.436
6_1651200_420750000_665600000,669.37465625,18.848184,684.066019165039,18.767
6_1804800_726750000_2133000000,338.69759375,26.871576,296.4025754241943,26.676
8_268800_420750000_665600000,817.9399374999999,17.43259,824.5855525512695,17.2595
8_268800_318750000_665600000,835.888875,16.948824000000002,861.496476486206,17.056
8_268800_216750000_665600000,890.01265625,16.567596,990.0798857421876,16.453
8_576000_726750000_2133000000,372.55646875,23.609326,387.41137078857423,23.875
8_576000_420750000_2133000000,447.01571875,20.276412,464.3575650939941,21.885
8_729600_624750000_2133000000,374.34484375,22.75551,342.1736602706909,25.189
8_729600_420750000_2133000000,443.368125,20.49701,450.94318469238283,22.337
8_883200_318750000_665600000,722.2913125,17.421846000000002,760.9397919921875,17.766
8_1036800_624750000_2133000000,361.9828,23.551336,331.09993111419675,25.8935
8_1344000_1300500000_3199000000,251.37956250000002,42.465117,192.2963470802307,36.3445
8_1344000_726750000_3199000000,324.6490625,30.018967,266.688398727417,29.436
8_1497600_1300500000_3199000000,249.1980625,43.612793,186.99086627960205,38.759
8_1497600_624750000_2133000000,345.8668,24.976346000000003,321.8227065124512,26.596
8_1497600_522750000_2133000000,384.25409375,23.557885,359.2340115737915,24.991
8_1497600_420750000_2133000000,432.171875,22.225812,430.04053706359855,22.784
8_1651200_1300500000_3199000000,246.61290625,44.758027,185.2345823326111,46.474
10_268800_216750000_665600000,862.07771875,16.678215,975.1156784667968,16.456
10_576000_522750000_2133000000,407.93665625,21.503078,402.8552242507935,23.382
10_576000_216750000_665600000,852.66725,16.858309000000002,911.6375693359377,16.658
10_729600_624750000_2133000000,366.26565625,23.046533,342.0474841156006,25.49
10_883200_522750000_2133000000,400.66771875,22.170727,377.2769507293701,23.984
10_1036800_930750000_3199000000,286.31720624999997,32.782637,231.38437142944335,30.902
10_1190400_1236750000_3199000000,252.5843625,40.44942,198.87423482131962,31.9425
10_1190400_522750000_2133000000,389.57378125,22.986713,363.6467342376709,24.189
10_1190400_420750000_2133000000,436.279375,21.687688,433.2131577911377,22.483
10_1344000_1236750000_3199000000,250.32353125000003,41.5427,195.99701523590088,33.1335
10_1344000_624750000_2133000000,344.8704375,24.871217,324.5026766281128,26.3905
10_1344000_420750000_2133000000,434.2185,22.096344,432.522064743042,22.6815
10_1497600_624750000_2133000000,341.12603125,25.380898,319.85147601318357,26.6465
10_1497600_522750000_2133000000,384.00609375,23.935135,357.5611637878418,25.0415
12_422400_420750000_2133000000,508.4185625,20.233113,501.37444882202146,20.381
12_576000_420750000_2133000000,442.84759375,20.497135,460.9843885192871,22.279
12_729600_420750000_2133000000,442.07425,20.796727,449.84465942382815,22.387
12_1344000_420750000_2133000000,434.88465625000003,22.199857,431.32560426330565,22.7805
12_1497600_420750000_2133000000,434.1589375,22.532938,428.6776948699951,22.884
12_1651200_1300500000_3199000000,242.158175,46.467453,183.6388944816589,46.5765
12_1804800_1300500000_3199000000,240.50675,47.615832000000005,183.5081310462952,49.787
