powermode,observed_time,observed_power
12_268800_216750000_665600000,975.1455668945313,16.456
8_1651200_522750000_665600000,655.5604622192383,19.372
10_1036800_726750000_2133000000,310.7271755905151,27.499
12_883200_1032750000_2133000000,273.0485526657105,32.29
10_1651200_1236750000_2133000000,242.19477890777588,39.6165
12_1036800_726750000_3199000000,273.4577102508545,30.3395
6_576000_420750000_665600000,731.8270069274903,18.3215
6_1497600_420750000_204000000,1937.190366394043,15.148
4_1804800_1300500000_3199000000,215.3984528388977,46.843
8_1497600_726750000_2133000000,302.3283076171875,28.098
2_729600_114750000_204000000,2534.836780822754,13.344
6_1651200_216750000_204000000,2009.0759892578126,14.75
6_2112000_522750000_665600000,654.5568215026856,20.578
4_1651200_318750000_2133000000,552.2979733276367,21.078
8_1497600_1032750000_2133000000,262.9493638381958,33.803
8_2201600_1300500000_2133000000,241.63659516143798,43.123
6_883200_1236750000_3199000000,262.02779875946044,38.305
10_422400_726750000_3199000000,537.3180668182373,21.8215
6_729600_624750000_2133000000,366.0173380813599,24.986
