powermode,observed_time,observed_power
12_729600_522750000_2133000000,749.4068043231964,14.604
12_1958400_1236750000_3199000000,324.2095184326172,22.048
12_1190400_828750000_3199000000,486.5307197570801,17.1205
12_1344000_522750000_2133000000,504.1175103187561,15.9145
12_2201600_1236750000_3199000000,287.953061580658,24.263
12_1190400_726750000_3199000000,495.5880892276764,16.821
12_2112000_828750000_2133000000,348.0037896633148,19.935
12_576000_318750000_2133000000,935.8204545974731,13.8
12_1804800_624750000_2133000000,400.64995098114014,17.523
12_1190400_522750000_2133000000,536.6877114772797,15.412
12_1958400_1134750000_3199000000,325.04055738449097,21.244
12_883200_624750000_2133000000,626.3165235519409,14.803
12_1804800_828750000_3199000000,349.387987613678,18.879
12_2112000_1032750000_3199000000,297.45590686798096,22.052
12_1497600_828750000_2133000000,430.98809123039246,17.122
12_1804800_1032750000_3199000000,348.1824781894684,19.732
12_729600_420750000_2133000000,770.8656415939331,14.401
12_1958400_1236750000_2133000000,335.92363572120667,20.934
12_2112000_726750000_2133000000,369.5271189212799,18.632
12_268800_114750000_2133000000,2095.1712760925293,13.092
12_2112000_930750000_2133000000,337.79519295692444,20.342
12_422400_318750000_2133000000,1205.8257958889008,13.598
12_1651200_1032750000_2133000000,399.35314750671387,18.475
