powermode,observed_time,observed_power
4_883200_318750000_665600000,896.1170256137848,13.6
2_1497600_114750000_665600000,1458.0261006355286,13.499
12_883200_522750000_665600000,815.6443750858307,14.0025
2_1804800_420750000_665600000,721.9779331684113,14.905
4_1036800_726750000_2133000000,605.2032754421234,15.208
4_2112000_930750000_2133000000,343.3942005634308,19.639
4_1036800_216750000_665600000,960.0038681030272,13.598
8_1344000_318750000_204000000,1659.8722140789032,13.287
4_1190400_624750000_2133000000,535.9568350315094,15.4135
4_1958400_726750000_3199000000,355.5986874103546,18.7305
4_2112000_1134750000_3199000000,318.67636704444885,21.4895
6_1344000_930750000_2133000000,460.9982268810272,16.8685
6_576000_216750000_204000000,1919.012027978897,12.685
4_1651200_828750000_3199000000,383.4652614593506,18.428
