powermode,predicted_time,predicted_power,observed_time,observed_power
2_268800_420750000_665600000,3940.9383390000003,13.03267,3820.33576953125,12.139
2_268800_216750000_204000000,4448.0863167,11.814004,4654.651866455079,11.537
2_268800_114750000_204000000,4620.6092322,11.651176,4581.940108398438,11.64
2_422400_522750000_204000000,2918.6566773,12.890808000000002,2676.7050438232422,12.841
2_422400_318750000_204000000,3234.6367365,12.31252,2755.103752319336,12.242
2_422400_318750000_665600000,2943.2140842,13.101685,2017.1142221069335,12.946
2_422400_216750000_204000000,3420.0977343,12.090699,2711.8848375244143,12.342
2_422400_216750000_665600000,3108.1342656,12.882964,2030.942270874024,12.944
2_422400_114750000_204000000,3612.430731,11.915832,2707.483360717773,12.442
2_422400_114750000_665600000,3273.8788329,12.6968955,2015.696554321289,13.0945
2_576000_114750000_204000000,2912.0812149,12.191989,2050.1537608642575,12.8435
2_1651200_420750000_2133000000,417.29479194000004,18.68786,427.2102550048828,19.1155
4_268800_216750000_204000000,2847.8884940999997,12.362694,1561.1129235839844,13.243
4_268800_114750000_204000000,3045.1758870000003,12.194968,1769.0660004882814,13.143
4_576000_522750000_2133000000,678.6050934,17.180246,431.8570418701172,18.463
4_729600_624750000_2133000000,424.2404127,18.029053,371.0375576934815,19.564
4_729600_522750000_2133000000,455.69427735,17.528291,363.6090512847901,19.864
4_883200_624750000_2133000000,371.265141,18.476342,311.0816454162598,21.218
4_883200_420750000_2133000000,422.4327666,17.486990000000002,357.01961395263675,19.98
4_1036800_420750000_2133000000,389.25057756,17.845740000000003,347.10099723815915,19.983
4_1190400_624750000_2133000000,343.86874703999996,19.488656,273.3669937286377,22.471
4_1344000_624750000_2133000000,335.90488776,20.049799,264.0387040252685,22.668
4_1344000_318750000_2133000000,393.82640270999997,17.664482,429.75207412719726,18.873
4_1497600_318750000_2133000000,384.4081293,17.976656,423.4959146728516,19.177
4_1651200_726750000_3199000000,267.65987664000005,25.39983,206.96085612487798,27.381
4_1804800_930750000_3199000000,205.48962135,29.721443,178.61830490112305,30.89
4_1804800_828750000_3199000000,234.72390669,28.029379,188.6246764678955,29.633
6_268800_114750000_204000000,2137.1909364,12.629732,1671.4891284179687,13.145
6_576000_522750000_2133000000,354.85834644,17.757107,365.8579602661133,19.664
6_576000_420750000_2133000000,386.64671292,17.398259999999997,388.90729974365235,19.267
6_729600_522750000_2133000000,340.77404595,18.075838,329.33979472351075,20.767
6_883200_522750000_2133000000,337.24568007,18.423287,298.6925344390869,21.47
6_1036800_624750000_2133000000,330.73132871999996,19.448273,270.34941854858397,22.483
6_1036800_522750000_2133000000,334.78663491000003,18.807588,293.22612925720216,21.585
6_1190400_726750000_2133000000,265.25549232000003,20.75078,246.10792405700684,23.674
6_1344000_828750000_3199000000,258.44604747,26.27667,198.82134724426268,28.244
6_1344000_624750000_2133000000,266.85606792,20.519213,254.66475997924806,23.168
6_1344000_522750000_2133000000,331.34279997,19.783564,283.6664488220215,21.682
6_1497600_828750000_2133000000,263.01559557,23.07428,218.2546138763428,26.377
6_1497600_726750000_2133000000,263.01559557,21.962533,233.90678602600093,24.673
6_1497600_726750000_3199000000,258.95938029,25.660459,214.15285447692872,26.734
6_1651200_1032750000_3199000000,181.590329232,31.404676,168.19529106903076,33.195
6_1651200_930750000_3199000000,189.88711170000002,29.797545,177.0562685546875,30.988
6_1651200_828750000_2133000000,262.8362451,24.051652,211.5353934020996,26.977
6_1651200_828750000_3199000000,208.87616918999998,28.223115,183.12621341705318,30.182
6_1804800_930750000_3199000000,181.3897176,30.882855,169.85273370361327,32.393
