cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
12,1344000,1236750000,3199000000,11,27.23619604,50.22314262,40
6,1804800,1300500000,2133000000,11,21.98547149,39.97396612,40
6,1804800,1236750000,3199000000,11,20.37022138,37.72657609,40
10,1958400,1300500000,2133000000,11,19.55183911,34.8923347,40
6,1958400,930750000,2133000000,11,20.78805661,37.28561234,40
8,2112000,1236750000,3199000000,11,18.24488807,32.31831002,40
8,2112000,1134750000,3199000000,11,18.25573921,32.33114195,40
12,2112000,1134750000,3199000000,11,18.13913178,33.25102711,40
8,2112000,1032750000,3199000000,11,18.28357053,32.4913969,40
10,2112000,930750000,3199000000,11,18.14922714,33.26175523,40
4,1651200,1300500000,3199000000,10,21.91088891,41.50285983,41
8,1651200,1236750000,3199000000,10,21.93938756,41.54863048,41
2,1958400,1300500000,3199000000,10,18.93391013,34.57663727,41
8,1958400,1134750000,2133000000,10,19.75765896,36.31456685,41
10,1958400,1134750000,2133000000,10,19.68111205,36.35561943,41
2,2112000,624750000,2133000000,10,22.03384924,40.73770618,41
6,2201600,1134750000,3199000000,10,17.0193119,31.01428986,41
12,2201600,1134750000,3199000000,10,17.090065,31.1581769,41
10,2201600,930750000,3199000000,10,16.99585533,32.03833795,41
2,576000,1300500000,3199000000,9,17.8487587,34.52478623,42
8,1036800,1236750000,3199000000,9,31.26613808,62.85254693,42
4,1344000,828750000,2133000000,9,27.07683039,53.2243979,42
10,1651200,1300500000,3199000000,9,18.13210964,34.35402989,42
8,1651200,930750000,3199000000,9,21.60475683,41.52354431,42
6,1804800,1300500000,3199000000,9,19.43283343,37.02055955,42
4,1804800,930750000,3199000000,9,19.70276856,38.39050126,42
6,1804800,930750000,2133000000,9,20.69309926,39.44614029,42
10,1958400,1032750000,2133000000,9,19.50582981,37.16840363,42
10,1958400,1032750000,3199000000,9,18.11648417,34.44702911,42
6,1958400,930750000,3199000000,9,18.1247859,34.52222681,42
10,1958400,828750000,3199000000,9,18.31522083,35.6694572,42
2,2112000,1236750000,665600000,9,26.23431158,51.827034,42
2,2112000,1134750000,3199000000,9,19.12337279,36.32597709,42
4,2112000,1032750000,3199000000,9,17.20272708,32.80983639,42
2,2112000,828750000,3199000000,9,19.01358175,35.99421954,42
4,2201600,726750000,3199000000,9,17.37586474,33.68857336,42
2,576000,1300500000,2133000000,8,19.29518771,37.41571379,43
4,1036800,1300500000,3199000000,8,31.32651305,62.9468236,43
2,1344000,1134750000,2133000000,8,30.62619686,61.35773325,43
2,1497600,1300500000,3199000000,8,17.75372314,34.6072371,43
6,1497600,1236750000,665600000,8,27.7737515,55.96283388,43
2,1804800,1236750000,3199000000,8,21.7122364,42.36632085,43
12,1804800,1134750000,665600000,8,24.23500299,50.01971006,43
2,1804800,1032750000,2133000000,8,23.46333146,45.90172172,43
4,1804800,1032750000,3199000000,8,19.57030988,38.12552857,43
8,1804800,930750000,3199000000,8,19.52397799,38.02825713,43
4,1958400,1300500000,665600000,8,23.046489,48.92810607,43
2,1958400,1236750000,3199000000,8,19.63233161,38.91806388,43
4,1958400,930750000,3199000000,8,18.40507507,35.86802483,43
12,1958400,930750000,3199000000,8,18.31869364,35.88740039,43
10,1958400,726750000,3199000000,8,18.32156062,35.90554619,43
2,2112000,1300500000,2133000000,8,19.30661678,37.84880114,43
4,2112000,726750000,3199000000,8,17.34341168,34.75105381,43
8,2201600,1236750000,2133000000,8,17.34119177,33.78259826,43
10,2201600,1236750000,2133000000,8,17.35587573,32.8967135,43
4,2201600,1134750000,3199000000,8,15.99625969,31.17026377,43
6,2201600,1134750000,2133000000,8,17.36184502,33.93550682,43
12,2201600,1134750000,2133000000,8,17.3428483,33.8136282,43
12,2201600,1032750000,2133000000,8,17.4277575,34.07179809,43
4,2201600,930750000,3199000000,8,16.18982983,31.44579411,43
6,2201600,726750000,2133000000,8,17.41524196,35.02211952,43
12,2201600,726750000,2133000000,8,17.43275547,35.02760625,43
10,1036800,1300500000,665600000,7,34.31247401,69.90189552,44
6,1190400,828750000,3199000000,7,26.47125411,54.3178978,44
6,1344000,1236750000,3199000000,7,24.01829171,48.24122739,44
2,1497600,1300500000,665600000,7,24.57108831,50.50755024,44
4,1497600,1236750000,2133000000,7,23.64351225,48.43715096,44
12,1497600,1134750000,2133000000,7,23.39692855,45.72720027,44
4,1651200,1134750000,2133000000,7,22.21392965,43.51849151,44
10,1651200,1032750000,665600000,7,25.57015777,52.79728627,44
2,1651200,522750000,665600000,7,30.15818691,62.66712046,44
4,1958400,1300500000,3199000000,7,17.13341069,34.60163808,44
6,1958400,1300500000,3199000000,7,15.9892292,31.19954014,44
4,1958400,1236750000,665600000,7,23.10712409,49.07133174,44
2,1958400,1134750000,3199000000,7,19.51924658,38.79051995,44
2,1958400,930750000,2133000000,7,20.97935247,42.05945277,44
2,1958400,930750000,3199000000,7,19.34221792,38.71556115,44
12,1958400,930750000,2133000000,7,18.59356976,37.36929154,44
2,1958400,726750000,3199000000,7,19.66975141,39.23069024,44
12,2112000,1236750000,665600000,7,21.61424804,45.02190661,44
4,2112000,1134750000,3199000000,7,16.30911922,32.63522601,44
4,2112000,1032750000,2133000000,7,17.50007153,35.46427226,44
4,2112000,1032750000,665600000,7,22.18560863,46.00275636,44
6,2112000,1032750000,2133000000,7,17.42419124,35.08951497,44
12,2112000,1032750000,2133000000,7,17.53249359,35.07291508,44
4,2112000,930750000,2133000000,7,17.57506943,35.51191211,44
8,2112000,930750000,665600000,7,21.47741699,45.84859538,44
12,2112000,930750000,2133000000,7,17.68778038,35.28187513,44
10,2201600,1300500000,3199000000,7,15.97979856,32.12729001,44
10,2201600,1236750000,3199000000,7,15.97190881,32.20801187,44
8,2201600,1134750000,3199000000,7,16.07039309,31.19940138,44
6,2201600,1032750000,3199000000,7,16.03079295,31.16801357,44
12,2201600,1032750000,3199000000,7,16.0542047,31.2901268,44
12,2201600,930750000,2133000000,7,17.33741236,33.94325995,44
6,2201600,828750000,3199000000,7,16.02988958,32.45215487,44
12,2201600,828750000,2133000000,7,17.32194114,33.78374147,44
12,2201600,828750000,3199000000,7,15.88144207,31.98454928,44
6,2201600,726750000,3199000000,7,16.01504397,32.38259339,44
2,883200,1300500000,3199000000,6,16.73620868,33.38746977,45
12,1036800,1236750000,3199000000,6,29.12947893,60.44621539,45
4,1036800,1134750000,3199000000,6,29.07457304,60.49867463,45
6,1036800,1134750000,3199000000,6,29.2120111,59.49339199,45
12,1036800,1134750000,2133000000,6,30.47897673,61.0925715,45
4,1190400,1236750000,665600000,6,30.92979121,64.59620023,45
6,1190400,1236750000,665600000,6,30.7853725,63.16777873,45
6,1190400,1134750000,2133000000,6,26.99999523,54.28943586,45
12,1190400,930750000,665600000,6,30.68318033,63.95335269,45
6,1344000,1300500000,665600000,6,27.92928505,58.37915683,45
10,1344000,1300500000,3199000000,6,24.02561092,48.28124905,45
10,1344000,1236750000,665600000,6,27.82268143,58.29429221,45
4,1344000,1134750000,2133000000,6,24.71755385,50.80641198,45
2,1497600,1300500000,2133000000,6,18.3509419,36.62422943,45
6,1497600,1300500000,2133000000,6,22.08352423,45.33487344,45
12,1497600,1300500000,3199000000,6,21.78798485,43.63753009,45
12,1497600,1236750000,3199000000,6,21.72628713,43.68062234,45
8,1497600,1134750000,3199000000,6,21.98516083,43.92601252,45
10,1497600,1134750000,3199000000,6,21.57213044,43.38804197,45
12,1497600,1134750000,3199000000,6,21.7403698,43.64005995,45
6,1497600,1032750000,2133000000,6,22.38802385,44.78901076,45
8,1497600,930750000,3199000000,6,21.70991206,43.94984961,45
8,1497600,930750000,665600000,6,26.84134173,55.27134466,45
10,1497600,930750000,3199000000,6,21.87638688,43.78347969,45
12,1497600,930750000,665600000,6,26.79482436,55.09313989,45
8,1497600,828750000,3199000000,6,21.71260929,44.01050687,45
12,1497600,828750000,665600000,6,26.86053348,55.25039339,45
8,1651200,1134750000,665600000,6,24.27591801,51.36843801,45
4,1651200,1032750000,3199000000,6,19.67434311,40.64040422,45
12,1651200,1032750000,665600000,6,24.36037564,51.36959195,45
4,1651200,624750000,3199000000,6,19.78410769,41.83649921,45
2,1804800,1300500000,2133000000,6,22.122015,44.18816614,45
2,1804800,1236750000,2133000000,6,22.33782053,44.55751204,45
12,1804800,1236750000,665600000,6,22.99288201,48.82791162,45
6,1804800,1134750000,3199000000,6,18.41102648,37.06710196,45
6,1804800,1032750000,3199000000,6,18.38191342,36.91154194,45
2,1804800,930750000,3199000000,6,20.63659072,41.24611044,45
6,1804800,930750000,3199000000,6,18.42371011,37.02337003,45
8,1804800,828750000,665600000,6,23.06012607,50.05905437,45
12,1804800,828750000,3199000000,6,18.40715814,36.9832437,45
10,1804800,726750000,3199000000,6,18.21350479,36.76906466,45
6,1958400,1300500000,665600000,6,20.46611357,43.7030127,45
10,1958400,1300500000,665600000,6,20.48778677,44.79476452,45
8,1958400,1236750000,665600000,6,21.68685865,46.13142252,45
2,1958400,1032750000,3199000000,6,18.99312949,38.2858398,45
4,1958400,1032750000,2133000000,6,18.7144804,36.56680107,45
6,1958400,726750000,3199000000,6,17.33889914,34.71655297,45
4,1958400,624750000,3199000000,6,17.44779348,36.1050601,45
10,1958400,624750000,3199000000,6,17.23762488,35.75798106,45
6,2112000,1236750000,3199000000,6,15.91154265,32.14461422,45
10,2112000,1236750000,665600000,6,20.58383322,43.99862385,45
6,2112000,1134750000,3199000000,6,16.17474079,32.41887689,45
6,2112000,1134750000,665600000,6,20.57091999,44.27854323,45
10,2112000,1134750000,3199000000,6,16.12497926,32.68059349,45
2,2112000,1032750000,2133000000,6,19.76175117,38.37310266,45
10,2112000,1032750000,3199000000,6,15.96278119,32.18857741,45
12,2112000,1032750000,3199000000,6,15.88542557,32.10367298,45
2,2112000,930750000,3199000000,6,17.77677369,35.89834738,45
