cores,cpu,gpu,mem,observed_power,predicted_power,observed_time,predicted_time
12,268800,1300500000,2133000000,19.66,31.589956630774157,482.0596008300781,592.1882802466539
12,268800,1236750000,2133000000,19.255,30.631168685845275,494.6559448242188,594.3695428405048
12,268800,1134750000,2133000000,19.056,29.097107973959066,478.5696411132813,598.1236852219314
12,268800,1032750000,2133000000,18.859,27.563047262072857,459.9781188964844,602.2588335826832
12,268800,930750000,2133000000,17.857,26.02898655018665,471.8672790527344,606.857560203771
12,268800,828750000,2133000000,16.857,24.494925838300446,563.231201171875,612.032092303333
12,268800,726750000,2133000000,17.255,22.96086512641424,478.47796630859375,617.9403171803351
12,268800,624750000,2133000000,16.152,21.42680441452803,473.3460083007813,624.8142116144165
12,268800,522750000,2133000000,16.751,19.892743702641823,555.9046630859375,633.0143603173982
12,268800,420750000,2133000000,17.36,18.358682990755614,463.9826354980469,643.1456801554551
12,268800,318750000,2133000000,17.156,16.82462227886941,452.019775390625,656.340609862505
12,268800,216750000,2133000000,16.156,15.290561566983204,503.9243469238281,675.1202904771438
12,268800,114750000,2133000000,14.849,13.756500855096997,832.45556640625,707.2704503960001
12,422400,1300500000,2133000000,20.262,31.944756803949257,303.9580078125,445.20804847146206
12,422400,1236750000,2133000000,19.861,30.985968859020375,359.0959777832031,446.8479250022969
12,422400,1134750000,2133000000,21.466,29.45190814713417,283.0235595703125,449.6702949462323
12,422400,1032750000,2133000000,19.962,27.917847435247964,283.7640075683594,452.7791057640746
12,422400,930750000,2133000000,19.164,26.383786723361755,310.2026672363281,456.236435422094
12,422400,828750000,2133000000,18.864,24.849726011475543,320.36492919921875,460.1266565133311
12,422400,726750000,2133000000,18.46,23.31566529958934,348.1120910644531,464.56846894893874
12,422400,624750000,2133000000,18.259,21.781604587703136,303.3766174316406,469.73627322416274
12,422400,522750000,2133000000,18.262,20.247543875816927,304.3611145019531,475.9011574729859
12,422400,420750000,2133000000,17.861,18.71348316393072,310.15093994140625,483.5178991141119
12,422400,318750000,2133000000,17.471,17.179422452044513,348.4218139648437,493.437867307584
12,422400,216750000,2133000000,16.969,15.645361740158307,441.03167724609375,507.5564597151851
12,422400,114750000,2133000000,15.252,14.1113010282721,805.94873046875,531.7269987700237
12,576000,1300500000,2133000000,24.669,32.29955697712436,235.79855346679688,366.0532539530869
12,576000,1236750000,2133000000,20.363,31.34076903219548,249.62448120117188,367.4015722107071
12,576000,1134750000,2133000000,19.761,29.80670832030928,233.66668701171875,369.7221450426311
12,576000,1032750000,2133000000,22.269,28.272647608423068,231.0697021484375,372.2782316176669
12,576000,930750000,2133000000,20.264,26.73858689653686,236.8908233642578,375.1208728853879
12,576000,828750000,2133000000,20.465,25.204526184650653,263.02313232421875,378.3194405975699
12,576000,726750000,2133000000,20.366,23.670465472764448,236.0015106201172,381.97153067340224
12,576000,624750000,2133000000,20.466,22.13640476087824,218.43280029296875,386.22053645223576
12,576000,522750000,2133000000,20.168,20.602344048992038,239.0888671875,391.2893485441866
12,576000,420750000,2133000000,18.464,19.068283337105825,267.1393127441406,397.551888208118
12,576000,318750000,2133000000,17.159,17.53422262521962,315.30926513671875,405.7081572800693
12,576000,216750000,2133000000,16.869,16.00016191333341,439.3465576171875,417.3165653261138
12,576000,114750000,2133000000,15.252,14.466101201447206,788.6415405273438,437.1897560763726
12,729600,1300500000,2133000000,21.961,32.65435715029947,200.5639038085937,315.3160602968116
12,729600,1236750000,2133000000,20.358,31.69556920537059,204.4761962890625,316.4774934938336
12,729600,1134750000,2133000000,20.363,30.161508493484376,191.28860473632807,318.4764209042368
12,729600,1032750000,2133000000,20.059,28.62744778159817,202.95497131347656,320.6782184293618
12,729600,930750000,2133000000,21.863,27.09338706971197,194.71337890625,323.1268524346472
12,729600,828750000,2133000000,19.357,25.55932635782576,195.62905883789065,325.88207932774594
12,729600,726750000,2133000000,20.265,24.025265645939548,220.52908325195312,329.0279676435157
12,729600,624750000,2133000000,20.566,22.491204934053343,208.67529296875,332.68803553771306
12,729600,522750000,2133000000,19.461,20.957144222167138,212.85574340820312,337.05427963459965
12,729600,420750000,2133000000,19.779,19.42308351028093,244.70211791992188,342.44879344634256
12,729600,318750000,2133000000,19.177,17.889022798394723,301.875732421875,349.47455432325046
12,729600,216750000,2133000000,17.37,16.354962086508515,431.5837707519531,359.4739668455215
12,729600,114750000,2133000000,15.454,14.82090137462231,785.0894165039062,376.5926132316064
12,883200,1300500000,2133000000,26.179,33.00915732347457,172.1663055419922,279.4953619109104
12,883200,1236750000,2133000000,25.979,32.050369378545696,164.45401000976562,280.5248533723711
12,883200,1134750000,2133000000,26.682,30.516308666659484,179.9214324951172,282.2966975958413
12,883200,1032750000,2133000000,24.571,28.98224795477328,189.28892517089844,284.248365378193
12,883200,930750000,2133000000,23.87,27.44818724288707,163.0740203857422,286.4188283950479
12,883200,828750000,2133000000,21.768,25.91412653100086,180.9640655517578,288.8610545756884
12,883200,726750000,2133000000,20.767,24.38006581911465,173.79254150390625,291.64956205773586
12,883200,624750000,2133000000,21.168,22.84600510722845,193.12538146972656,294.89383702344566
12,883200,522750000,2133000000,21.585,21.31194439534224,206.4007110595703,298.764064797134
12,883200,420750000,2133000000,19.668,19.77788368345604,232.5543670654297,303.54574825698444
12,883200,318750000,2133000000,19.177,18.243822971569827,300.095458984375,309.7733650080705
12,883200,216750000,2133000000,17.471,16.70976225968362,426.6830749511719,318.6368190902313
12,883200,114750000,2133000000,15.355,15.175701547797416,783.6644287109375,333.8107441437154
12,1036800,1300500000,2133000000,23.465,33.363957496649675,156.8411865234375,252.5933780079528
12,1036800,1236750000,2133000000,24.269,32.4051695517208,143.67164611816406,253.5237788707893
12,1036800,1134750000,2133000000,26.481,30.871108839834587,149.4417266845703,255.1250795673385
12,1036800,1032750000,2133000000,26.281,29.33704812794838,152.95497131347656,256.88889544794205
12,1036800,930750000,2133000000,24.476,27.802987416062173,156.07997131347656,258.8504470870117
12,1036800,828750000,2133000000,21.768,26.268926704175968,155.07562255859375,261.05760414539634
12,1036800,726750000,2133000000,19.258,24.73486599228976,166.3785858154297,263.577712241914
12,1036800,624750000,2133000000,21.87,23.20080528040355,183.8567352294922,266.509719296244
12,1036800,522750000,2133000000,20.987,21.666744568517345,202.7953338623047,270.0074299571018
12,1036800,420750000,2133000000,19.177,20.13268385663114,230.1080017089844,274.3288668833911
12,1036800,318750000,2133000000,18.276,18.59862314474493,297.1395874023437,279.9570631487629
12,1036800,216750000,2133000000,17.373,17.064562432858725,426.13671875,287.9673921650455
12,1036800,114750000,2133000000,15.355,15.530501720972518,778.6246948242188,301.6807967836194
12,1190400,1300500000,2133000000,29.99,33.71875766982478,137.33868408203125,231.50085858345864
12,1190400,1236750000,2133000000,30.793,32.7599697248959,137.37167358398438,232.35356739266047
12,1190400,1134750000,2133000000,29.189,31.22590901300969,149.0193328857422,233.82115331682425
12,1190400,1032750000,2133000000,24.47,29.691848301123485,142.48387145996094,235.43768378156983
12,1190400,930750000,2133000000,26.08,28.15778758923728,153.29295349121094,237.23543830776376
12,1190400,828750000,2133000000,22.37,26.62372687735107,156.18701171875,239.25828925529933
12,1190400,726750000,2133000000,23.073,25.089666165464863,166.32992553710938,241.56795862457548
12,1190400,624750000,2133000000,22.872,23.555605453578657,178.3994598388672,244.2551318030773
