powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,2008090.9163951876,15.803,2714750.1609,14.807866
2_268800_1300500000_2133000000,1000000.0450611116,16.92,1873088.7278999998,14.601628
2_268800_1300500000_3199000000,958298.8777160645,17.4245,1774591.125,14.445366
2_268800_1300500000_665600000,1094487.012386322,16.606,1972669.3335,14.926972
2_268800_1236750000_204000000,4287384.972572327,13.387,2671670.4423,14.562004
2_268800_1236750000_2133000000,3217873.8062381744,14.294,1812774.9023999998,14.471164
2_268800_1236750000_3199000000,3217461.669921875,15.007,1739775.7689,14.238129
2_268800_1236750000_665600000,3545512.477874756,13.6405,1921934.9787,14.734848
2_268800_1134750000_204000000,4423170.3016757965,12.984,2612836.4652,14.202388999999998
2_268800_1134750000_2133000000,3268270.323038101,13.993,1734475.3233,14.322324
2_268800_1134750000_3199000000,3206552.995204925,14.605,1695246.6804,13.967979
2_268800_1134750000_665600000,3480300.149202347,13.086,1846712.7903,14.394081
2_268800_1032750000_204000000,4455751.9967556,12.582,2579154.1278,13.88148
2_268800_1032750000_2133000000,3180578.932762146,13.588,1756606.3092,14.122861
2_268800_1032750000_3199000000,3179908.3750247955,14.2535,1735018.1531999998,13.853757
2_268800_1032750000_665600000,3446725.332975388,12.684,1809936.807,14.075064000000001
2_268800_930750000_204000000,4494211.874723434,12.18,2580926.8824,13.584508
2_268800_930750000_2133000000,3265024.6176719666,13.288,2013389.8599,14.022834000000001
2_268800_930750000_3199000000,3219975.539445877,14.2,2067604.2342,13.845115
2_268800_930750000_665600000,3438528.778553009,12.282,1816444.5137999998,13.775859
2_268800_828750000_204000000,4256150.239706039,12.181,2662227.8904,13.335398999999999
2_268800_828750000_2133000000,3382334.1102600098,13.289,2248160.5875,13.96883
2_268800_828750000_3199000000,3232453.3853530884,13.899,2176681.3152,13.933125
2_268800_828750000_665600000,3512337.412595749,12.282,1940958.408,13.53226
2_268800_726750000_204000000,2037217.9234027865,13.085,2745106.5905999998,13.078711
2_268800_726750000_2133000000,1016940.0489330292,14.1515,2165974.6089,13.868322000000001
2_268800_726750000_3199000000,919582.8652381896,15.1575,2094029.25,14.055539000000001
2_268800_726750000_665600000,1092077.567577362,13.99,1989923.4468000003,13.303486999999999
2_268800_624750000_204000000,4367138.698816299,11.776,2778705.6201,12.850646000000001
2_268800_624750000_2133000000,3170875.35405159,12.786,2092761.1881,13.752353
2_268800_624750000_3199000000,3264355.4997444157,13.297,2011085.3727,14.083156
2_268800_624750000_665600000,3556342.6179885864,11.8795,1962666.6024,13.109572
2_268800_522750000_204000000,4276747.107505798,11.374,2818438.4868,12.62574
