powermode,observed_time,observed_power
12_1497600_1236750000_3199000000,161.21535417938233,36.403
2_1190400_114750000_204000000,1681.5051280517578,13.544
4_883200_318750000_665600000,555.7557646179199,16.658
8_1497600_114750000_2133000000,1121.6228780517579,15.754
2_1497600_114750000_665600000,1155.413992919922,14.452
12_883200_522750000_665600000,466.8417133178711,18.071
2_1804800_420750000_665600000,540.8253859558106,17.46
4_1036800_216750000_665600000,672.7073611450195,15.855
8_1344000_318750000_204000000,1282.0741908569337,14.349
4_1190400_624750000_2133000000,273.7201528778076,22.471
8_1958400_624750000_665600000,440.8049122619629,19.872
6_2201600_828750000_665600000,412.4936726379394,21.978
10_1804800_1134750000_2133000000,183.76481079864504,32.2435
4_1958400_726750000_3199000000,202.9549860992432,28.2825
4_2112000_1134750000_3199000000,159.6971926498413,36.71
6_1344000_930750000_2133000000,215.9719275970459,27.334
6_576000_216750000_204000000,1369.6117170410157,14.144
8_1497600_114750000_204000000,1613.711930419922,13.947
4_2112000_114750000_665600000,1130.9135262451173,15.651
4_1651200_828750000_3199000000,195.70488368225094,28.9895
