Error1,Error2,Error3,Error4,Power_target,p1,p11,p1-t,p11-t,p11-p1,obs_pwd,pred_pwd
-0.9933333333333275,0.35333333333333883,1.360177765807016,52.39646813964847,15,14.851,15.053,-0.14899999999999913,0.053000000000000824,0.20199999999999996,2_729600_318750000_665600000,2_576000_114750000_2133000000
-0.6031250000000044,-1.5375000000000028,-0.9400446442606958,7.871653588867211,16,15.9035,15.754,-0.0965000000000007,-0.24600000000000044,-0.14949999999999974,2_1036800_216750000_665600000,2_1036800_318750000_665600000
-0.8411764705882393,5.129411764705882,6.02123746811414,-17.16453562469481,17,16.857,17.872,-0.14300000000000068,0.8719999999999999,1.0150000000000006,2_1344000_318750000_665600000,4_729600_420750000_665600000
-0.7111111111111118,4.872222222222216,5.623321396598025,-1.2758253158569377,18,17.872,18.877,-0.1280000000000001,0.8769999999999989,1.004999999999999,4_729600_420750000_665600000,2_1344000_318750000_2133000000
-0.726315789473693,7.757894736842107,8.546283533029381,-3.854297535705564,19,18.862,20.474,-0.13800000000000168,1.4740000000000002,1.6120000000000019,4_576000_420750000_2133000000,2_1651200_318750000_2133000000
-1.6050000000000075,11.664999999999992,13.48645764520555,-12.566010639953618,20,19.679,22.333,-0.3210000000000015,2.3329999999999984,2.654,4_729600_318750000_2133000000,4_1036800_420750000_2133000000
-2.9476190476190465,6.604761904761906,9.842500367989796,-5.152978939819336,21,20.381,22.387,-0.6189999999999998,1.3870000000000005,2.0060000000000002,12_422400_420750000_2133000000,12_729600_420750000_2133000000
-0.5227272727272656,7.586363636363639,8.151702079049572,-4.761774629211418,22,21.885,23.669,-0.11499999999999844,1.6690000000000005,1.783999999999999,8_576000_420750000_2133000000,6_576000_624750000_2133000000
-0.504347826086955,5.547826086956521,6.082852648138435,-3.823763510894773,23,22.884,24.276,-0.11599999999999966,1.2759999999999998,1.3919999999999995,12_1497600_420750000_2133000000,10_576000_624750000_2133000000
-0.06666666666665932,8.285416666666661,8.357655103402253,-3.8825848114013684,24,23.984,25.9885,-0.015999999999998238,1.9884999999999984,2.0044999999999966,10_883200_522750000_2133000000,12_883200_624750000_2133000000
-0.036000000000001364,6.384,6.422312032331641,-3.5084228668212925,25,24.991,26.596,-0.009000000000000341,1.596,1.6050000000000004,8_1497600_522750000_2133000000,12_1190400_624750000_2133000000
-0.4096153846153865,2.6807692307692275,3.1030953714252596,-0.7544923149108873,26,25.8935,26.697,-0.10650000000000048,0.6969999999999992,0.8034999999999997,8_1036800_624750000_2133000000,12_1497600_624750000_2133000000
-1.200000000000006,1.8259259259259204,3.062678062678063,2.045863808441173,27,26.676,27.493,-0.3240000000000016,0.49299999999999855,0.8170000000000002,6_1804800_726750000_2133000000,12_1804800_624750000_2133000000
-2.199999999999999,-0.3589285714285723,1.8824861232836672,2.419638753509518,28,27.384,27.8995,-0.6159999999999997,-0.10050000000000026,0.5154999999999994,6_1190400_828750000_2133000000,12_1958400_624750000_2133000000
-5.572413793103447,1.213793103448277,7.186678352322525,2.4853257179260293,29,27.384,29.352,-1.6159999999999997,0.3520000000000003,1.968,6_1190400_828750000_2133000000,12_2201600_624750000_2133000000
-1.8800000000000001,-4.556666666666669,-2.7279521674140534,2.931934822845461,30,29.436,28.633,-0.5640000000000001,-1.3670000000000009,-0.8030000000000008,8_1344000_726750000_3199000000,12_1651200_624750000_3199000000
-0.3161290322580612,-2.287096774193547,-1.9772183030224604,6.20758937835694,31,30.902,30.291,-0.09799999999999898,-0.7089999999999996,-0.6110000000000007,10_1036800_930750000_3199000000,12_1804800_624750000_3199000000
-0.1796875000000031,-1.275000000000004,-1.0972841825154582,9.183572241592405,32,31.9425,31.592,-0.057500000000000995,-0.40800000000000125,-0.35050000000000026,10_1190400_1236750000_3199000000,12_2112000_624750000_3199000000
-3.2045454545454577,-4.266666666666671,-1.0972841825154582,9.183572241592405,33,31.9425,31.592,-1.057500000000001,-1.4080000000000013,-0.35050000000000026,10_1190400_1236750000_3199000000,12_2112000_624750000_3199000000
-2.548529411764712,-3.247058823529409,-0.716797199209251,6.449604282379154,34,33.1335,32.896,-0.866500000000002,-1.1039999999999992,-0.23749999999999716,10_1344000_1236750000_3199000000,12_1958400_726750000_3199000000
-5.332857142857149,-1.4371428571428575,4.115170446828744,6.241891990661622,35,33.1335,34.497,-1.866500000000002,-0.5030000000000001,1.363500000000002,10_1344000_1236750000_3199000000,12_2201600_726750000_3199000000
-7.962500000000006,-0.9347222222222248,7.63577647999759,5.949481281280514,36,33.1335,35.6635,-2.866500000000002,-0.3365000000000009,2.530000000000001,10_1344000_1236750000_3199000000,12_1958400_1032750000_2133000000
-1.7716216216216312,-2.6891891891891824,-0.9341165788496029,3.9147764278411796,37,36.3445,36.005,-0.6555000000000035,-0.9949999999999974,-0.3394999999999939,8_1344000_1300500000_3199000000,12_1958400_828750000_3199000000
-4.35657894736843,-0.2565789473684121,4.2867559052951805,3.842860432052611,38,36.3445,37.9025,-1.6555000000000035,-0.09749999999999659,1.558000000000007,8_1344000_1300500000_3199000000,12_2201600_828750000_3199000000
-0.6179487179487171,-1.7692307692307636,-1.1584406202430353,3.1721224929809555,39,38.759,38.31,-0.24099999999999966,-0.6899999999999977,-0.44899999999999807,8_1497600_1300500000_3199000000,12_1958400_930750000_3199000000
-3.102499999999999,-0.9774999999999956,2.1930390360948464,2.929304159545898,40,38.759,39.609,-1.2409999999999997,-0.39099999999999824,0.8500000000000014,8_1497600_1300500000_3199000000,12_2112000_930750000_3199000000
-5.4658536585365844,-3.5317073170731716,2.045976418380245,2.9539438453674376,41,38.759,39.552,-2.2409999999999997,-1.4480000000000004,0.7929999999999993,8_1497600_1300500000_3199000000,12_2201600_930750000_3199000000
-7.716666666666666,-4.74047619047619,3.2250574060218273,1.9115739761352557,42,38.759,40.009,-3.2409999999999997,-1.9909999999999997,1.25,8_1497600_1300500000_3199000000,12_1958400_1032750000_3199000000
-9.862790697674416,-2.191860465116285,8.51028148301039,1.7943275062561048,43,38.759,42.0575,-4.241,-0.9425000000000026,3.298499999999997,8_1497600_1300500000_3199000000,12_2112000_1032750000_3199000000
-11.911363636363635,-2.93181818181818,10.193761448953792,1.8883277633667013,44,38.759,42.71,-5.241,-1.2899999999999991,3.9510000000000005,8_1497600_1300500000_3199000000,12_2201600_1032750000_3199000000
-13.86888888888889,-2.168888888888887,13.583941794163938,1.072600490951539,45,38.759,44.024,-6.241,-0.9759999999999991,5.265000000000001,8_1497600_1300500000_3199000000,12_1958400_1134750000_3199000000
-15.741304347826086,-0.632608695652167,17.931319177481367,0.9861698730468771,46,38.759,45.709,-7.241,-0.2909999999999968,6.950000000000003,8_1497600_1300500000_3199000000,12_2201600_1134750000_3199000000
-0.9010638297872279,-2.7468085106382913,-1.8625272401318256,1.321367052841191,47,46.5765,45.709,-0.4234999999999971,-1.2909999999999968,-0.8674999999999997,12_1651200_1300500000_3199000000,12_2201600_1134750000_3199000000
-2.965624999999994,-4.77291666666666,-1.8625272401318256,1.321367052841191,48,46.5765,45.709,-1.423499999999997,-2.290999999999997,-0.8674999999999997,12_1651200_1300500000_3199000000,12_2201600_1134750000_3199000000
-4.945918367346932,-6.538775510204083,-1.6757377647526188,0.6025694789886543,49,46.5765,45.796,-2.423499999999997,-3.2040000000000006,-0.7805000000000035,12_1651200_1300500000_3199000000,12_2201600_1236750000_3199000000
-0.4260000000000019,-8.408000000000001,-8.01614879386185,0.6156458225250239,50,49.787,45.796,-0.21300000000000097,-4.204000000000001,-3.9909999999999997,12_1804800_1300500000_3199000000,12_2201600_1236750000_3199000000
