powermode,observed_time,observed_power
6_1190400_522750000_665600000,733.5635380744934,14.304
8_729600_726750000_665600000,846.0833382606506,14.295
12_1497600_828750000_665600000,647.743462562561,15.911
6_422400_318750000_3199000000,1206.135631799698,14.1515
12_422400_318750000_204000000,2020.977865219116,12.583
2_422400_216750000_2133000000,1815.9513058662412,12.7445
4_268800_624750000_665600000,2058.4295630455017,11.981
6_1651200_420750000_2133000000,507.1466367244721,16.118
12_422400_420750000_204000000,2012.1162536144257,12.634
6_1036800_216750000_204000000,1750.5716655254364,13.287
8_729600_522750000_3199000000,733.5520725250244,14.806
12_2201600_1300500000_2133000000,309.22571849823,23.9505
4_422400_930750000_665600000,1346.2413699626925,13.288
10_1958400_930750000_2133000000,347.814110994339,19.03
6_1036800_522750000_665600000,761.493691444397,14.303
2_2112000_930750000_3199000000,347.79510402679443,19.735
8_1497600_624750000_3199000000,433.9268143177033,17.124
6_1497600_624750000_3199000000,429.08228278160095,17.627
10_576000_216750000_204000000,1903.430474758148,12.7345
