powermode,predicted_time,predicted_power,observed_time,observed_power
2_268800_522750000_204000000,2457.8492289,12.490207,4276.747107505798,11.374
2_268800_420750000_204000000,2493.9929786999996,12.371753,4243.564076662064,11.375
2_576000_318750000_665600000,1488.4406799,14.411523,1370.046490192413,12.184
2_1651200_522750000_2133000000,572.5194444900001,13.947406,512.8188745975494,15.311
2_1804800_726750000_2133000000,393.7156362,15.005783,442.0802707672119,16.214
4_268800_318750000_665600000,1673.2734011999999,14.200555,2160.247305870056,11.477
4_268800_216750000_204000000,2351.0055186,12.343516,2505.258846759796,11.475
4_422400_420750000_665600000,1412.0781267,14.243569,1377.2520060539246,12.182
4_883200_522750000_2133000000,532.0886514,12.692119,685.4841551780701,14.204
4_1190400_522750000_2133000000,490.35895841999996,13.1494795,545.3667159080505,15.008
4_1497600_522750000_2133000000,474.1418331,13.765574,491.7497537136078,15.6165
4_1651200_624750000_2133000000,338.03504286,14.46781,431.3023555278778,16.419
4_1804800_828750000_3199000000,300.77523291,17.380145,360.20170044898987,18.428
4_1804800_726750000_2133000000,293.20095054,15.183529,390.4484825134277,16.919
4_1958400_930750000_3199000000,271.76903202,18.620436,323.27615118026733,19.736
4_2112000_828750000_2133000000,337.78529109,16.272871,354.64318585395813,18.7295
4_2201600_1300500000_3199000000,369.98424771000003,22.345953,285.0132761001587,23.562
4_2201600_930750000_3199000000,263.05007097,19.716291,303.32271027565,20.743
4_2201600_828750000_3199000000,239.29193955000002,19.065342,316.15478467941284,20.445
6_268800_522750000_665600000,1522.07342331,14.128315,1832.793670892716,12.08
6_268800_420750000_665600000,1553.2632133500001,14.083145,1848.1176595687864,11.981
6_883200_522750000_2133000000,509.52544911,12.930864,647.3080632686615,14.406
6_1036800_522750000_2133000000,453.0790014,13.159086,562.5013387203217,14.909
6_1190400_420750000_665600000,785.74645218,15.500671,745.9643292427063,14.001
6_1190400_318750000_665600000,830.9295624,15.24691,793.001012802124,13.497
6_1344000_726750000_2133000000,252.04519116,14.380016,457.7364957332611,15.8605
6_1344000_522750000_2133000000,457.44910251,13.681514,503.5928449630737,15.4635
6_1497600_726750000_2133000000,244.36982958,14.730233,428.9835388660431,16.717
6_1651200_930750000_2133000000,263.33052006,15.799803,390.1345555782318,17.021
6_1651200_828750000_3199000000,272.81256897000003,17.063717,375.1317405700684,17.824
6_1651200_726750000_2133000000,242.91161309999998,15.082521,408.1276669502258,16.72
6_1804800_930750000_2133000000,281.7490371,16.160915,366.5045940876007,18.373
6_1804800_930750000_3199000000,263.10644838,18.041438,342.74713492393494,19.232
6_1804800_828750000_3199000000,258.6614952,17.531299999999998,349.48595094680786,18.7795
6_1804800_726750000_2133000000,244.79455919999998,15.435457,381.5453913211823,17.317
6_1958400_1032750000_3199000000,268.77032274,19.382525,321.3261206150055,20.042
6_1958400_930750000_3199000000,252.46943625,18.710252,318.13457202911377,20.086
6_1958400_828750000_2133000000,274.63569906000004,16.149527,362.3934600353241,18.4265
6_1958400_828750000_3199000000,244.57934973,18.155318,330.6598870754242,19.434
6_1958400_726750000_2133000000,266.48921801999995,15.790057,369.6121871471405,17.8245
6_2112000_828750000_3199000000,238.41794120999998,18.812492,317.68992137908936,20.0955
6_2201600_1134750000_3199000000,288.07423239,21.261479,287.1918773651123,22.246
6_2201600_1032750000_3199000000,264.88845594000003,20.535072,289.7895176410675,21.546
6_2201600_930750000_3199000000,246.55532559,19.839115000000003,298.4366843700409,21.247
8_268800_216750000_665600000,1750.4751291,14.016076,1932.5092458724976,11.677
8_422400_522750000_665600000,1182.1014327,14.494916,1279.4906175136566,12.534
8_729600_522750000_2133000000,738.2893957800001,12.968615,733.8602633476257,14.202
8_729600_522750000_665600000,852.82961505,15.062619,861.3423418998718,13.188
8_883200_522750000_665600000,766.8333706799999,15.360676,816.2014491558075,13.39
8_1036800_522750000_2133000000,579.56873079,13.430012,585.7055215835571,14.806
8_1036800_522750000_665600000,723.0421432200001,15.662951,758.7145919799805,13.7965
8_1190400_624750000_2133000000,355.9618401,13.972912,510.1768572330475,15.4115
8_1958400_828750000_3199000000,236.57843088,18.340549,335.1704502105713,19.338
8_1958400_726750000_2133000000,283.44181299,16.089617,376.6112496852875,17.723
8_2112000_930750000_3199000000,228.16742772,19.614686000000003,308.21462512016296,20.645
8_2112000_828750000_2133000000,251.3153952,16.866318,344.740421295166,19.131
8_2201600_930750000_3199000000,228.79018943999998,20.030357,297.8199293613434,21.25
8_2201600_828750000_3199000000,245.09288901000002,19.433121,317.3675172328949,20.344
10_729600_624750000_2133000000,779.232087,13.477788,744.2974302768707,14.002
10_729600_318750000_665600000,1158.284595,14.78863,926.03915309906,12.582
10_883200_624750000_2133000000,637.82396025,13.720305,637.0597653388977,14.604
10_883200_624750000_665600000,779.7051758399999,15.835403,780.789261341095,13.79
10_1036800_522750000_2133000000,661.7819212200001,13.720602,571.1809105873108,14.907
10_1036800_522750000_665600000,761.3619954000001,15.862326,755.8887407779694,14.0
10_1344000_624750000_2133000000,427.5272337,14.624176,476.44212341308594,15.816
10_1804800_726750000_3199000000,277.81879545000004,17.466965000000002,357.1952831745148,18.4785
10_1958400_1032750000_3199000000,215.12162940000002,19.751588,313.4321224689484,20.5375
10_1958400_726750000_3199000000,276.0203295,18.062771,345.35504269599915,18.835
10_2201600_1032750000_3199000000,210.42540834,20.88277,289.7337636947632,22.045
12_268800_216750000_665600000,1988.2350941999998,14.006432,1871.2072477340696,11.978
12_883200_624750000_2133000000,738.27467232,14.05924,626.3165235519409,14.803
12_883200_420750000_2133000000,1000.89201111,13.57934,650.2557048797607,14.404
12_1804800_522750000_2133000000,664.0410189,15.688684,434.0598893165589,16.366
12_1958400_828750000_2133000000,322.81912845,17.309916,355.21307611465454,18.5825
