powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,2008090.9163951876,15.803,2607875.8158,14.692712
2_268800_1300500000_2133000000,1000000.0450611116,16.92,1666435.7451,15.632839
2_268800_1300500000_3199000000,958298.8777160645,17.4245,1691180.5359,16.518273
2_268800_1300500000_665600000,1094487.012386322,16.606,2047978.8936,14.860792
2_268800_1236750000_204000000,4287384.972572327,13.387,2587117.6128,14.510202
2_268800_1236750000_2133000000,3217873.8062381744,14.294,1655537.8839,15.407501
2_268800_1236750000_3199000000,3217461.669921875,15.007,1665012.0084000002,16.231453
2_268800_1236750000_665600000,3545512.477874756,13.6405,2020373.1875999998,14.674786
2_268800_1134750000_204000000,4423170.3016757965,12.984,2518698.2256,14.219927
2_268800_1134750000_2133000000,3268270.323038101,13.993,1627820.5797000001,15.061065000000001
2_268800_1134750000_3199000000,3206552.995204925,14.605,1625963.5794,15.8197705
2_268800_1134750000_665600000,3480300.149202347,13.086,1975634.5008,14.383406
2_268800_1032750000_204000000,4455751.9967556,12.582,2448251.6274,13.929651
2_268800_1032750000_2133000000,3180578.932762146,13.588,1588282.4628,14.720429
2_268800_1032750000_3199000000,3179908.3750247955,14.2535,1588421.64795,15.443588
2_268800_1032750000_665600000,3446725.332975388,12.684,1922307.7541999999,14.093131999999999
2_268800_930750000_204000000,4494211.874723434,12.18,2384725.6806,13.639376
2_268800_930750000_2133000000,3265024.6176719666,13.288,1558085.3028,14.391892
2_268800_930750000_3199000000,3219975.539445877,14.2,1554459.9243,15.105462
2_268800_930750000_665600000,3438528.778553009,12.282,1862525.1924,13.802856
2_268800_828750000_204000000,4256150.239706039,12.181,2365241.1663,13.349101000000001
2_268800_828750000_2133000000,3382334.1102600098,13.289,1532005.3036200001,14.066366
2_268800_828750000_3199000000,3232453.3853530884,13.899,1529296.48395,14.771028
2_268800_828750000_665600000,3512337.412595749,12.282,1815286.0182,13.512581
2_268800_726750000_204000000,2037217.9234027865,13.085,2425746.303,13.058825
2_268800_726750000_2133000000,1016940.0489330292,14.1515,1511453.15091,13.754772999999998
2_268800_726750000_3199000000,919582.8652381896,15.1575,1519203.8022,14.465146
2_268800_726750000_665600000,1092077.567577362,13.99,1834043.5812,13.222307
2_268800_624750000_204000000,4367138.698816299,11.776,2521278.1133999997,12.769450999999998
2_268800_624750000_2133000000,3170875.35405159,12.786,1503869.58432,13.465232
2_268800_624750000_3199000000,3264355.4997444157,13.297,1500726.21939,14.192381
2_268800_624750000_665600000,3556342.6179885864,11.8795,1910146.989,12.932031
2_268800_522750000_204000000,4276747.107505798,11.374,2632135.2951,12.481154
2_268800_522750000_2133000000,3214705.008506775,12.483,1535011.8279,13.215636
2_268800_522750000_3199000000,3290740.5927181244,13.497,1492254.30612,13.958474
2_268800_522750000_665600000,3543980.82447052,11.878,2015651.0520000001,12.641757
2_268800_420750000_204000000,4243564.076662064,11.375,2745150.042,12.195624
2_268800_420750000_2133000000,3286176.469564438,12.485,1590313.67508,13.011415999999999
2_268800_420750000_3199000000,3156201.956272125,13.497,1522652.2491,13.762638
2_268800_420750000_665600000,3486423.1214523315,11.476,2123241.2511,12.35385
2_268800_318750000_204000000,1688422.2390651703,14.304,2851438.4184,11.943957000000001
2_268800_318750000_2133000000,577952.8923034668,16.5185,1665806.3250000002,12.864983
2_268800_318750000_3199000000,563073.1425285339,17.7285,1606792.6028999998,13.599054
2_268800_318750000_665600000,734201.3471126556,15.511,2232731.9019,12.136474
2_268800_216750000_204000000,2110819.2813396454,12.383,2958088.9419,11.81566
2_268800_216750000_2133000000,1131754.6255588531,13.8,1763762.5047,12.746977999999999
2_268800_216750000_3199000000,1133115.3576374054,14.9575,1716239.646,13.458663
2_268800_216750000_665600000,1218948.3087062836,12.983,2346779.9480999997,11.993827999999999
2_268800_114750000_204000000,4327948.992967606,11.374,3065846.2257,11.71818
2_268800_114750000_2133000000,3523276.865005493,12.491,1875621.8819999998,12.651530000000001
2_268800_114750000_3199000000,3422059.011697769,13.095,1854173.6145000001,12.651530000000001
2_268800_114750000_665600000,3528473.8852977757,11.477,2463843.9591,13.3467705
2_422400_1300500000_204000000,1898538.7654304504,16.105,2428946.2328999997,11.898683
2_422400_1300500000_2133000000,801867.6211833954,17.02,1461140.5403999998,14.905059999999999
2_422400_1300500000_3199000000,767567.5113201141,18.026,1464622.66995,15.918612
2_422400_1300500000_665600000,939415.5657291412,16.0,1851362.0901,16.887057000000002
2_422400_1236750000_204000000,2662979.0143966675,14.393,2409847.1544,15.075101
2_422400_1236750000_2133000000,1761043.8692569733,14.996,1435149.67911,14.722127
2_422400_1236750000_3199000000,1748158.5040092468,16.0625,1431866.08182,15.685162
2_422400_1236750000_665600000,1986280.784368515,14.392,1822381.1004,16.579083999999998
2_422400_1134750000_204000000,2698213.5910987854,13.589,2339619.3762000003,14.887134
2_422400_1134750000_2133000000,1759161.35597229,14.4945,1396964.0729999999,14.430290000000001
2_422400_1134750000_3199000000,1773415.5843257904,15.512,1391653.4679,15.333751
2_422400_1134750000_665600000,1965598.2398986816,13.689,1774438.1073,16.14597
2_422400_1032750000_204000000,2681944.0879821777,13.186,2262443.1251999997,14.59444
2_422400_1032750000_2133000000,1832146.4262008667,14.094,1349478.49185,14.140013999999999
2_422400_1032750000_3199000000,1796869.378566742,14.709,1353636.9940199999,14.991185
2_422400_1032750000_665600000,1987368.114233017,13.2355,1707810.6996000002,15.738817
2_422400_930750000_204000000,2766788.8355255127,13.186,2185056.807,14.303495000000002
2_422400_930750000_2133000000,1759472.727060318,13.893,1316093.40579,13.849739
2_422400_930750000_3199000000,1781061.7830753326,14.752,1321452.2607,14.659006999999999
2_422400_930750000_665600000,1951810.137271881,12.886,1621428.5349,15.379636
2_422400_828750000_204000000,2684882.153511048,12.784,2136998.4645000002,14.013219999999999
2_422400_828750000_2133000000,1790610.106229782,13.4405,1291201.6461,13.559464
2_422400_828750000_3199000000,1779577.5349140167,14.405,1305459.87915,14.332156999999999
2_422400_828750000_665600000,1954893.4528827667,12.884,1561655.55429,15.044091
2_422400_726750000_204000000,2604828.375101089,12.382,2182840.1604,13.722944
2_422400_726750000_2133000000,1818738.5654449463,13.491,1274139.87558,13.269188
2_422400_726750000_3199000000,1756386.8169784546,13.904,1287289.53525,14.005993
2_422400_726750000_665600000,1999920.7372665403,12.484,1564207.63632,14.728344
2_422400_624750000_204000000,2659317.4254894257,11.982,2278538.1177,13.43267
2_422400_624750000_2133000000,1752285.7339382172,13.089,1264201.1337,12.978914000000001
2_422400_624750000_3199000000,1726775.5875587463,13.8985,1266531.0978,13.685718000000001
2_422400_624750000_665600000,1935208.4546089168,12.585,1649777.6037,14.448383
2_422400_522750000_204000000,2725618.4878349304,11.978,2394143.6934,13.142395
2_422400_522750000_2133000000,1827688.2927417755,13.097,1287606.9024,12.68864
2_422400_522750000_3199000000,1766115.226984024,14.101,1267045.0122,13.410224
2_422400_522750000_665600000,1952819.072723389,12.18,1767808.4864999999,14.211245000000002
2_422400_420750000_204000000,2770762.435913086,11.979,2508134.0649,12.852119
2_422400_420750000_2133000000,1831581.0556411743,13.1455,1346121.246,12.398363
2_422400_420750000_3199000000,1767062.1347427368,14.004,1301505.7236,13.195097
2_422400_420750000_665600000,1888787.461042404,12.784,1882016.115,14.015091
2_422400_318750000_204000000,2787423.038959503,12.08,2614991.3733,12.561845
2_422400_318750000_2133000000,1881718.9264297483,12.895,1435736.9451000001,12.11305
2_422400_318750000_3199000000,1814836.1513614652,13.7495,1393107.2142,13.0380625
2_422400_318750000_665600000,1918743.8704967496,12.182,1994442.705,13.874328
2_422400_216750000_204000000,2761157.3164463043,11.678,2719511.2152,12.321028
2_422400_216750000_2133000000,1815951.3058662412,12.7445,1549824.5351999998,11.96514
2_422400_216750000_3199000000,1727607.984304428,14.103,1509545.75949,12.926204
2_422400_216750000_665600000,1955652.161359787,12.181,2110967.481,13.745819
2_422400_114750000_204000000,2906475.6932258606,12.08,2824647.0354,12.163924999999999
2_422400_114750000_2133000000,2166157.578229904,13.294,1679176.0707,11.86641
2_422400_114750000_3199000000,2071642.5902843475,14.002,1662661.1001,12.842452
2_422400_114750000_665600000,2207789.631843567,12.382,2226281.8698,13.640808000000002
2_576000_1300500000_204000000,1646802.20580101,17.911,2259035.3163,12.051985
2_576000_1300500000_2133000000,359359.9193096161,21.649,1264977.6321,15.117407
2_576000_1300500000_3199000000,334495.8908557892,23.0555,1270628.08029,16.242196
2_576000_1300500000_665600000,607366.8293952942,19.8865,1664162.6742000002,17.272576
2_576000_1236750000_204000000,2223131.8242549896,14.5895,2238607.5315,15.289636
2_576000_1236750000_2133000000,1223541.490793228,15.608,1240585.923,14.934474
2_576000_1236750000_3199000000,1197971.6563224792,16.614,1225728.74835,15.988191
2_576000_1236750000_665600000,1357339.9803638458,15.196,1633743.8808000002,16.94655
2_576000_1134750000_204000000,2188313.9972686768,14.09,2169506.0511000003,15.0994795
2_576000_1134750000_2133000000,1228470.9939956665,14.646,1200507.9459,14.641779
2_576000_1134750000_3199000000,1232639.099597931,15.911,1170769.2138,15.612926999999999
2_576000_1134750000_665600000,1337810.1468086245,14.291,1586399.11032,16.492719
2_576000_1032750000_204000000,2213903.3637046814,13.687,2088595.7931,14.806787
2_576000_1032750000_2133000000,1272028.2101631165,14.2985,1132090.1217,14.350378000000001
2_576000_1032750000_3199000000,1203299.7019290924,15.4095,1132815.51,15.267669
2_576000_1032750000_665600000,1384497.9221820831,13.8385,1513058.8677,16.075131
2_576000_930750000_204000000,2197467.5722122192,13.385,2010800.5941,14.514093999999998
2_576000_930750000_2133000000,374671.8249320984,19.438,1085889.2484,14.060103
2_576000_930750000_3199000000,1219476.7735004425,15.207,1105661.3547,14.932274
2_576000_930750000_665600000,1356111.8421554563,13.741,1426185.2958,15.693376
2_576000_828750000_204000000,2247221.8430042267,12.985,1951532.103,14.223583000000001
2_576000_828750000_2133000000,1277321.655035019,14.393,1064598.6875999998,13.769827
2_576000_828750000_3199000000,1195716.696023941,14.506,1095273.3441,14.602772000000002
2_576000_828750000_665600000,1378452.9004096985,12.936,1345109.46921,15.325402
2_576000_726750000_204000000,2256229.974508285,12.5315,1960206.9093000002,13.933308
2_576000_726750000_2133000000,1259483.4685325625,13.489,1048657.9631999999,13.479552
2_576000_726750000_3199000000,1231535.9692573547,14.604,1069764.2463,14.275437
2_576000_726750000_665600000,1430238.1718158722,13.186,1319121.92148,15.005347
2_576000_624750000_204000000,2280303.249597549,12.583,2048589.7140000002,13.643032
2_576000_624750000_2133000000,1251916.5651798248,13.39,1033954.7440500001,13.189276
2_576000_624750000_3199000000,1238176.2747764587,14.103,1057045.42758,13.949036
2_576000_624750000_665600000,1369986.1426353457,12.584,1400833.1232,14.723282999999999
2_576000_522750000_204000000,2252090.049982071,12.181,2159794.3506,13.352758
2_576000_522750000_2133000000,1260064.822435379,13.34,1050251.8637100002,12.899003
2_576000_522750000_3199000000,1201427.2446632383,14.303,1067943.5076000001,13.638745
2_576000_522750000_665600000,1395811.999320984,12.784,1525089.9039,14.500200000000001
2_576000_420750000_204000000,2274180.717945099,12.081,2268673.3995,13.062483
2_576000_420750000_2133000000,1274832.9401016235,12.988,1117685.13858,12.608727
2_576000_420750000_3199000000,1220878.340959549,14.0535,1103917.9845,13.416509
2_576000_420750000_665600000,1383275.4793167114,12.5345,1642540.9137,14.319906000000001
2_576000_318750000_204000000,2301902.424812317,12.182,2372581.9521,12.772208000000001
2_576000_318750000_2133000000,1258773.695230484,13.496,1231672.2903,12.322222
2_576000_318750000_3199000000,1261272.7937698364,13.9535,1190867.2056,13.256782999999999
2_576000_318750000_665600000,1370046.490192413,12.184,1755047.3730000001,14.177476
2_576000_216750000_204000000,2288639.218568802,12.181,2478309.5241,12.517174
2_576000_216750000_2133000000,1341322.805404663,13.398,1363839.50778,12.138710999999999
2_576000_216750000_3199000000,1293350.0263690948,14.4545,1321098.17868,13.150417
2_576000_216750000_665600000,1414270.194530487,12.5815,1870532.2851000002,14.044613
2_576000_114750000_204000000,2517137.6452445984,11.7275,2584029.75,12.358265
2_576000_114750000_2133000000,1820117.67911911,13.398,1505718.97281,12.034169
2_576000_114750000_3199000000,1735366.2767410278,14.002,1509050.6479800001,13.077063
2_576000_114750000_665600000,1818760.9524726868,12.382,1990064.8982999998,13.935925
2_729600_1300500000_204000000,2012645.000457764,15.7525,2103886.7784,12.234162
2_729600_1300500000_2133000000,925765.3901576996,17.016,1076452.6358999999,15.330176
2_729600_1300500000_3199000000,916254.9991607666,17.62,1091816.457,16.577406
2_729600_1300500000_665600000,1115667.681932449,16.004,1490747.0427,17.676988
2_729600_1236750000_204000000,2046634.547472,14.995,2076972.8561999998,15.509537
2_729600_1236750000_2133000000,1005917.2265529633,15.709,1052142.2028,15.146818999999999
2_729600_1236750000_3199000000,953412.5518798828,16.414,1047295.85559,16.313972
2_729600_1236750000_665600000,1102661.1959934237,15.601,1457806.3488,17.334775
2_729600_1134750000_204000000,2037248.519897461,14.5885,2013410.8040999998,15.314568999999999
