powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,1612975.036315918,17.7045,1908125.9418,18.54933
2_268800_1300500000_2133000000,925962.7007446288,18.658,1003815.5907000001,26.101709
2_268800_1300500000_3199000000,875025.6757202148,19.76,698414.886,31.088086
2_268800_1300500000_665600000,1080113.9897460938,18.2065,1635522.6069,19.937354
2_268800_1236750000_204000000,4720339.630126953,14.4435,1936061.556,17.632816
2_268800_1236750000_2133000000,3583204.0883789062,15.046,1016695.2315000001,24.74862
2_268800_1236750000_3199000000,3446842.885986328,16.048,707117.11395,29.738451
2_268800_1236750000_665600000,3801117.63671875,14.544,1657198.6314,18.80331
2_268800_1134750000_204000000,4667541.3330078125,13.5405,1980444.3399,16.505482
2_268800_1134750000_2133000000,3655712.301513672,14.645,1032237.85665,22.625395
2_268800_1134750000_3199000000,3478702.8461914062,15.35,724089.14604,27.630412
2_268800_1134750000_665600000,3832757.039794922,14.143,1697058.9090000002,17.302803
2_268800_1032750000_204000000,4779246.868164063,13.243,2033231.4444,15.667031999999999
2_268800_1032750000_2133000000,3546050.260620117,14.246,1034254.3048500001,20.50638
2_268800_1032750000_3199000000,3466517.59375,14.749,747675.94785,25.55758
2_268800_1032750000_665600000,3761251.407592773,13.341,1737803.457,16.188620999999998
2_268800_930750000_204000000,4702964.018066406,12.843,2053334.7432,15.066094
2_268800_930750000_2133000000,3506710.916870117,13.946,1031378.0451000001,18.557729
2_268800_930750000_3199000000,3552537.958129883,14.798,772673.9748000001,23.656143
2_268800_930750000_665600000,3893759.830444336,12.943,1755257.6964,15.372819
2_268800_828750000_204000000,4648945.973876953,12.842,2052596.5044000002,14.609723
2_268800_828750000_2133000000,3561968.153564453,13.846,1028268.7264200001,17.303432
2_268800_828750000_3199000000,3486305.495239258,14.448,799719.1569899999,21.828736
2_268800_828750000_665600000,3875280.6138916016,12.892,1752240.9606,14.777545
2_268800_726750000_204000000,4770953.9296875,12.441,2046275.4429000001,14.246559
2_268800_726750000_2133000000,3553158.8291015625,13.445,1029023.7040200001,16.489604
2_268800_726750000_3199000000,3484832.0231933594,14.047,828328.8975000001,20.410918000000002
2_268800_726750000_665600000,4050537.9821777344,12.442,1740315.72,14.402033
2_268800_624750000_204000000,4741785.771240234,11.99,2039449.9086000002,14.042888999999999
2_268800_624750000_2133000000,3510456.1564941406,13.345,1033165.9221,16.195154
2_268800_624750000_3199000000,3507468.420654297,14.047,859127.4237,19.561533
2_268800_624750000_665600000,4014491.3793945312,12.541,1724828.8668000002,14.201945
2_268800_522750000_204000000,4658804.038330078,12.04,2035270.8362999998,13.926906
2_268800_522750000_2133000000,3635317.434448242,13.044,1045628.103,16.303476
2_268800_522750000_3199000000,3462935.0048828125,13.947,896008.41135,19.207748
2_268800_522750000_665600000,3869990.665771485,12.141,1709667.1215000001,14.035465
2_268800_420750000_204000000,4713744.114013672,12.038,2032674.0135000001,13.929378
2_268800_420750000_2133000000,3569380.938964844,13.044,1068672.813,16.533623
2_268800_420750000_3199000000,3534043.7944335938,13.646,940675.6105500001,19.104063999999997
2_268800_420750000_665600000,3820335.76953125,12.139,1699977.2322,14.200311
2_268800_318750000_204000000,4652791.768554688,11.94,2030442.9912,14.443808
2_268800_318750000_2133000000,3505733.1479492188,13.145,1099317.3711,16.829832
2_268800_318750000_3199000000,3895920.932861328,13.745,997455.5682,19.219182
2_268800_318750000_665600000,3944931.745361328,12.141,1692788.4948,14.556213
2_268800_216750000_204000000,4654651.866455078,11.537,2033517.3027000001,15.092672
2_268800_216750000_2133000000,3578997.4865722656,13.143,1146298.1322,17.160072
2_268800_216750000_3199000000,3502337.710205078,13.747,1058448.50865,19.419970000000003
2_268800_216750000_665600000,3916211.383544922,12.141,1685890.3776,15.036850000000001
2_268800_114750000_204000000,4581940.1083984375,11.64,2042404.5954,15.802966
2_268800_114750000_2133000000,3543427.1352539062,13.145,1209531.33015,17.5352
2_268800_114750000_3199000000,3578049.90234375,13.847,1120082.06895,19.698121
2_268800_114750000_665600000,3825461.4287109375,12.342,1683362.2416,15.694206
2_422400_1300500000_204000000,1720492.941772461,17.253,1748653.6626,18.640441
2_422400_1300500000_2133000000,927866.427734375,19.06,824072.6247,26.447754
2_422400_1300500000_3199000000,882075.1042175293,19.46,548189.17764,31.524053
2_422400_1300500000_665600000,1076318.4362182615,17.857,1460302.4357999999,20.15041
2_422400_1236750000_204000000,2736471.8564453125,15.551,1776964.4568,17.668127000000002
2_422400_1236750000_2133000000,1850766.2181396484,16.155,835859.0487,25.097463
2_422400_1236750000_3199000000,1781949.7143554688,17.157,557240.68374,30.179984
2_422400_1236750000_665600000,2056397.604736328,15.25,1484220.7380000001,18.926162
2_422400_1134750000_204000000,2655012.045288086,14.846,1832049.5388,16.421447
2_422400_1134750000_2133000000,1868201.6900634768,15.75,856105.3488,22.977666000000003
2_422400_1134750000_3199000000,1810584.1934814453,16.353,570913.25304,28.080863
2_422400_1134750000_665600000,2016894.100830078,14.8505,1524907.8546,17.35113
2_422400_1032750000_204000000,2670881.9143066406,14.445,1893445.4370000002,15.545033
2_422400_1032750000_2133000000,1859387.4688720703,14.95,863506.0629,20.866068
2_422400_1032750000_3199000000,1821323.6315917969,15.951,594293.70585,26.057469
2_422400_1032750000_665600000,2010634.4874267576,14.451,1567957.7394,16.129092
2_422400_930750000_204000000,2704415.986694336,13.445,1912140.2234999998,14.923997
2_422400_930750000_2133000000,1882510.0064697263,14.948,864956.78295,18.922334
2_422400_930750000_3199000000,1788875.6813964844,15.55,621131.9907000001,24.182467
2_422400_930750000_665600000,2007173.5087890625,14.047,1595112.5463,15.300211
2_422400_828750000_204000000,2735812.9451904297,13.445,1912070.0937,14.493646
2_422400_828750000_2133000000,1853847.0146484373,14.547,863329.4397000001,17.555578
2_422400_828750000_3199000000,1799790.8350830078,15.2495,649309.22082,22.333834
2_422400_828750000_665600000,2045081.4432373047,13.646,1594429.8630000001,14.64342
