powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,1965289.8071899412,19.959,4000127.8125,21.116184
2_268800_1300500000_2133000000,1291290.8494262695,19.5545,1797274.375,25.993822
2_268800_1300500000_3199000000,1257339.7979125977,20.762,1478896.8125,31.279611
2_268800_1300500000_665600000,648361.9892272949,26.894,3102541.5625,21.983729
2_268800_1236750000_204000000,6626252.680541992,14.345,4028981.2499999995,20.33688
2_268800_1236750000_2133000000,4915189.479980469,15.45,1839078.125,24.930387
2_268800_1236750000_3199000000,6228046.123535156,16.052,1531645.9375,30.166506000000002
2_268800_1236750000_665600000,5703525.155395508,14.547,3134284.0625,21.185146
2_268800_1134750000_204000000,6620411.109619141,14.045,4078613.7500000005,19.101744
2_268800_1134750000_2133000000,5225058.001586914,15.0975,1909764.8750000002,23.293006000000002
2_268800_1134750000_3199000000,5037032.516723633,15.651,1621422.3749999998,28.406337999999998
2_268800_1134750000_665600000,5490235.746704102,14.146,3186312.28125,19.925296999999997
2_268800_1032750000_204000000,6619693.009399414,13.244,4132337.8125,18.00834
2_268800_1032750000_2133000000,4917788.076416016,14.497,1991296.25,21.821053
2_268800_1032750000_3199000000,4913941.86340332,15.2995,1704660.9375,26.673986
2_268800_1032750000_665600000,5398396.219970703,13.745,3237900.6250000005,18.68549
2_268800_930750000_204000000,6629485.974975586,13.243,4185018.4375,17.190717
2_268800_930750000_2133000000,5054405.099121094,14.348,2077984.8125,20.510709
2_268800_930750000_3199000000,4910085.930175781,14.947,1797657.8125,24.972918
2_268800_930750000_665600000,5519692.006958008,13.341,3288178.75,17.57535
2_268800_828750000_204000000,6612553.363891602,12.842,4222379.375,17.16778
2_268800_828750000_2133000000,5189474.142822266,13.8955,2170624.53125,19.391328
2_268800_828750000_3199000000,4986867.684692383,14.8975,1892634.0625000002,23.359066
2_268800_828750000_665600000,5458728.060791016,12.943,3337969.6875,16.803293
2_268800_726750000_204000000,6658429.962768555,12.439,4254810.625,17.476824
2_268800_726750000_2133000000,5118493.260498047,13.543,2266040.9375,18.362509999999997
2_268800_726750000_3199000000,5010721.009155273,14.047,1989056.40625,21.790559000000002
2_268800_726750000_665600000,5452495.186645508,12.941,3372914.0625,16.905373
2_268800_624750000_204000000,6654361.7666015625,12.4395,4287140.9375,17.807678
2_268800_624750000_2133000000,5080190.408325195,13.544,2355237.0,17.37058
2_268800_624750000_3199000000,4956095.771850586,14.146,2079808.625,20.301463
2_268800_624750000_665600000,5415083.703491211,12.542,3391009.375,17.2431
2_268800_522750000_204000000,6683539.454223633,11.9895,4310049.0625,18.173326
2_268800_522750000_2133000000,5229132.330444336,13.544,2435731.25,16.652967
2_268800_522750000_3199000000,4971833.578186035,14.146,2173675.3125,19.061092000000002
2_268800_522750000_665600000,5373880.311035156,12.542,3363088.125,17.632582
2_268800_420750000_204000000,6536749.900878906,12.041,4284325.9375,18.577273
2_268800_420750000_2133000000,5214505.994262695,13.145,2489644.8125,16.674635
2_268800_420750000_3199000000,5320181.199829102,13.996,2256961.25,18.053896
2_268800_420750000_665600000,5503011.783203125,12.191,3293246.875,18.033293
2_268800_318750000_204000000,6603246.458740234,12.14,4216916.25,19.003438
2_268800_318750000_2133000000,5068525.540771484,13.145,2522313.125,16.985813999999998
2_268800_318750000_3199000000,5030095.380737305,13.995,2334366.875,17.198412
2_268800_318750000_665600000,5457897.0861206055,12.139,3214482.4999999995,18.452756
2_268800_216750000_204000000,6705161.524780273,12.238,4148840.6249999995,19.464620999999998
2_268800_216750000_2133000000,5079049.895324707,13.1955,2533303.4375,17.350799
2_268800_216750000_3199000000,4966226.32019043,13.946,2402338.4375,16.943831999999997
2_268800_216750000_665600000,5484040.689086914,12.139,3138057.8125,18.89803
2_268800_114750000_204000000,6722715.903076172,11.839,4107639.0625,19.96131
2_268800_114750000_2133000000,5121417.354248047,13.346,2549543.5625,17.73215
2_268800_114750000_3199000000,5144345.700317383,13.948,2430468.75,17.134178
2_268800_114750000_665600000,5454804.181640625,12.342,3068855.9375,19.382261999999997
2_422400_1300500000_204000000,2412465.878112793,18.157,3660761.25,20.63597
2_422400_1300500000_2133000000,1371009.3510742188,19.5595,1450409.21875,26.314652
2_422400_1300500000_3199000000,1271331.5573425293,20.262,1189002.59375,31.809143
2_422400_1300500000_665600000,1570195.1371154785,19.358,2750030.53125,21.530053
2_422400_1236750000_204000000,3845758.460205078,15.595,3679877.8125,19.855521
2_422400_1236750000_2133000000,2684984.663513184,16.3475,1493069.46875,25.206906
2_422400_1236750000_3199000000,2509892.949005127,17.15,1222410.1875,30.695467
2_422400_1236750000_665600000,2886315.2142333984,15.747,2775709.375,20.735046999999998
2_422400_1134750000_204000000,3889468.70111084,14.843,3721408.75,18.638548999999998
2_422400_1134750000_2133000000,2714925.400695801,15.747,1564161.875,23.46869
2_422400_1134750000_3199000000,2493133.758911133,16.95,1299651.625,28.913580000000003
2_422400_1134750000_665600000,2870992.6067504883,15.447,2819353.28125,19.471115
2_422400_1032750000_204000000,3798822.880004883,14.442,3771888.1250000005,17.526588
2_422400_1032750000_2133000000,2683949.145568848,15.5485,1644039.0625,21.801861000000002
2_422400_1032750000_3199000000,2563848.198852539,16.549,1379440.9375,27.144787
2_422400_1032750000_665600000,2916064.169189453,14.448,2871124.375,18.239138999999998
2_422400_930750000_204000000,3821288.024658203,14.043,3815284.6875,16.666023000000003
2_422400_930750000_2133000000,2686433.329223633,15.346,1730764.5937499998,20.332543
2_422400_930750000_3199000000,2506356.998901367,16.049,1460836.03125,25.418988000000002
2_422400_930750000_665600000,2909167.9619140625,14.545,2923512.1875,17.081701000000002
2_422400_828750000_204000000,3882337.196411133,13.6435,3848793.4375,16.707084
2_422400_828750000_2133000000,2625147.08833313,15.149,1821756.8750000002,19.123102
2_422400_828750000_3199000000,2461787.9663238525,15.599,1548937.125,23.79886
2_422400_828750000_665600000,3045301.4756469727,14.147,2965462.6875,16.1900205
2_422400_726750000_204000000,3928494.736633301,13.24,3879548.125,16.986473
2_422400_726750000_2133000000,2588844.547973633,14.647,1915896.875,18.024217
2_422400_726750000_3199000000,2472806.563018799,15.35,1643820.3125,22.22316
2_422400_726750000_665600000,2939399.923217773,13.243,2991362.0,16.451918000000003
2_422400_624750000_204000000,3861683.303222656,13.244,3910647.1874999995,17.329574
2_422400_624750000_2133000000,2636836.797363281,14.2485,2005762.1874999998,17.018398
2_422400_624750000_3199000000,2499768.2263793945,15.1505,1733943.0,20.681814
2_422400_624750000_665600000,2873654.4889526367,13.746,3007918.125,16.816063999999997
2_422400_522750000_204000000,3816608.415161133,13.242,3933308.125,17.725831999999997
2_422400_522750000_2133000000,2620173.871826172,14.449,2090141.09375,16.26233
2_422400_522750000_3199000000,2635387.0285339355,14.95,1834695.9375,19.226294999999997
2_422400_522750000_665600000,2887734.276245117,13.395,3004276.875,17.195646
2_422400_420750000_204000000,3930025.3670654297,12.843,3933746.25,18.156084
2_422400_420750000_2133000000,2671700.5701904297,13.948,2135908.75,16.318678
2_422400_420750000_3199000000,2607649.2763671875,15.05,1921856.125,18.013441
