powermode,predicted_time,predicted_power,observed_time,observed_power
8_1651200_828750000_3199000000,5398.200204,33.707465,5112.190144775391,40.316
12_268800_624750000_3199000000,9767.414892,26.465113,7589.860098999024,30.3905
4_422400_624750000_3199000000,9338.933070000001,26.099645,7339.556615356445,30.704
2_1497600_726750000_3199000000,7096.605647999999,30.13539,6025.926760742188,35.103
8_2201600_1032750000_3199000000,5445.355284,39.901348,4390.580842285156,47.4815
2_883200_522750000_665600000,26077.68342,12.1081045,18187.03869580078,11.338
10_576000_930750000_665600000,18464.505828,18.863207,17237.36755078125,22.084
6_1344000_1032750000_3199000000,5186.1171,38.814383,4712.410208007813,45.011
6_1958400_522750000_2133000000,8400.508872000002,21.47427,7830.795444946289,28.103
2_1958400_624750000_665600000,18516.941874,16.991734,17271.058958007812,20.178
10_1804800_420750000_3199000000,9116.187294,23.618086,9482.243350585937,27.157
2_1958400_930750000_2133000000,7167.011958000001,30.47386,6003.615052856445,35.724
4_1958400_420750000_2133000000,11959.13229,20.597047,9606.904944580077,25.299
6_268800_1134750000_665600000,18772.22667,20.110848,17227.641685791015,23.29
10_2201600_726750000_2133000000,6488.618723999999,22.878498,6501.846129638672,33.017
2_1804800_522750000_665600000,21642.04209,15.045542,17452.101249267576,19.682
10_1958400_420750000_2133000000,10727.053619999999,25.476914,9588.419812988279,25.8
4_2112000_1134750000_3199000000,5369.790647999999,42.435746,4251.702397827148,50.365
10_1344000_726750000_2133000000,5302.7565,22.3936,6894.866695068359,31.118
2_1190400_522750000_3199000000,11528.69874,24.208002,7764.248678588867,29.115
12_1036800_522750000_3199000000,9327.57792,25.14357,7702.503046142579,29.51
6_268800_318750000_3199000000,22353.043548,18.059594,13112.14907446289,23.494
6_268800_522750000_665600000,19950.317460000002,16.46839,17464.664105957032,19.278
