powermode,predicted_time,predicted_power,observed_time,observed_power
2_1804800_216750000_2133000000,95.17683087,18.110502,95.45001985549928,17.874
8_2201600_1032750000_3199000000,28.708060905,31.585545,25.88584457206726,29.491
4_422400_624750000_3199000000,87.12583316999999,20.16699,88.1177327003479,18.009
6_268800_216750000_665600000,132.331519935,14.365911,132.88199339675904,15.564
2_883200_522750000_665600000,113.279012865,15.563416,110.96274631118774,15.96
12_1344000_522750000_665600000,101.253690225,16.352916,99.05108714675903,16.8635
4_1958400_114750000_665600000,179.03513024999998,15.373967,178.53715657043458,14.962
2_729600_114750000_665600000,183.0447018,15.941122,191.7884687576294,14.45
10_1958400_420750000_2133000000,55.053797984999996,20.010217,51.85225266265869,21.438
12_1190400_318750000_204000000,317.29928715,14.48733,313.0585522155762,14.148
4_2112000_1134750000_3199000000,31.270446765,30.488084,25.997438406944276,21.862
8_1651200_216750000_204000000,310.7918835,13.049799,314.7957865905762,13.747
6_268800_522750000_665600000,125.32894479,13.87159,139.0998187599182,15.454
2_883200_420750000_2133000000,84.219419925,17.271379,63.82426257896423,18.476
2_576000_318750000_204000000,238.9890447,15.850743,356.16877305603026,13.346
