powermode,predicted_time,predicted_power,observed_time,observed_power
8_2201600_1032750000_3199000000,31.69575387,29.552828,25.88584457206726,29.491
12_1344000_522750000_665600000,97.316250525,17.136951,99.05108714675903,16.8635
2_883200_522750000_665600000,103.49846415,16.230773,110.96274631118774,15.96
12_1190400_318750000_204000000,301.48809120000004,13.926177,313.0585522155762,14.148
10_1958400_420750000_2133000000,50.01933681,21.766701,51.85225266265869,21.438
2_883200_420750000_2133000000,58.466531835000005,18.671275,63.82426257896423,18.476
2_729600_114750000_665600000,196.5079062,14.034441,191.7884687576294,14.45
4_422400_624750000_3199000000,48.477296475,23.087076,88.1177327003479,18.009
2_1804800_216750000_2133000000,99.585932085,17.938293,95.45001985549928,17.874
6_268800_522750000_665600000,125.52826094999999,16.070852000000002,139.0998187599182,15.454
4_2112000_1134750000_3199000000,30.90401559,32.205623,25.997438406944276,21.862
2_576000_318750000_204000000,323.29020104999995,13.412828,356.16877305603026,13.346
8_1651200_216750000_204000000,312.128262,13.835521,314.7957865905762,13.747
4_1958400_114750000_665600000,189.350753625,15.476551,178.53715657043458,14.962
6_268800_216750000_665600000,150.73696552500002,14.705561,132.88199339675904,15.564
