powermode,predicted_time,predicted_power,observed_time,observed_power
2_1497600_726750000_3199000000,677.260875,23.66019,703.0371588287353,22.569
4_729600_216750000_2133000000,1407.50875,16.57354,1356.703353515625,17.031
12_268800_216750000_204000000,3240.358125,14.139416,3097.093781860352,14.103
12_1190400_114750000_204000000,3573.5515625,13.943926,3542.9843846435547,13.995
6_268800_216750000_665600000,1862.186875,15.001446,1740.7476884155271,15.213
10_2201600_726750000_2133000000,478.594625,26.851182,480.5824966125488,27.4935
2_1190400_522750000_3199000000,905.36,19.706473000000003,912.4952604217528,20.053
10_1344000_726750000_665600000,938.901875,17.569305,925.3155915527344,19.647
2_576000_318750000_204000000,3974.0440625,14.490856,3924.223155395508,13.3
10_1958400_420750000_2133000000,716.95746875,21.5455,716.0193585968018,21.759
2_1804800_522750000_665600000,1217.62334375,16.71649,1125.819135223389,17.7335
6_1958400_522750000_2133000000,596.8904375,20.862805,617.1074477996826,22.67
8_2201600_1032750000_3199000000,357.23909375,35.882473,339.40103993225097,35.852
2_883200_522750000_665600000,1828.48015625,15.480887,1584.908283935547,16.223
6_1344000_1032750000_3199000000,427.20537500000006,30.171025,394.4455830612183,31.323
2_1344000_522750000_3199000000,816.3759375,20.347004,804.4648336639405,20.56
10_1344000_726750000_2133000000,521.71340625,22.186227,495.7616295013428,24.78
12_1344000_522750000_665600000,1063.56171875,17.355309000000002,1006.1081126708984,18.238
8_1651200_828750000_3199000000,434.04159375000006,29.498152,401.8467661895752,29.8645
12_1497600_318750000_665600000,1344.6875625,16.332191,1182.5034265136721,17.532
6_883200_114750000_204000000,3538.14875,13.910971,3614.47584362793,13.803
8_1190400_624750000_204000000,2630.1048125,14.462144,2673.393189941406,15.113
12_1036800_522750000_3199000000,955.5011875,23.75393,596.7974568023682,23.371
6_268800_522750000_665600000,1458.63446875,14.991292,1667.132465759277,15.5665
4_1958400_420750000_2133000000,856.717875,18.939324,717.9135125732422,21.563
4_1497600_318750000_665600000,1311.13759375,15.215086,1196.3993925476075,17.13
2_729600_114750000_665600000,2570.6321875,15.398898,2674.8533912963867,14.108
