powermode,predicted_time,predicted_power,observed_time,observed_power
12_1344000_522750000_665600000,306.66216087000004,18.07528,298.99756997680663,19.244
6_268800_216750000_665600000,582.92443872,15.632132,598.2497406616211,15.618
6_268800_522750000_665600000,414.64059546,15.778191,397.2647151184082,16.928
10_1344000_930750000_665600000,296.40372957000005,19.307830000000003,280.1175938873291,22.257
10_576000_624750000_3199000000,157.14134358,27.265299,156.41745894622804,26.996
8_1651200_828750000_3199000000,112.22951259,34.869305,108.89422135162353,33.582
8_883200_726750000_3199000000,144.442272585,28.034834,130.3460959625244,29.916
4_1497600_318750000_665600000,366.90966195,14.924974,341.3142310180664,18.23
4_1958400_114750000_665600000,681.1651197,16.641096,679.7987460327148,15.614
12_1190400_114750000_204000000,1048.70104365,14.40139,1033.0127514038086,14.1535
10_422400_216750000_204000000,950.9758167,14.531556,932.6216759033205,14.208
2_729600_114750000_665600000,728.8054761,15.503453,736.2571530456543,14.711
10_1344000_726750000_2133000000,139.97765223000002,24.562701,136.422572013855,28.0
6_1958400_522750000_2133000000,170.10505356,21.473611,168.17318252563476,24.884
2_883200_522750000_665600000,600.82938474,15.310356,584.0907915344238,16.017
6_1344000_1032750000_3199000000,119.43845199000002,35.35329,99.91080939483643,37.153
12_1497600_318750000_665600000,339.89944364999997,17.019436000000002,338.29182928466804,18.238
10_1344000_726750000_665600000,294.64754085,17.128115,284.8852435913086,20.553
8_2201600_1032750000_3199000000,98.89711611,43.669055,93.16519036102297,41.29
2_1497600_726750000_3199000000,249.29018361,26.12779,255.44031608581543,22.4675
4_1958400_420750000_2133000000,218.900214,19.041432,198.28646730041504,23.268
2_576000_318750000_204000000,1133.1596172,16.091119,1429.8763145751952,13.099
10_1958400_420750000_2133000000,240.41792697,21.854357,196.6864559020996,23.9215
12_1190400_318750000_204000000,941.6834739,14.361345,893.5872967529297,14.707
