powermode,observed_time,observed_power,predicted_time,predicted_power
2_268800_1300500000_204000000,1638639.6372070312,17.7045,3405467.013,13.686851
2_268800_1300500000_2133000000,950404.6065063477,18.658,3637072.842,16.756154
2_268800_1300500000_3199000000,875025.6757202148,19.76,4117128.6389999995,18.56681
2_268800_1300500000_665600000,1087731.4193725586,18.2065,3375393.45,14.268524
2_268800_1236750000_204000000,4720339.630126953,14.4435,3488921.0421,13.527113
2_268800_1236750000_2133000000,3583204.0883789062,15.046,3685618.248,16.467513999999998
2_268800_1236750000_3199000000,3446842.885986328,16.048,4149271.7526,18.111256
2_268800_1236750000_665600000,3801117.63671875,14.544,3456819.9198,14.094014999999999
2_268800_1134750000_204000000,4667541.3330078125,13.5405,3540884.9151000003,13.275326
2_268800_1134750000_2133000000,3655712.301513672,14.645,3735381.2574,16.084241
2_268800_1134750000_3199000000,3478702.8461914062,15.35,4200882.9564000005,17.550893
2_268800_1134750000_665600000,3832757.039794922,14.143,3509089.9974,13.846642
2_268800_1032750000_204000000,4779246.868164063,13.243,3593196.4068,13.042213
2_268800_1032750000_2133000000,3546050.260620117,14.246,3787255.9529999997,15.8863545
2_268800_1032750000_3199000000,3466517.59375,14.749,4256074.243199999,17.190586
2_268800_1032750000_665600000,3761251.407592773,13.341,3561214.7649000003,13.611319
2_268800_930750000_204000000,4702964.018066406,12.843,3649392.0215999996,12.976458000000001
2_268800_930750000_2133000000,3506710.916870117,13.946,3840230.9361000005,15.866657
2_268800_930750000_3199000000,3552537.958129883,14.798,4312449.5115,17.006707
2_268800_930750000_665600000,3893759.830444336,12.943,3613649.6331,13.403199
2_268800_828750000_204000000,4648945.973876953,12.842,3717454.4355,13.043635
2_268800_828750000_2133000000,3561968.153564453,13.846,3893499.7139999997,15.721669
2_268800_828750000_3199000000,3486305.495239258,14.448,4368398.229,16.980379
2_268800_828750000_665600000,3875280.6138916016,12.892,3666277.719,13.427461
2_268800_726750000_204000000,4770953.9296875,12.441,3803158.2459,12.956058
2_268800_726750000_2133000000,3553158.8291015625,13.445,3947926.4994,15.626563
2_268800_726750000_3199000000,3484832.0231933594,14.047,4425307.9845,17.185512
2_268800_726750000_665600000,4050537.9821777344,12.442,3719842.6005,13.539346
2_268800_624750000_204000000,4741785.771240234,11.99,3916898.3919,12.788502000000001
2_268800_624750000_2133000000,3510456.1564941406,13.345,4003800.4695,15.672812
2_268800_624750000_3199000000,3507468.420654297,14.047,4484410.378500001,17.487812
2_268800_624750000_665600000,4014491.3793945312,12.541,3774192.474,13.46134
2_268800_522750000_204000000,4658804.038330078,12.04,4035067.6821000003,12.521941
2_268800_522750000_2133000000,3635317.434448242,13.044,4066912.9605,15.78667
2_268800_522750000_3199000000,3462935.0048828125,13.947,4545852.3084,17.469436
2_268800_522750000_665600000,3869990.665771485,12.141,3840741.0365999998,13.257611
2_268800_420750000_204000000,4713744.114013672,12.038,4158221.5272,12.253268
2_268800_420750000_2133000000,3569380.938964844,13.044,4130980.2846,15.611130999999999
2_268800_420750000_3199000000,3534043.7944335938,13.646,4611006.5001,17.276986
2_268800_420750000_665600000,3820335.76953125,12.139,3940938.3389999997,13.03267
