powermode,observed_time,observed_power
12_268800_216750000_665600000,780.6290864868164,15.152
8_1651200_522750000_665600000,461.5516829223633,18.969
10_1036800_726750000_2133000000,251.69667665100096,23.486
10_1651200_1236750000_2133000000,177.36672718811036,34.497
12_1036800_726750000_3199000000,233.35618110656736,25.982
8_1804800_828750000_2133000000,209.1744205932617,27.4335
6_576000_420750000_665600000,511.7223649902344,17.0605
6_1497600_420750000_204000000,1239.0269279174804,15.1495
4_1804800_1300500000_3199000000,161.88373363494873,38.609
8_1497600_726750000_2133000000,234.27405613708495,24.673
2_729600_114750000_204000000,1791.8186400146485,13.145
6_1651200_216750000_204000000,1352.2818471069336,14.549
4_1651200_318750000_2133000000,423.98886065673827,19.177
8_1497600_1032750000_2133000000,200.71014511108402,29.189
8_2201600_1300500000_2133000000,169.70796946716308,37.811
2_1651200_624750000_2133000000,399.3852071685791,19.864
6_729600_624750000_2133000000,304.35350497436525,21.569
