Error1,Error2,Error3,Error4,Power_target,p1,p11,p1-t,p11-t,p11-p1,obs_pwd,pred_pwd
-0.606666666666662,8.093333333333325,8.753102153061896,-9.828273153305062,15,14.909,16.214,-0.0909999999999993,1.2139999999999986,1.304999999999998,6_1036800_522750000_2133000000,12_1344000_726750000_2133000000
-0.8718749999999997,12.006249999999996,12.991393713943438,18.53139510154725,16,15.8605,17.921,-0.13949999999999996,1.9209999999999994,2.0604999999999993,6_1344000_726750000_2133000000,12_883200_1300500000_2133000000
-0.4764705882352913,12.255882352941182,12.79330929723979,7.888808012008674,17,16.919,19.0835,-0.08099999999999952,2.083500000000001,2.1645000000000003,4_1804800_726750000_2133000000,8_1344000_1300500000_2133000000
-0.9749999999999974,4.586111111111121,5.615865802687319,23.998293924331666,18,17.8245,18.8255,-0.17549999999999955,0.8255000000000017,1.0010000000000012,6_1958400_726750000_2133000000,12_883200_1300500000_3199000000
-0.8684210526315744,1.210526315789476,2.097159543403236,19.144028043746946,19,18.835,19.23,-0.16499999999999915,0.23000000000000043,0.3949999999999996,10_1958400_726750000_3199000000,10_1036800_1300500000_3199000000
-1.3199999999999967,-3.849999999999998,-2.563842723956223,21.332450938224788,20,19.736,19.23,-0.26399999999999935,-0.7699999999999996,-0.5060000000000002,4_1958400_930750000_3199000000,10_1036800_1300500000_3199000000
-1.2238095238095306,-8.428571428571427,-7.294026900641172,23.393462300300595,21,20.743,19.23,-0.25700000000000145,-1.7699999999999996,-1.5129999999999981,4_2201600_930750000_3199000000,10_1036800_1300500000_3199000000
-2.0636363636363666,-12.590909090909088,-10.74909495962127,24.694402503967282,22,21.546,19.23,-0.4540000000000006,-2.7699999999999996,-2.315999999999999,6_2201600_1032750000_3199000000,10_1036800_1300500000_3199000000
-3.2782608695652233,-16.391304347826086,-13.55749348197428,24.930113196372982,23,22.246,19.23,-0.7540000000000013,-3.7699999999999996,-3.0159999999999982,6_2201600_1134750000_3199000000,10_1036800_1300500000_3199000000
-1.824999999999995,-19.875,-18.38553603259486,25.209530711174015,24,23.562,19.23,-0.43799999999999883,-4.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-5.751999999999995,-23.08,-18.38553603259486,25.209530711174015,25,23.562,19.23,-1.4379999999999988,-5.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-9.376923076923074,-26.038461538461537,-18.38553603259486,25.209530711174015,26,23.562,19.23,-2.437999999999999,-6.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-12.73333333333333,-28.777777777777775,-18.38553603259486,25.209530711174015,27,23.562,19.23,-3.437999999999999,-7.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-15.849999999999994,-31.321428571428573,-18.38553603259486,25.209530711174015,28,23.562,19.23,-4.437999999999999,-8.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-18.75172413793103,-33.689655172413794,-18.38553603259486,25.209530711174015,29,23.562,19.23,-5.437999999999999,-9.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-21.459999999999997,-35.9,-18.38553603259486,25.209530711174015,30,23.562,19.23,-6.437999999999999,-10.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-23.99354838709677,-37.967741935483865,-18.38553603259486,25.209530711174015,31,23.562,19.23,-7.437999999999999,-11.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-26.368749999999995,-39.90625,-18.38553603259486,25.209530711174015,32,23.562,19.23,-8.437999999999999,-12.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-28.599999999999998,-41.72727272727273,-18.38553603259486,25.209530711174015,33,23.562,19.23,-9.437999999999999,-13.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
-30.699999999999996,-43.44117647058823,-18.38553603259486,25.209530711174015,34,23.562,19.23,-10.437999999999999,-14.77,-4.332000000000001,4_2201600_1300500000_3199000000,10_1036800_1300500000_3199000000
