powermode,predicted_time,predicted_power,observed_time,observed_power
2_268800_522750000_204000000,3342.1816559999997,12.714904,4276.747107505798,11.374
2_268800_420750000_204000000,3365.1543174,12.46723,4243.564076662064,11.375
2_576000_318750000_665600000,1484.9425296,14.545495,1370.046490192413,12.184
2_1651200_522750000_2133000000,546.88782312,14.677366,512.8188745975494,15.311
2_1804800_726750000_2133000000,455.85743709,15.397766,442.0802707672119,16.214
4_268800_318750000_665600000,1858.6550481,14.13683,2160.247305870056,11.477
4_268800_216750000_204000000,2744.4215277,12.609311,2505.258846759796,11.475
4_422400_420750000_665600000,1388.3275601999999,14.542262,1377.2520060539246,12.182
4_883200_522750000_2133000000,777.3538299,13.447776,685.4841551780701,14.204
4_1190400_522750000_2133000000,608.59737636,13.918838,545.3667159080505,15.008
4_1497600_522750000_2133000000,595.22534868,14.43582,491.7497537136078,15.6165
4_1651200_624750000_2133000000,550.9158616799999,14.920638,431.3023555278778,16.419
4_1804800_828750000_3199000000,383.52120315,18.038068,360.20170044898987,18.428
4_1804800_726750000_2133000000,437.35509636,15.467077,390.4484825134277,16.919
4_1958400_930750000_3199000000,375.48552318000003,18.970898,323.21087884902954,19.736
4_2112000_828750000_2133000000,392.59471512,16.643178,354.64318585395813,18.7295
4_2201600_1300500000_3199000000,338.70200622,21.837367,284.4400811195373,23.562
4_2201600_930750000_3199000000,369.81906987,19.756627,302.6007652282715,20.743
4_2201600_828750000_3199000000,374.50375599,19.28598,316.15478467941284,20.445
6_268800_522750000_665600000,1657.8650346,14.463081,1832.793670892716,12.08
6_268800_420750000_665600000,1670.8026108,14.316433000000002,1848.1176595687864,11.981
6_883200_522750000_2133000000,762.3056410199999,13.4548545,647.3080632686615,14.406
6_1036800_522750000_2133000000,662.146194,13.664852000000002,562.5013387203217,14.909
6_1190400_420750000_665600000,723.439239,16.082787,745.9643292427063,14.001
6_1190400_318750000_665600000,764.2668309000001,15.882163,793.001012802124,13.497
6_1344000_726750000_2133000000,596.42621721,14.613496,457.7364957332611,15.8605
6_1344000_522750000_2133000000,604.7166349199999,14.195047,503.5928449630737,15.4635
6_1497600_726750000_2133000000,537.90524649,14.906111,428.9835388660431,16.717
6_1651200_930750000_2133000000,408.46191600000003,15.9042,390.1345555782318,17.021
6_1651200_828750000_3199000000,390.90492456000004,17.72019,375.1317405700684,17.824
6_1651200_726750000_2133000000,466.45132605,15.217892,408.1276669502258,16.72
6_1804800_930750000_2133000000,401.60012718,16.347902,366.6373672485352,18.373
6_1804800_930750000_3199000000,378.79864554,18.65547,342.35246562957764,19.232
6_1804800_828750000_3199000000,380.64201648,18.195164,350.3770813941956,18.7795
6_1804800_726750000_2133000000,425.69503821,15.580791,381.5453913211823,17.317
6_1958400_1032750000_3199000000,357.25331574,19.676664,321.3261206150055,20.042
6_1958400_930750000_3199000000,373.4785374,19.150367,318.06046628952026,20.086
6_1958400_828750000_2133000000,397.81021167,16.371355,362.14986848831177,18.4265
6_1958400_828750000_3199000000,372.95150943,18.681291,330.6598870754242,19.434
6_1958400_726750000_2133000000,407.73755927999997,15.9928955,369.84253573417664,17.8245
6_2112000_828750000_3199000000,370.12252632,19.171402,317.5560119152069,20.0955
6_2201600_1134750000_3199000000,346.5694605,21.099766,287.2342562675476,22.246
6_2201600_1032750000_3199000000,352.51831665,20.539115,289.5913631916046,21.546
6_2201600_930750000_3199000000,361.84398741,19.97887,298.4366843700409,21.247
8_268800_216750000_665600000,1501.31864328,14.137606,1932.5092458724976,11.677
8_422400_522750000_665600000,1330.3555776,14.795498,1279.4906175136566,12.534
8_729600_522750000_2133000000,805.1283399,13.35315,733.8602633476257,14.202
8_729600_522750000_665600000,920.6406826499999,15.39348,861.3423418998718,13.188
8_883200_522750000_665600000,798.25517244,15.708858,816.2014491558075,13.39
8_1036800_522750000_2133000000,616.0516672199999,13.686127,585.7055215835571,14.806
8_1036800_522750000_665600000,738.0370806899999,16.064117,758.7145919799805,13.7965
8_1190400_624750000_2133000000,606.46827339,14.166803,510.1768572330475,15.4115
8_1958400_828750000_3199000000,376.24428152999997,18.856023,333.8628251552582,19.338
8_1958400_726750000_2133000000,404.73005031,16.122066999999998,376.6112496852875,17.723
8_2112000_930750000_3199000000,357.74658291,19.921385,308.21462512016296,20.645
8_2112000_828750000_2133000000,387.32416971,16.968982,344.740421295166,19.131
8_2201600_930750000_3199000000,356.58214791,20.239787,296.81065487861633,21.25
8_2201600_828750000_3199000000,371.4316326,19.683578,317.3675172328949,20.344
10_729600_624750000_2133000000,779.0798508,13.647787,744.2974302768707,14.002
10_729600_318750000_665600000,892.94321292,15.18569,926.03915309906,12.582
10_883200_624750000_2133000000,635.65718898,13.822788,637.0597653388977,14.604
10_883200_624750000_665600000,815.0490135000001,16.028713,780.789261341095,13.79
10_1036800_522750000_2133000000,617.2278247200001,13.775694,571.1809105873108,14.907
10_1036800_522750000_665600000,753.77639691,16.204862,755.8887407779694,14.0
10_1344000_624750000_2133000000,540.332226,14.516763999999998,476.44212341308594,15.816
10_1804800_726750000_3199000000,377.53247487,18.092443,357.4628403186798,18.4785
10_1958400_1032750000_3199000000,345.43342521,20.202492,313.7752103805542,20.5375
10_1958400_726750000_3199000000,373.72089617999995,18.585922,345.095107793808,18.835
12_268800_216750000_665600000,1549.0900815,14.192823,1871.2072477340696,11.978
12_883200_624750000_2133000000,637.8864020999999,13.879624,626.3165235519409,14.803
12_883200_420750000_2133000000,701.55356595,13.502005,650.2557048797607,14.404
12_1804800_522750000_2133000000,439.04185470000004,15.359171,434.0598893165589,16.366
12_1958400_828750000_2133000000,371.93082354,16.847502,356.5056788921356,18.5825
