powermode,observed_time,observed_power
12_268800_114750000_2133000000,1551.5243854064938,16.055
12_1497600_1300500000_3199000000,188.710130443573,47.8965
12_883200_726750000_3199000000,285.6771873855591,29.681
12_1190400_1134750000_3199000000,207.9399490203857,36.5965
12_883200_726750000_2133000000,321.6940923461914,27.494
12_883200_624750000_2133000000,342.41787310791017,25.9885
12_422400_420750000_2133000000,540.9492292327881,20.381
12_883200_930750000_3199000000,248.45661282348635,33.438
12_576000_522750000_2133000000,408.17090940094,23.587
12_729600_726750000_2133000000,329.27266054534914,27.392
12_422400_216750000_2133000000,843.0431196594238,18.274
12_268800_114750000_3199000000,1542.590159362793,16.866
12_1344000_1300500000_3199000000,192.5169535865784,43.924
12_268800_318750000_3199000000,777.798002960205,19.476
12_422400_522750000_2133000000,520.0484016723633,20.666
12_883200_828750000_3199000000,255.10724072265626,31.985
12_268800_216750000_2133000000,891.652658203125,18.073
12_1344000_1134750000_3199000000,206.35008351135252,41.808
12_1036800_726750000_2133000000,307.9953426513672,28.095
12_1190400_930750000_3199000000,229.55884220123292,35.099
12_576000_624750000_2133000000,400.1977962265015,24.0795
12_422400_216750000_3199000000,834.9640586242675,19.078
12_883200_828750000_2133000000,297.8147328720093,29.291
12_1036800_828750000_3199000000,247.38533912658693,33.698
