powermode,observed_time,observed_power
2_1497600_624750000_2133000000,655.5411468963623,19.663
6_729600_624750000_3199000000,338.06162113952644,27.2335
6_1651200_624750000_3199000000,298.804420211792,29.285
2_1344000_216750000_665600000,969.7339910278321,16.4575
8_1804800_318750000_3199000000,539.2236530151367,22.986
8_1804800_1134750000_2133000000,249.90115434265138,37.051
4_1651200_1032750000_3199000000,239.77922663879397,37.203
12_883200_114750000_204000000,2262.30519909668,13.796
4_576000_318750000_665600000,827.5569963989258,17.4645
10_1190400_114750000_204000000,2255.796135559082,14.147
8_268800_828750000_2133000000,795.4641908874512,17.7045
12_883200_828750000_3199000000,255.10724072265626,31.985
8_729600_522750000_204000000,1938.1178363647462,14.747
12_729600_624750000_3199000000,318.8276524963379,28.284
10_1190400_828750000_2133000000,286.6822469024658,29.804
4_729600_114750000_665600000,1494.618425933838,15.152
10_729600_624750000_2133000000,344.70671533966066,25.49
12_1344000_1236750000_3199000000,197.79597602844242,45.0265
6_1651200_930750000_2133000000,272.7657233428955,30.9365
10_729600_522750000_2133000000,377.5491091766357,23.988
6_576000_216750000_665600000,922.6726587524414,16.8585
4_1344000_114750000_2133000000,1462.0388595886232,16.159
2_422400_318750000_665600000,2954.378523132324,13.443
10_268800_114750000_665600000,1553.7422984313964,15.148
12_1036800_216750000_665600000,895.1381347351074,17.46
