powermode,observed_time,observed_power
2_1497600_624750000_2133000000,523.6340065002441,15.3615
8_1804800_1134750000_2133000000,363.60396099090576,19.331
4_1651200_1032750000_3199000000,375.4393401145935,19.236
2_2201600_930750000_3199000000,332.8202826976776,20.238
8_2201600_726750000_3199000000,330.4384756088257,20.239
4_576000_318750000_665600000,1071.0288200378418,12.786
12_729600_624750000_3199000000,731.3143310546875,15.211
10_1190400_828750000_2133000000,502.6110293865204,16.715
6_2201600_1134750000_3199000000,287.1918773651123,22.246
10_729600_624750000_2133000000,744.2974302768707,14.002
6_1651200_930750000_2133000000,390.1345555782318,17.021
10_729600_522750000_2133000000,741.7668228149414,14.405
6_576000_216750000_665600000,1142.9060997962952,12.784
2_422400_318750000_665600000,1918.7438704967497,12.182
10_268800_114750000_665600000,2082.109205961228,12.079
12_1036800_216750000_665600000,952.5923104286194,13.6485
