powermode,predicted_time,predicted_power,observed_time,observed_power
2_268800_522750000_204000000,2818.4384868,12.62574,4276.747107505798,11.374
2_268800_420750000_204000000,2866.5679458,12.397532,4243.564076662064,11.375
2_576000_318750000_665600000,1266.05289795,14.476752,1370.046490192413,12.184
2_1651200_522750000_2133000000,578.12440938,13.995,512.8188745975494,15.311
2_1804800_726750000_2133000000,493.05103836000006,14.820401,442.0802707672119,16.214
4_268800_318750000_665600000,1616.4150561000001,14.422289,2160.247305870056,11.477
4_268800_216750000_204000000,2476.500039,12.653538,2505.258846759796,11.475
4_422400_420750000_665600000,1219.3491294,14.671349,1377.2520060539246,12.182
4_883200_522750000_2133000000,801.1912992,13.184422,685.4841551780701,14.204
4_1190400_522750000_2133000000,768.8839329,13.552512,545.3667159080505,15.008
4_1497600_522750000_2133000000,579.4089765599999,13.964371,491.7497537136078,15.6165
4_1651200_624750000_2133000000,562.3020666,14.470107,431.3023555278778,16.419
4_1804800_828750000_3199000000,436.72889604,17.892447,360.20170044898987,18.428
4_1804800_726750000_2133000000,449.95071942,15.057145,390.4484825134277,16.919
4_1958400_930750000_3199000000,428.9967663,19.012043,323.27615118026733,19.736
4_2112000_828750000_2133000000,436.69179041999996,16.140701,354.64318585395813,18.7295
4_2201600_1300500000_3199000000,326.382534,22.705504,285.0132761001587,23.562
4_2201600_930750000_3199000000,420.8787006,20.036453,303.32271027565,20.743
4_2201600_828750000_3199000000,424.6003599,19.470742,316.15478467941284,20.445
6_268800_522750000_665600000,1376.7483872999999,14.632219,1832.793670892716,12.08
6_268800_420750000_665600000,1374.2246112,14.5415205,1848.1176595687864,11.981
6_883200_522750000_2133000000,799.60801146,13.590251,647.3080632686615,14.406
6_1036800_522750000_2133000000,788.5778579400001,13.654646,562.5013387203217,14.909
6_1190400_420750000_665600000,825.4082649000001,15.896914,745.9643292427063,14.001
6_1190400_318750000_665600000,859.4228961,15.711145,793.001012802124,13.497
6_1344000_726750000_2133000000,562.46516565,14.49309,457.7364957332611,15.8605
6_1344000_522750000_2133000000,650.24477739,13.955287,503.5928449630737,15.4635
6_1497600_726750000_2133000000,548.83217949,14.744665,428.9835388660431,16.717
6_1651200_930750000_2133000000,434.5146252,15.687295,390.1345555782318,17.021
6_1651200_828750000_3199000000,437.9519748,17.550625,375.1317405700684,17.824
6_1651200_726750000_2133000000,475.75916298000004,15.052223,408.1276669502258,16.72
6_1804800_930750000_2133000000,433.87345134000003,16.049973,366.5045940876007,18.373
6_1804800_930750000_3199000000,432.59197890000013,18.612932,342.74713492393494,19.232
6_1804800_828750000_3199000000,435.86635449,18.085828000000003,349.48595094680786,18.7795
6_1804800_726750000_2133000000,442.28526726,15.391761,381.5453913211823,17.317
6_1958400_1032750000_3199000000,422.6448906,19.799082,321.3261206150055,20.042
6_1958400_930750000_3199000000,427.44392580000005,19.190953,318.13457202911377,20.086
6_1958400_828750000_2133000000,434.2579806,16.073847,362.3934600353241,18.4265
6_1958400_828750000_3199000000,432.11030919,18.652564,330.6598870754242,19.434
6_1958400_726750000_2133000000,433.6094293800001,15.760885,369.6121871471405,17.8245
6_2112000_828750000_3199000000,426.43532189999996,19.273234,317.68992137908936,20.0955
6_2201600_1134750000_3199000000,377.54143086000005,21.548484,287.1918773651123,22.246
6_2201600_1032750000_3199000000,414.43673358,20.854516,289.7895176410675,21.546
6_2201600_930750000_3199000000,420.26655165,20.237691,298.4366843700409,21.247
8_268800_216750000_665600000,1420.9570608000001,14.374191,1932.5092458724976,11.677
8_422400_522750000_665600000,1073.8137292200001,14.86269,1279.4906175136566,12.534
8_729600_522750000_2133000000,851.5530348,13.531327,733.8602633476257,14.202
8_729600_522750000_665600000,861.32670825,15.333215,861.3423418998718,13.188
8_883200_522750000_665600000,834.21509781,15.624508,816.2014491558075,13.39
8_1036800_522750000_2133000000,791.46159294,14.013052,585.7055215835571,14.806
8_1036800_522750000_665600000,810.6457924199999,15.948317,758.7145919799805,13.7965
8_1190400_624750000_2133000000,603.46171785,14.501186,510.1768572330475,15.4115
8_1958400_828750000_3199000000,430.69016739,18.830422,335.1704502105713,19.338
8_1958400_726750000_2133000000,433.77341934000003,16.092997999999998,376.6112496852875,17.723
8_2112000_930750000_3199000000,421.0593834,20.053984,308.21462512016296,20.645
8_2112000_828750000_2133000000,440.15474196,16.792099999999998,344.740421295166,19.131
8_2201600_930750000_3199000000,419.18483061,20.446078,297.8199293613434,21.25
8_2201600_828750000_3199000000,421.64858750999997,19.848385,317.3675172328949,20.344
10_729600_624750000_2133000000,708.6875199599999,13.850758,744.2974302768707,14.002
10_729600_318750000_665600000,930.85158972,15.166768,926.03915309906,12.582
10_883200_624750000_2133000000,701.4257907,14.10763,637.0597653388977,14.604
10_883200_624750000_665600000,800.1114225,15.989488,780.789261341095,13.79
10_1036800_522750000_2133000000,801.5179662,14.15074,571.1809105873108,14.907
10_1036800_522750000_665600000,801.4687942200001,16.110349,755.8887407779694,14.0
10_1344000_624750000_2133000000,562.46516565,15.068116,476.44212341308594,15.816
10_1804800_726750000_3199000000,437.59520442,18.03075,357.1952831745148,18.4785
10_1958400_1032750000_3199000000,414.5879382,20.298035,313.4321224689484,20.5375
10_1958400_726750000_3199000000,433.74356604,18.535227,345.35504269599915,18.835
10_2201600_1032750000_3199000000,397.69444026,21.353768,289.7337636947632,22.045
12_268800_216750000_665600000,1442.81461548,14.40862,1871.2072477340696,11.978
12_883200_624750000_2133000000,682.2321819599999,14.258104,626.3165235519409,14.803
12_883200_420750000_2133000000,820.83734955,13.789191,650.2557048797607,14.404
12_1804800_522750000_2133000000,472.88514984000005,15.999869,434.0598893165589,16.366
12_1958400_828750000_2133000000,424.13385129,17.465914,355.21307611465454,18.5825
