cores,cpu,gpu,mem,skip_index,start_time,end_time,clean minibatches
4,268800,1300500000,3199000000,10,26.11831164,43.86334372,40
10,268800,1300500000,665600000,10,13.06841874,22.40871501,40
6,268800,1236750000,2133000000,10,22.95660377,33.41330194,40
4,268800,930750000,3199000000,10,25.23247886,42.91728806,40
6,268800,930750000,2133000000,10,22.88527775,33.55614781,40
4,268800,828750000,3199000000,10,26.90287256,44.40733218,40
6,268800,522750000,2133000000,10,22.71518183,33.44582891,40
12,268800,216750000,665600000,10,24.20980978,36.59497571,40
2,422400,1300500000,2133000000,10,16.4848702,33.49423313,40
4,422400,1300500000,2133000000,10,16.84120989,27.35163736,40
6,422400,1300500000,3199000000,10,10.6821475,16.78616834,40
6,422400,1236750000,3199000000,10,14.60874987,21.31536245,40
4,422400,1032750000,3199000000,10,15.85569239,26.18434691,40
8,422400,1032750000,2133000000,10,14.57254219,20.98670912,40
6,422400,930750000,3199000000,10,14.89739799,21.3716116,40
10,422400,930750000,2133000000,10,14.49504828,20.65520072,40
4,422400,828750000,3199000000,10,16.59080744,27.01722169,40
6,422400,828750000,2133000000,10,15.23719311,22.23159766,40
6,422400,828750000,3199000000,10,14.73436666,21.39443064,40
4,422400,522750000,665600000,10,18.10909176,30.76841998,40
6,422400,522750000,3199000000,10,14.75126266,21.47781253,40
10,422400,522750000,665600000,10,16.3671813,25.42783904,40
12,422400,420750000,665600000,10,16.2754705,25.319556,40
6,422400,216750000,665600000,10,16.76000595,28.59217834,40
8,422400,216750000,665600000,10,16.46417046,28.13275957,40
12,422400,216750000,3199000000,10,15.68920398,26.52386045,40
4,576000,522750000,3199000000,10,12.09426284,20.09266353,40
4,576000,522750000,665600000,10,13.15133929,23.01794076,40
6,576000,522750000,665600000,10,12.38349771,21.38697362,40
4,576000,216750000,665600000,10,15.47201037,27.39661884,40
12,576000,216750000,2133000000,10,11.80549979,22.32128072,40
2,729600,726750000,665600000,10,17.80098772,37.4834218,40
10,729600,522750000,665600000,10,10.59336233,19.16922474,40
12,729600,522750000,665600000,10,10.56443954,19.09083676,40
4,729600,420750000,665600000,10,11.21280503,20.58782935,40
12,729600,318750000,665600000,10,10.63429594,20.32210183,40
2,729600,216750000,2133000000,10,16.18566847,32.66656327,40
6,729600,216750000,2133000000,10,10.22739983,20.69908404,40
