1,2,log_time
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",0.1285111904144287
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",0.1285111904144287
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",1.201836347579956
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",2.545471668243408
"{'val': 3, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 3, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",3.7787938117980957
"{'val': 4, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 4, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",4.939077377319336
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",6.284979581832886
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",7.628973007202148
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",8.841556072235107
"{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}","{'val': 0, 'frq': 114000, 'min_freq': 114750000, 'max_freq': 114750000}",9.997915506362915
