total,used,free,shared,buff/cache,available,log_time
29Gi,5.2Gi,18Gi,29Mi,6.0Gi,24Gi,2.4150683879852295
29Gi,5.5Gi,18Gi,29Mi,6.0Gi,24Gi,3.658548593521118
29Gi,5.6Gi,18Gi,29Mi,6.0Gi,23Gi,4.890256404876709
29Gi,5.7Gi,18Gi,38Mi,6.0Gi,23Gi,6.097031354904175
29Gi,5.9Gi,17Gi,102Mi,6.1Gi,23Gi,7.542231321334839
29Gi,6.3Gi,17Gi,112Mi,6.1Gi,23Gi,8.725792646408081
29Gi,6.9Gi,16Gi,112Mi,6.1Gi,22Gi,9.940306425094604
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,11.055997133255005
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,12.172315835952759
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,13.360854148864746
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,14.500336170196533
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,15.754272699356079
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,16.879879236221313
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,17.99422264099121
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,19.150017499923706
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,20.307515382766724
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,21.450485944747925
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,22.740054607391357
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,23.89664936065674
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,25.101680278778076
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,26.237873554229736
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,27.432949542999268
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,28.556541204452515
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,29.7304630279541
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,30.87792658805847
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,32.047295331954956
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,33.21123456954956
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,34.42811441421509
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,35.5724081993103
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,36.78672003746033
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,37.93060755729675
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,39.15996813774109
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,40.31227970123291
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,41.47826290130615
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,42.634082078933716
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,43.905463218688965
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,45.040361404418945
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,46.25216794013977
29Gi,7.5Gi,16Gi,103Mi,6.1Gi,21Gi,47.40273189544678
29Gi,7.5Gi,16Gi,112Mi,6.1Gi,21Gi,48.64232540130615
29Gi,7.4Gi,16Gi,38Mi,6.0Gi,22Gi,49.793137311935425
