use,tot,unit,lfb,shared,table,log_time
5587236,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",34420,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",0.14868783950805664
5587236,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",34420,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",0.14868783950805664
5803628,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",34420,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",1.2147564888000488
5835892,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",34420,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",2.5509235858917236
6131960,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",340148,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 305728, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",3.782884120941162
6284092,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",478468,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 444048, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",4.942132949829102
6372996,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",478468,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 444048, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",6.319263696670532
6513932,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",525900,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 491480, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",7.634505271911621
6939168,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",772556,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 738136, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",8.84991455078125
7361340,31357612,k,"{'nblock': 4208, 'size': 4, 'unit': 'M'}",1031244,"[['Client', 'Process', 'PID', 'Size'], [{'Client': 'user', 'Process': 'python3', 'PID': '3228556', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228550', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228549', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3228540', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226980', 'Size': {'val': 0, 'unit': 'k'}}, {'Client': 'user', 'Process': 'python3', 'PID': '3226975', 'Size': {'val': 996824, 'unit': 'k'}}, {'Client': 'user', 'Process': 'gnome-shell', 'PID': '2644', 'Size': {'val': 6284, 'unit': 'k'}}, {'Client': 'user', 'Process': 'Xorg', 'PID': '2408', 'Size': {'val': 28060, 'unit': 'k'}}, {'Client': 'user', 'Process': 'nvargus-daemon', 'PID': '988', 'Size': {'val': 76, 'unit': 'k'}}]]",10.001071691513062
