total,used,free,log_time
14Gi,0B,14Gi,2.4727883338928223
14Gi,0B,14Gi,3.7180986404418945
14Gi,0B,14Gi,4.915162563323975
14Gi,0B,14Gi,6.213101148605347
14Gi,0B,14Gi,7.591022491455078
14Gi,0B,14Gi,8.78700852394104
14Gi,0B,14Gi,9.972216367721558
14Gi,0B,14Gi,11.07639765739441
14Gi,0B,14Gi,12.209133625030518
14Gi,0B,14Gi,13.383358478546143
14Gi,0B,14Gi,14.560690879821777
14Gi,0B,14Gi,15.780782222747803
14Gi,0B,14Gi,16.908039569854736
14Gi,0B,14Gi,18.02335000038147
14Gi,0B,14Gi,19.179363012313843
14Gi,0B,14Gi,20.330875396728516
14Gi,0B,14Gi,21.51446771621704
14Gi,0B,14Gi,22.775627851486206
14Gi,0B,14Gi,23.945041179656982
14Gi,0B,14Gi,25.128960847854614
14Gi,0B,14Gi,26.265861988067627
14Gi,0B,14Gi,27.45467758178711
14Gi,0B,14Gi,28.601775646209717
14Gi,0B,14Gi,29.752426624298096
14Gi,0B,14Gi,30.949772834777832
14Gi,0B,14Gi,32.07448697090149
14Gi,0B,14Gi,33.26712918281555
14Gi,0B,14Gi,34.45084857940674
14Gi,0B,14Gi,35.643571615219116
14Gi,0B,14Gi,36.807727098464966
14Gi,0B,14Gi,37.99365305900574
14Gi,0B,14Gi,39.19239521026611
14Gi,0B,14Gi,40.3445999622345
14Gi,0B,14Gi,41.499297857284546
14Gi,0B,14Gi,42.70900082588196
14Gi,0B,14Gi,43.930694341659546
14Gi,0B,14Gi,45.09382343292236
14Gi,0B,14Gi,46.27733278274536
14Gi,0B,14Gi,47.447269678115845
14Gi,0B,14Gi,48.667596101760864
14Gi,0B,14Gi,49.83401346206665
