time,uptime,jetson_clocks,nvp model,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,CPU9,CPU10,CPU11,CPU12,GPU1,GPU2,RAM,EMC,SWAP,APE,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVENC,NVJPG,NVJPG1,PVA0_CPU_AXI,PVA0_VPS,SE,VIC,fan,Temp CPU,Temp GPU,Temp SOC0,Temp SOC1,Temp SOC2,Temp Tdiode,power cur,power avg,log_time
2023-09-18 22:08:00.226807,0 days 03:48:05.590000,ON,pm_new,56,75,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,5587236,5,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.343,40.062,43.25,43.125,41.625,35.0,12944,14736,0.06418442726135254
2023-09-18 22:08:00.226807,0 days 03:48:05.590000,ON,pm_new,56,75,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,5587236,5,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.343,40.062,43.25,43.125,41.625,35.0,12944,14736,0.06418442726135254
2023-09-18 22:08:01.268278,0 days 03:48:06.630000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,5803628,1,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.625,39.937,43.25,43.218,41.843,35.0,13747,13747,1.1058533191680908
2023-09-18 22:08:02.667245,0 days 03:48:08.030000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,5831716,1,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.468,40.343,43.312,43.218,41.781,35.0,13446,13596,2.5052196979522705
2023-09-18 22:08:03.906646,0 days 03:48:09.270000,ON,pm_new,98,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,3,3,6131960,1,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.375,40.187,43.25,43.281,41.75,35.0,13747,13565,3.743880271911621
2023-09-18 22:08:05.090071,0 days 03:48:10.450000,ON,pm_new,95,97,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,4,4,6284092,2,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.562,40.0,43.187,43.187,41.75,35.0,13747,13595,4.927316665649414
2023-09-18 22:08:06.407974,0 days 03:48:11.770000,ON,pm_new,96,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,6372996,1,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.437,39.968,43.25,43.093,41.75,35.0,13749,13623,6.263575315475464
2023-09-18 22:08:07.775773,0 days 03:48:13.130000,ON,pm_new,100,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,6513932,1,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.531,40.062,43.25,43.093,41.781,35.0,13749,13645,7.613081693649292
2023-09-18 22:08:08.973359,0 days 03:48:14.330000,ON,pm_new,42,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,6939168,2,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.468,40.031,43.312,43.218,41.781,35.0,13948,13684,8.811115026473999
2023-09-18 22:08:10.147971,0 days 03:48:15.510000,ON,pm_new,98,72,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,0,7361340,2,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.5,40.218,43.218,43.25,41.812,35.0,13948,13706,9.98534107208252
2023-09-18 22:08:11.251188,0 days 03:48:16.610000,ON,pm_new,68,100,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,99,99,8094672,3,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,870,OFF,100.0,45.75,40.437,43.25,43.156,41.812,35.0,14852,13786,11.088442325592041
