powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn,flag
12_1958400_114750000_665600000,469.9612731933594,15.954,16.0,4_729600_114750000_665600000,477.5552520751953,15.152,True
4_422400_318750000_665600000,316.5086364746094,16.356,17.0,8_1036800_318750000_665600000,241.2014389038086,18.022,True
4_1344000_318750000_665600000,240.8826599121093,17.7725,18.0,4_729600_522750000_665600000,220.56670379638672,18.77,True
4_1344000_522750000_665600000,214.160270690918,18.975,19.0,8_1036800_318750000_2133000000,179.29940795898438,21.084,False
4_729600_318750000_2133000000,189.643669128418,19.378,20.0,4_729600_522750000_2133000000,158.8623504638672,20.863,True
12_422400_726750000_3199000000,121.963134765625,20.968,21.0,8_1036800_522750000_2133000000,117.29337692260742,24.189,False
12_422400_726750000_3199000000,121.963134765625,20.968,22.0,8_1344000_522750000_2133000000,115.51087951660156,24.59,False
8_422400_726750000_3199000000,117.75910186767578,22.376,23.0,8_1036800_726750000_2133000000,99.62395095825195,27.486,False
8_422400_726750000_3199000000,117.75910186767578,22.376,24.0,8_1344000_726750000_2133000000,97.26211166381836,28.095,False
12_422400_930750000_3199000000,111.53673553466795,24.771,25.0,12_1344000_726750000_2133000000,96.75707244873048,28.1,False
12_422400_930750000_3199000000,111.53673553466795,24.771,26.0,12_1344000_726750000_2133000000,96.75707244873048,28.1,True
4_1036800_726750000_3199000000,108.50935745239258,26.779,27.0,8_1036800_726750000_3199000000,88.10631942749023,30.437,False
8_729600_726750000_3199000000,89.561279296875,27.932,28.0,12_1344000_930750000_2133000000,87.25102615356445,31.596,False
8_729600_726750000_3199000000,89.561279296875,27.932,29.0,12_1036800_726750000_3199000000,87.19956588745117,30.289,True
8_729600_930750000_3199000000,83.33758163452148,29.491,30.0,8_1344000_1134750000_2133000000,81.05926513671875,35.853,False
12_729600_930750000_3199000000,80.42830276489258,30.4905,31.0,8_1344000_1134750000_2133000000,81.05926513671875,35.853,False
12_729600_930750000_3199000000,80.42830276489258,30.4905,32.0,8_1036800_1300500000_2133000000,78.75598526000977,39.1255,False
12_729600_930750000_3199000000,80.42830276489258,30.4905,33.0,12_1036800_930750000_3199000000,71.56462478637695,35.795,True
12_729600_1134750000_3199000000,78.26993560791016,33.489,34.0,12_1036800_930750000_3199000000,71.56462478637695,35.795,True
8_729600_1300500000_3199000000,78.24113464355469,34.489,35.0,12_1344000_930750000_3199000000,72.05451202392578,36.46,True
12_1036800_930750000_3199000000,71.56462478637695,35.795,36.0,12_1344000_930750000_3199000000,72.05451202392578,36.46,True
12_1651200_930750000_3199000000,70.7470703125,36.302,37.0,12_1036800_1134750000_3199000000,68.22726440429688,39.719,True
8_1958400_930750000_3199000000,70.30814743041992,37.809,38.0,12_1036800_1134750000_3199000000,68.22726440429688,39.719,True
12_1958400_930750000_3199000000,69.98849487304688,38.31,39.0,12_1036800_1134750000_3199000000,68.22726440429688,39.719,True
12_1036800_1134750000_3199000000,68.22726440429688,39.719,40.0,12_1958400_930750000_3199000000,69.98849487304688,38.31,True
12_1651200_1134750000_3199000000,63.69878387451172,40.504,41.0,12_2201600_930750000_3199000000,69.223388671875,39.1,True
12_1651200_1134750000_3199000000,63.69878387451172,40.504,42.0,12_1651200_1134750000_3199000000,63.69878387451172,40.504,True
12_1651200_1134750000_3199000000,63.69878387451172,40.504,43.0,12_1651200_1134750000_3199000000,63.69878387451172,40.504,True
12_1344000_1300500000_3199000000,61.04492950439453,43.924,44.0,12_1344000_1300500000_3199000000,61.04492950439453,43.924,True
12_1344000_1300500000_3199000000,61.04492950439453,43.924,45.0,12_1958400_1134750000_3199000000,63.22604751586914,44.024,True
12_1344000_1300500000_3199000000,61.04492950439453,43.924,46.0,12_2201600_1134750000_3199000000,62.96438407897949,45.709,True
8_1651200_1300500000_3199000000,59.22990417480469,46.474,47.0,12_2201600_1134750000_3199000000,62.96438407897949,45.709,True
8_1651200_1300500000_3199000000,59.22990417480469,46.474,48.0,12_2201600_1134750000_3199000000,62.96438407897949,45.709,True
12_1958400_1300500000_3199000000,58.94108772277832,48.7785,49.0,12_1958400_1300500000_3199000000,58.94108772277832,48.7785,True
12_1958400_1300500000_3199000000,58.94108772277832,48.7785,50.0,12_1958400_1300500000_3199000000,58.94108772277832,48.7785,True
