cores_algo,cpu_algo,gpu_algo,mem_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,1344000.0,114750000.0,665600000.0,7911.859375,15.965,16.0,9.0,4.0,12.0,1036800.0,114750000.0,665600000.0,7884.0615234375,15.968
8.0,1344000.0,114750000.0,2133000000.0,7887.8974609375,16.969,17.0,9.0,4.0,12.0,729600.0,114750000.0,2133000000.0,7859.49072265625,16.969
8.0,1651200.0,114750000.0,3199000000.0,7880.3359375,17.873,18.0,9.0,4.0,4.0,1651200.0,114750000.0,3199000000.0,7850.118408203125,17.873
8.0,2201600.0,114750000.0,3199000000.0,7878.81591796875,18.678,19.0,9.0,4.0,8.0,729600.0,318750000.0,665600000.0,4140.625,18.776
8.0,2201600.0,114750000.0,3199000000.0,7878.81591796875,18.678,20.0,9.0,4.0,8.0,1651200.0,522750000.0,665600000.0,3956.7408447265625,19.682
8.0,1344000.0,726750000.0,665600000.0,3931.72265625,20.481,21.0,9.0,4.0,8.0,1036800.0,726750000.0,665600000.0,3923.438354492188,20.477
8.0,1344000.0,726750000.0,665600000.0,3931.72265625,20.481,22.0,9.0,4.0,4.0,422400.0,318750000.0,2133000000.0,2908.035888671875,21.992
