powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
,,,15.0,,,
8_1344000_114750000_665600000,7911.859375,15.965,16.0,,,
4_729600_114750000_2133000000,7865.21484375,16.568,17.0,12_729600_114750000_665600000,7886.872314453125,16.065
4_729600_114750000_2133000000,7865.21484375,16.568,18.0,8_1344000_318750000_665600000,4145.834228515625,19.076
12_2201600_114750000_2133000000,7859.53759765625,18.272,19.0,4_1036800_522750000_665600000,3967.6009521484375,19.278
8_1344000_522750000_665600000,3967.916748046875,19.675,20.0,8_1651200_522750000_665600000,3956.7408447265625,19.682
8_1344000_522750000_665600000,3967.916748046875,19.675,21.0,8_1651200_318750000_2133000000,2869.8902587890625,22.489
8_1344000_522750000_665600000,3967.916748046875,19.675,22.0,8_1958400_318750000_2133000000,2870.1822509765625,22.895
8_1344000_522750000_665600000,3967.916748046875,19.675,23.0,8_1958400_318750000_2133000000,2870.1822509765625,22.895
8_1344000_522750000_665600000,3967.916748046875,19.675,24.0,8_1958400_522750000_2133000000,1785.75341796875,28.109
8_2201600_318750000_3199000000,2848.122314453125,24.904,25.0,12_2201600_522750000_2133000000,1806.0181884765625,28.911
8_2201600_318750000_3199000000,2848.122314453125,24.904,26.0,12_2201600_522750000_2133000000,1806.0181884765625,28.911
12_422400_522750000_2133000000,1908.9161987304688,27.0,27.0,4_1344000_726750000_2133000000,1477.5097045898438,31.413
12_422400_522750000_2133000000,1908.9161987304688,27.0,28.0,8_1958400_726750000_2133000000,1556.34765625,31.613
12_422400_522750000_2133000000,1908.9161987304688,27.0,29.0,12_2201600_726750000_2133000000,1558.4591674804688,32.414
12_422400_522750000_2133000000,1908.9161987304688,27.0,30.0,12_2201600_726750000_2133000000,1558.4591674804688,32.414
12_422400_522750000_2133000000,1908.9161987304688,27.0,31.0,4_1651200_930750000_2133000000,1354.38671875,35.917
12_1036800_726750000_2133000000,1473.8734741210938,31.706,32.0,8_1958400_930750000_2133000000,1361.2135009765625,36.326
12_1036800_726750000_2133000000,1473.8734741210938,31.706,33.0,8_1958400_930750000_2133000000,1361.2135009765625,36.326
12_1036800_726750000_2133000000,1473.8734741210938,31.706,34.0,8_1651200_726750000_3199000000,1298.9701538085938,35.8595
12_1036800_726750000_2133000000,1473.8734741210938,31.706,35.0,8_2201600_726750000_3199000000,1300.7615966796875,37.008
12_1036800_726750000_2133000000,1473.8734741210938,31.706,36.0,12_2201600_726750000_3199000000,1303.833251953125,37.363
12_1036800_726750000_2133000000,1473.8734741210938,31.706,37.0,12_2201600_726750000_3199000000,1303.833251953125,37.363
12_1036800_726750000_2133000000,1473.8734741210938,31.706,38.0,4_1651200_930750000_3199000000,1055.4449462890625,43.215
12_1036800_726750000_2133000000,1473.8734741210938,31.706,39.0,8_1958400_930750000_3199000000,1059.2462768554688,42.716
4_422400_930750000_3199000000,1207.51416015625,39.214,40.0,8_2201600_930750000_3199000000,1123.9912109375,42.512
4_422400_930750000_3199000000,1207.51416015625,39.214,41.0,8_2201600_930750000_3199000000,1123.9912109375,42.512
4_422400_930750000_3199000000,1207.51416015625,39.214,42.0,8_2201600_930750000_3199000000,1123.9912109375,42.512
4_422400_930750000_3199000000,1207.51416015625,39.214,43.0,4_1958400_1134750000_3199000000,973.1531982421876,48.951
4_422400_930750000_3199000000,1207.51416015625,39.214,44.0,4_2201600_1134750000_3199000000,968.724151611328,50.315
4_422400_930750000_3199000000,1207.51416015625,39.214,45.0,4_2201600_1134750000_3199000000,968.724151611328,50.315
4_422400_930750000_3199000000,1207.51416015625,39.214,46.0,4_2201600_1134750000_3199000000,968.724151611328,50.315
4_422400_930750000_3199000000,1207.51416015625,39.214,47.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,48.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,49.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,50.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,51.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,52.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,53.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,54.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,55.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,56.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,57.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,58.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,59.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
4_422400_930750000_3199000000,1207.51416015625,39.214,60.0,4_2201600_1300500000_3199000000,930.2513122558594,56.53
