cores_algo,cpu_algo,gpu_algo,mem_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,422400.0,114750000.0,665600000.0,81.09934616088867,14.509,15.0,9.0,4.0,12.0,1036800.0,114750000.0,665600000.0,77.57209777832031,14.909
8.0,2201600.0,114750000.0,665600000.0,77.17379379272461,15.815,16.0,9.0,4.0,4.0,422400.0,318750000.0,665600000.0,50.69670295715332,15.92
8.0,1344000.0,114750000.0,2133000000.0,76.69898986816406,16.02,17.0,9.0,4.0,4.0,1036800.0,318750000.0,665600000.0,46.13492774963379,16.923
8.0,1958400.0,114750000.0,3199000000.0,75.83843231201172,17.631,18.0,9.0,4.0,4.0,422400.0,522750000.0,2133000000.0,35.85782432556152,17.934
8.0,1344000.0,726750000.0,665600000.0,42.41324806213379,18.432,19.0,9.0,4.0,12.0,1036800.0,318750000.0,2133000000.0,29.85372829437256,18.636
8.0,422400.0,726750000.0,2133000000.0,31.804991722106934,19.746,20.0,9.0,4.0,8.0,1036800.0,318750000.0,2133000000.0,29.7969913482666,19.946
8.0,1344000.0,318750000.0,2133000000.0,29.452479362487797,20.352,21.0,10.0,4.0,8.0,1958400.0,318750000.0,2133000000.0,28.61513614654541,20.854
8.0,1344000.0,318750000.0,3199000000.0,28.698320388793945,21.456,22.0,10.0,4.0,4.0,729600.0,522750000.0,2133000000.0,21.95225524902344,21.454
