powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn,flag
,,,13.0,8_729600_114750000_665600000,79.00886154174805,15.01,False
,,,14.0,12_2201600_114750000_665600000,77.03612899780273,15.812,False
8_422400_114750000_665600000,81.09934616088867,14.509,15.0,12_1651200_318750000_665600000,44.8478889465332,17.13,False
4_422400_318750000_665600000,50.69670295715332,15.92,16.0,8_422400_318750000_2133000000,36.19022560119629,18.74,False
4_1036800_318750000_665600000,46.13492774963379,16.923,17.0,8_729600_318750000_2133000000,30.61924839019776,19.744,False
4_422400_318750000_2133000000,36.95153617858887,17.633,18.0,8_729600_522750000_2133000000,20.861167907714844,22.261,False
12_1036800_318750000_2133000000,29.85372829437256,18.636,19.0,12_729600_522750000_2133000000,20.780896186828613,22.055,False
8_1036800_318750000_2133000000,29.7969913482666,19.946,20.0,8_729600_522750000_3199000000,21.14340782165528,23.868,False
4_1958400_318750000_2133000000,28.86529541015625,20.754,21.0,12_1651200_522750000_3199000000,18.663439750671387,24.279,False
4_1958400_318750000_3199000000,28.246288299560547,21.963,22.0,12_1344000_726750000_3199000000,14.587728023529053,28.102,False
4_1344000_522750000_2133000000,19.918831825256348,22.97,23.0,8_1344000_726750000_3199000000,14.564064025878906,28.095,False
8_1958400_522750000_2133000000,18.98025608062744,23.972,24.0,12_1344000_1134750000_3199000000,12.1288800239563,34.33,False
8_1344000_726750000_2133000000,17.03391933441162,24.978,25.0,12_1344000_1134750000_3199000000,12.1288800239563,34.33,False
8_1958400_726750000_2133000000,15.932944297790527,25.884,26.0,12_1344000_1134750000_3199000000,12.1288800239563,34.33,False
4_2201600_726750000_2133000000,15.831376075744627,26.583,27.0,12_1651200_1134750000_3199000000,11.306911945343018,36.058,False
4_1344000_726750000_3199000000,15.02339220046997,27.9,28.0,12_1651200_1134750000_3199000000,11.306911945343018,36.058,False
4_1344000_726750000_3199000000,15.02339220046997,27.9,29.0,8_1651200_1300500000_3199000000,10.963200092315674,38.582,False
12_1958400_726750000_3199000000,13.85363245010376,29.813,30.0,12_1651200_1300500000_3199000000,11.056623935699465,39.076,False
4_1344000_930750000_3199000000,12.84281587600708,30.716,31.0,8_2201600_1134750000_3199000000,11.007872104644775,37.55,False
8_1344000_930750000_3199000000,12.318576335906982,31.823,32.0,12_1958400_1300500000_3199000000,10.786608219146729,40.587,False
8_1344000_930750000_3199000000,12.318576335906982,31.823,33.0,12_1958400_1300500000_3199000000,10.786608219146729,40.587,False
8_1958400_930750000_3199000000,11.554416179656982,33.636,34.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,False
8_1958400_930750000_3199000000,11.554416179656982,33.636,35.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,False
8_1958400_930750000_3199000000,11.554416179656982,33.636,36.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,False
4_1958400_1134750000_3199000000,11.045455932617188,36.755,37.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,False
4_2201600_1134750000_3199000000,10.920944213867188,37.156,38.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,False
4_2201600_1134750000_3199000000,10.920944213867188,37.156,39.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,40.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,41.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,42.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,43.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,44.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,45.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,46.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,47.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,48.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,49.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
8_2201600_1300500000_3199000000,10.51475191116333,39.87,50.0,12_2201600_1300500000_3199000000,10.531967639923096,41.883,True
