powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,,,
,,,12.0,,,
,,,13.0,,,
,,,14.0,,,
8_1344000_114750000_665600000,787.6963195800781,14.55,15.0,4_729600_114750000_665600000,795.2664794921875,14.45
8_1344000_114750000_2133000000,777.461181640625,15.454,16.0,12_1958400_114750000_665600000,782.9894104003906,15.748
8_1344000_114750000_2133000000,777.461181640625,15.454,17.0,8_1344000_318750000_665600000,378.9649353027344,17.359
12_2201600_114750000_2133000000,775.2670593261719,17.357,18.0,8_729600_318750000_2133000000,304.2663269042969,18.776
12_422400_522750000_2133000000,304.94342041015625,18.463,19.0,4_729600_522750000_2133000000,246.2251510620117,19.864
12_422400_522750000_2133000000,304.94342041015625,18.463,20.0,8_729600_522750000_2133000000,220.17342376708984,20.964
12_422400_522750000_2133000000,304.94342041015625,18.463,21.0,12_1036800_522750000_2133000000,199.2823028564453,21.6395
12_422400_522750000_2133000000,304.94342041015625,18.463,22.0,12_1344000_522750000_2133000000,197.7190933227539,22.073
8_2201600_318750000_3199000000,285.2875061035156,22.287,23.0,12_1036800_726750000_2133000000,170.03355407714844,23.975
12_1036800_726750000_2133000000,170.03355407714844,23.975,24.0,12_1344000_726750000_2133000000,162.88712310791016,24.581
12_1036800_726750000_2133000000,170.03355407714844,23.975,25.0,12_1036800_930750000_2133000000,156.9490203857422,26.18
12_1036800_726750000_2133000000,170.03355407714844,23.975,26.0,8_1344000_930750000_2133000000,147.085205078125,27.281
12_1036800_726750000_2133000000,170.03355407714844,23.975,27.0,8_1036800_930750000_3199000000,146.53702545166016,27.787
12_1036800_726750000_2133000000,170.03355407714844,23.975,28.0,8_1651200_726750000_3199000000,140.29417419433594,27.8815
12_1036800_726750000_2133000000,170.03355407714844,23.975,29.0,8_1344000_930750000_3199000000,130.70178985595703,29.882
12_1036800_726750000_2133000000,170.03355407714844,23.975,30.0,4_1651200_930750000_3199000000,127.48453140258788,30.382
12_1036800_726750000_2133000000,170.03355407714844,23.975,31.0,8_1651200_930750000_3199000000,121.7020149230957,31.384
12_1036800_726750000_2133000000,170.03355407714844,23.975,32.0,8_1344000_1134750000_3199000000,127.62766647338869,31.14
12_1036800_726750000_2133000000,170.03355407714844,23.975,33.0,8_1344000_1134750000_3199000000,127.62766647338869,31.14
12_1036800_726750000_2133000000,170.03355407714844,23.975,34.0,12_1344000_1134750000_3199000000,118.70091247558594,33.196
12_1036800_726750000_2133000000,170.03355407714844,23.975,35.0,8_1344000_1300500000_3199000000,129.6925811767578,34.497
12_1036800_726750000_2133000000,170.03355407714844,23.975,36.0,4_1958400_1134750000_3199000000,111.26984024047852,35.298
12_1036800_726750000_2133000000,170.03355407714844,23.975,37.0,8_1958400_1134750000_3199000000,107.52984237670898,36.902
12_1036800_726750000_2133000000,170.03355407714844,23.975,38.0,8_1651200_1300500000_3199000000,106.66683197021484,39.11
12_1036800_726750000_2133000000,170.03355407714844,23.975,39.0,4_1958400_1300500000_3199000000,107.7258071899414,38.7095
12_1036800_726750000_2133000000,170.03355407714844,23.975,40.0,8_1958400_1300500000_3199000000,100.53059005737305,41.222
12_1036800_726750000_2133000000,170.03355407714844,23.975,41.0,12_1958400_1300500000_3199000000,99.86552047729492,42.017
12_1036800_726750000_2133000000,170.03355407714844,23.975,42.0,8_2201600_1300500000_3199000000,97.0578842163086,42.832
12_1036800_726750000_2133000000,170.03355407714844,23.975,43.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,44.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,45.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,46.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,47.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,48.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,49.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
12_1036800_726750000_2133000000,170.03355407714844,23.975,50.0,12_2201600_1300500000_3199000000,96.18417739868164,43.839
