cores_algo,cpu_algo,gpu_algo,mem_algo,algo_time,algo_power,power_budget,num_pwds,visited_dim,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,optim_time,optim_power
0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,422400.0,318750000.0,665600000.0,776.8474817276001,12.583
8.0,422400.0,726750000.0,2133000000.0,763.4016275405884,13.893,14.0,7.0,3.0,8.0,1036800.0,522750000.0,665600000.0,480.57496547698975,13.8485
8.0,422400.0,726750000.0,2133000000.0,763.4016275405884,13.893,15.0,8.0,3.0,8.0,1036800.0,522750000.0,2133000000.0,369.10879611968994,14.806
8.0,1344000.0,726750000.0,2133000000.0,302.507758140564,15.916,16.0,10.0,4.0,8.0,1344000.0,726750000.0,2133000000.0,302.507758140564,15.916
12.0,1344000.0,726750000.0,2133000000.0,293.140172958374,16.214,17.0,9.0,4.0,4.0,1651200.0,726750000.0,2133000000.0,270.25139331817627,16.7705
8.0,1958400.0,726750000.0,2133000000.0,240.0393486022949,17.723,18.0,8.0,4.0,12.0,1958400.0,726750000.0,2133000000.0,236.2844944000244,17.724
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,19.0,9.0,4.0,4.0,1958400.0,726750000.0,3199000000.0,225.29780864715576,18.479
8.0,2201600.0,726750000.0,2133000000.0,225.81708431243896,18.729,20.0,9.0,4.0,4.0,1958400.0,930750000.0,3199000000.0,205.2686214447021,19.736
8.0,2201600.0,726750000.0,3199000000.0,210.0880146026612,20.239,21.0,9.0,4.0,4.0,2201600.0,930750000.0,3199000000.0,191.9349431991577,20.743
