powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn,flag
,,,11.0,12_422400_114750000_665600000,1131.802678108215,12.7825,False
,,,12.0,12_729600_318750000_665600000,596.7756509780884,13.186,True
12_422400_318750000_665600000,776.8474817276001,12.583,13.0,12_1036800_522750000_665600000,480.819582939148,14.094,True
8_1036800_318750000_665600000,527.9120206832886,14.0,14.0,8_1036800_726750000_2133000000,355.0006151199341,15.714,False
4_1344000_726750000_665600000,443.3022737503052,14.908,15.0,12_1651200_522750000_2133000000,295.7761287689209,16.524,False
8_1344000_726750000_2133000000,302.507758140564,15.916,16.0,4_1958400_522750000_2133000000,275.95055103302,17.221,True
4_1651200_726750000_2133000000,270.25139331817627,16.7705,17.0,4_1958400_726750000_3199000000,225.29780864715576,18.479,True
12_1958400_726750000_2133000000,236.2844944000244,17.724,18.0,12_1958400_930750000_3199000000,209.81991291046145,20.243,False
4_1958400_930750000_2133000000,229.7077178955078,18.5295,19.0,4_2201600_930750000_3199000000,191.9349431991577,20.743,True
12_1958400_726750000_3199000000,222.3172187805176,19.4325,20.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547,False
4_1958400_1134750000_3199000000,202.74019241333008,20.942,21.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,False
4_1958400_1134750000_3199000000,202.74019241333008,20.942,22.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1134750000_3199000000,187.15834617614743,22.547,23.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,24.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,25.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,26.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,27.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,28.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,29.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,30.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,31.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,32.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,33.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,34.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,35.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,36.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,37.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,38.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,39.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,40.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,41.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,42.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,43.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,44.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,45.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,46.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,47.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,48.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,49.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
4_2201600_1300500000_3199000000,180.2200078964233,23.562,50.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915,True
