powermode_random,observed_time_random,observed_power_random,power_budget,powermode_nn,observed_time_nn,observed_power_nn
,,,10.0,,,
,,,11.0,12_422400_114750000_665600000,1131.802678108215,12.7825
,,,12.0,12_729600_318750000_665600000,596.7756509780884,13.186
,,,13.0,12_1036800_522750000_665600000,480.819582939148,14.094
8_1344000_114750000_665600000,876.8210411071777,13.699,14.0,8_1036800_726750000_2133000000,355.0006151199341,15.714
8_1344000_522750000_665600000,452.4499177932739,14.504,15.0,12_1651200_522750000_2133000000,295.7761287689209,16.524
12_1036800_726750000_2133000000,359.46691036224365,15.7125,16.0,4_1958400_522750000_2133000000,275.95055103302,17.221
12_1036800_726750000_2133000000,359.46691036224365,15.7125,17.0,4_1958400_726750000_3199000000,225.29780864715576,18.479
12_1036800_726750000_2133000000,359.46691036224365,15.7125,18.0,12_1958400_930750000_3199000000,209.81991291046145,20.243
8_2201600_318750000_3199000000,352.9045581817627,18.634,19.0,4_2201600_930750000_3199000000,191.9349431991577,20.743
8_2201600_318750000_3199000000,352.9045581817627,18.634,20.0,4_2201600_1134750000_3199000000,187.15834617614743,22.547
8_2201600_318750000_3199000000,352.9045581817627,18.634,21.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,22.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,23.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,24.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,25.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,26.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,27.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,28.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,29.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,30.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,31.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,32.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,33.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,34.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,35.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,36.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,37.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,38.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,39.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,40.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,41.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,42.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,43.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,44.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,45.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,46.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,47.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,48.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,49.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
8_2201600_318750000_3199000000,352.9045581817627,18.634,50.0,8_2201600_1300500000_3199000000,186.3888502120972,23.915
