cores_algo,cpu_algo,gpu_algo,mem_algo,bs_algo,algo_time,algo_power,power_budget,num_pwds_nnRan50,visited_dim,tries,time_budget,arr_rate,soln_algo,cores_optimal,cpu_optimal,gpu_optimal,mem_optimal,bs_optimal,optim_time_nnRan50,optim_power_nnRan50,soln_optimal,powermode_random,bs_random,optim_time_random,optim_power_random,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2,powermode_random_50,bs_random_50,optim_time_random_50,optim_power_random_50,soln_random_50,powermode_nn_50,bs_nn_50,optim_time_nn_50,optim_power_nn_50,soln_nn_50,cpu_bs,gpu_bs,mem_bs,cores_bs,bs_bs,observed_time,observed_power,num_pwds_bs,soln_bs,cores_optim,cpu_optim,gpu_optim,mem_optim,bs_optim,optim_time_bs,optim_power_bs,soln_optim
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,10,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,11,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,12,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,13,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,14,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,15,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,16,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,17,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,18,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,1344000.0,726750000.0,2133000000.0,1.0,82.70137786865234,42.92,19,10.0,4.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8_1958400_930750000_3199000000,1.0,77.86249542236328,40.615,0.0,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,False,0.1035906867980957,1.1035906867980958,0.1035906867980957,12_1036800_726750000_2133000000,1.0,103.5906867980957,29.0035,0.0,4_422400_930750000_3199000000,1.0,164.78841400146484,24.5795,0.0,422400.0,318750000.0,665600000.0,4.0,4.0,1060.0353393554688,19.278,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
