powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim,powermode_nn,infer_time_nn,bs_nn,interleaved_power_nn,num_train_batches_nn,powermode_random,infer_time_random,bs_random,interleaved_power_random,num_train_batches_random,flag,time_scaled,powermode_nn_50,infer_time_nn_50,bs_nn_50,interleaved_power_nn_50,num_train_batches_nn_50,powermode_random_50,infer_time_random_50,bs_random_50,interleaved_power_random_50,num_train_batches_random_50
,,,,10,,19.0,0.5,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
,,,,11,,19.0,0.5,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
,,,,12,,19.0,0.5,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
,,,,13,,19.0,0.5,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
,,,,14,,19.0,0.5,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
,,,,15,,19.0,0.5,30.0,,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,
,,,,16,,19.0,0.5,30.0,4_1651200_318750000_665600000,27.36411190032959,1.0,15.756,0.0,1.0,,,,,,4_1651200_318750000_665600000,27.36411190032959,1.0,15.756,0.0,True,,,,,,,,,,,
4_1344000_726750000_2133000000,28.58411121368408,1.0,16.7565,17,0.0,15.0,0.5,30.0,12_1651200_522750000_665600000,25.029839515686035,1.0,16.958,0.0,1.0,4_1651200_318750000_665600000,102.9282808303833,4.0,16.757,0.0,4_1651200_726750000_665600000,27.35188770294189,1.0,16.558,0.0,True,0.1029282808303833,,,,,,8_1344000_522750000_665600000,30.01535987854004,1.0,16.154,0.0
8_422400_726750000_2133000000,74.85507202148438,4.0,17.86,18,0.0,14.0,0.5,30.0,8_1958400_318750000_2133000000,21.16374397277832,1.0,17.918,0.0,1.0,12_1036800_522750000_665600000,93.2842493057251,4.0,17.168,0.0,8_1958400_318750000_2133000000,21.16374397277832,1.0,17.918,0.0,True,0.0932842493057251,,,,,,8_1344000_522750000_665600000,30.01535987854004,1.0,16.154,0.0
8_1344000_318750000_2133000000,60.22516822814941,4.0,18.871,19,0.0,15.0,0.5,30.0,8_1958400_522750000_2133000000,19.04729557037353,1.0,18.2625,0.0,1.0,4_729600_726750000_2133000000,75.40667057037354,4.0,21.764,0.0,4_1958400_522750000_2133000000,19.679967880249023,1.0,18.3605,0.0,False,0.0754066705703735,,,,,,8_1344000_522750000_665600000,30.01535987854004,1.0,16.154,0.0
8_1344000_726750000_665600000,59.38703918457031,4.0,19.776,20,0.0,15.0,0.5,30.0,8_2201600_522750000_2133000000,17.829855918884277,1.0,19.916,0.0,1.0,4_729600_726750000_2133000000,75.40667057037354,4.0,21.764,0.0,4_1958400_522750000_2133000000,19.679967880249023,1.0,18.3605,0.0,False,0.0754066705703735,,,,,,8_1344000_522750000_665600000,30.01535987854004,1.0,16.154,0.0
8_1344000_522750000_2133000000,39.61087989807129,4.0,20.6215,21,0.0,15.0,0.5,30.0,4_2201600_522750000_3199000000,17.253727912902832,1.0,20.468,0.0,1.0,8_1958400_930750000_3199000000,20.238637924194336,1.0,21.319,0.0,8_1958400_930750000_3199000000,18.012432098388672,1.0,20.665,0.0,True,0.0202386379241943,,,,,,8_2201600_318750000_3199000000,18.98243236541748,1.0,20.0795,0.0
